id,kombination,nische,markt,kanaele_und_programme,aov_gewichtet_eur,provision_gewichtet_pct,provision_pro_bestellung_nominal_eur,provision_pro_bestellung_effektiv_eur_nach_ust_und_retouren,retourenquote_base_pct,bestellungen_fuer_3k,bestellungen_fuer_5k,bestellungen_fuer_10k,bestellungen_fuer_20k,cvr_blended_base_pct,klicks_fuer_10k_base,views_fuer_10k_provision_base,datenqualitaet,quellen_notiz
K32,Kitchen & Coffee Setups – EN/US,Kitchen & Coffee Setups (Geräte in KI-Szenen),EN,"Amazon.com (Kitchen 4,5 %) (55 % Klicks, AOV 45 USD, 4.5 %) | Brands (Breville bis 8 %, De'Longhi, KitchenAid 5 %, Zwilling 6 %) (45 % Klicks, AOV 350 USD, 6.5 %)",75.6,5.62,4.25,3.71,10,809,1348,2697,5393,2.3,117038,177329923,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Synthese aus K07 und K09; EN-Spiegel des Gewinner-Konzepts. Programme: A, B."
K31,Küchen- & Kaffee-Setups – DE/DACH,Kitchen & Coffee Setups (Geräte in KI-Szenen),DE,"Amazon.de (Küche 5 %) (55 % Klicks, AOV 45 EUR, 5.0 %) | Brands (De'Longhi 7 %, Zwilling 6,4–8 %, KitchenAid 7 %, SharkNinja 5 %, Coffee Friend 10 %) (45 % Klicks, AOV 260 EUR, 7.0 %)",83.5,6.12,5.11,3.69,14,813,1355,2710,5419,1.81,149785,156025998,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Synthese aus K06 (#1) und K08: statische Geräte (Siebträger, Küchenmaschine, Messer, Kochgeschirr) per Freisteller in KI-Küchen. Programme: A, B."
K06,Küche & Küchengadgets – DE,Küche / Küchengadgets,DE,"Amazon.de (75 % Klicks, AOV 35 EUR, 5.0 %) | Brands (Zwilling 6,4–8 %, KitchenAid 7 %, SharkNinja 5 %, WMF) (25 % Klicks, AOV 140 EUR, 6.0 %)",44.5,5.29,2.35,1.74,12,1723,2872,5743,11486,2.47,232050,201432493,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon.de Küche 5 % (A). SharkNinja DE 5 %, AOV 146 € (B). DE-Küchen-Hashtags nicht messbar, aber 'Amazon-Fundstücke/Haushalt' 25,6× Lücke (F); keine DE-Küchen-Theme-Page gefunden (I)."
K13,BBQ & Outdoor Kitchen – US,BBQ / Pizzaöfen / Outdoor Kitchen,US,"Amazon.com (50 % Klicks, AOV 60 USD, 3.5 %) | Brands (BBQGuys 6 %, Ooni 10 %, Solo Stove 5–10 %, Blackstone 5 %) (50 % Klicks, AOV 550 USD, 6.5 %)",120.2,5.42,6.52,5.87,10,511,852,1705,3410,2.15,79300,120150996,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION",BBQGuys 6 % (Impact) inkl. Outdoor-Küchen; Outer 5–8 %/90 T (C). Weber US nur 2 %.
K09,Espresso-Setups – EN/US,Kaffee / Espresso-Setups,EN,"Amazon.com (Zubehör, Mühlen) (50 % Klicks, AOV 70 USD, 4.5 %) | Brands (Breville bis 8 %, De'Longhi US bis 15 %) (50 % Klicks, AOV 450 USD, 7.0 %)",117.1,5.94,6.96,6.07,10,494,823,1647,3293,1.94,84993,128777423,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Breville bis 8 % (CLAIMED), De'Longhi US bis 15 % (CLAIMED), AOV 398 $ (B). Modell nutzt 7 % (kein 'bis zu')."
K12,Grill & Pizzaofen – DE,BBQ / Pizzaöfen / Outdoor Kitchen,DE,"Amazon.de (50 % Klicks, AOV 60 EUR, 4.0 %) | Shops (SANTOS 10 %/7 %, Kuppelofen Ø766 €/90 T, Ooni 10 %, Gozney 5 %) (50 % Klicks, AOV 400 EUR, 7.5 %)",130.0,6.22,8.08,5.98,12,502,837,1673,3346,1.7,98419,102519463,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","SANTOS 10 % Eigenmarke / 7 % Fremdmarken, AOV >392 € netto; Ooni ab 10 % content-only (C). Starke Saisonalität März–August."
K07,Küche & Küchengadgets – US,Küche / Küchengadgets,US,"Amazon.com (75 % Klicks, AOV 35 USD, 4.5 %) | Brands (KitchenAid 5 %, Zwilling 6 %, Caraway 32–52 $ fix) (25 % Klicks, AOV 180 USD, 6.0 %)",38.8,4.92,1.91,1.72,10,1747,2912,5823,11647,3.23,180572,227994421,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon US Kitchen 4,5 % (A). Justice Buys 2,1 Mio. YT / 616k IG -> Nische stark besetzt (I, J)."
K17,Travel Gear – EN/US,Travel Gear / Packing,EN,"Amazon.com (Gepäck 4 %) (50 % Klicks, AOV 45 USD, 4.0 %) | Brands (NOMATIC 15 %, Tortuga 10 %, Travelpro 8–10 %, Bellroy 7 %, eSIM) (50 % Klicks, AOV 180 USD, 9.0 %)",63.9,6.63,4.24,3.62,12,829,1381,2763,5526,2.3,120125,242677152,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Tortuga 10 %, AOV >250 $ (VERIFIED); Travelpro 8–10 %, 45 T, AOV 165 $ (VERIFIED); Saily 15 % ohne Website (D)."
K04,Home Decor Finds – DE/DACH,Interior / Home Decor Finds,DE,"Amazon.de (70 % Klicks, AOV 40 EUR, 5.0 %) | Shops (Connox 8 %/60 T, Nordic Nest 8 %, Desenio, Lampenwelt) (30 % Klicks, AOV 120 EUR, 8.0 %)",47.3,5.69,2.69,1.99,12,1508,2513,5025,10051,2.31,217547,226611555,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon.de Wohnen/Möbel 5 % (VERIFIED, A). EN-Content-Dichte Wohnen 19,5× höher als DE (F 7.2). Keine DE faceless Home-Finds-Page >100k gefunden (I)."
K01,Desk Setups – EN/INT,Desk Setup / Home Office,EN,"Amazon.com (70 % Klicks, AOV 60 USD, 3.5 %) | Brands (FlexiSpot, Logitech, Grovemade, Nanoleaf …) (30 % Klicks, AOV 250 USD, 6.0 %)",69.2,4.34,3.0,2.62,10,1146,1910,3819,7638,2.51,152153,230534977,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon US: Electronics 4 %, PC 2,5 %, Home/Furniture 3 % (A). FlexiSpot UK 4–8 % AOV 292 £, Logitech 4–10 % AOV 125 $ (B)."
K08,Espresso-Setups – DE/DACH,Kaffee / Espresso-Setups,DE,"Amazon.de (Zubehör, Mühlen) (50 % Klicks, AOV 70 EUR, 5.0 %) | Brands/Shops (De'Longhi 7 %, Coffee Circle 60 T, Coffee Friend 10 %, Kaffee24) (50 % Klicks, AOV 300 EUR, 7.0 %)",120.5,6.09,7.34,5.31,14,565,942,1885,3770,1.54,122589,127696653,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","De'Longhi DE bis 7 % (VERIFIED), AOV >200 € (B). DE-Kaffee-Community pro Nutzer ähnlich aktiv wie EN (F 7.2) -> kein DE-Konkurrenzvorteil."
K10,Backyard Wellness (Sauna/Plunge) – US,"Backyard Wellness: Sauna, Cold Plunge, Hot Tub",US,"Amazon.com (Fass-Saunen, Plunges, Zubehör) (40 % Klicks, AOV 120 USD, 3.0 %) | Brands (Sun Home 5 %, RecoSauna 7 %, Sweat Kingdom 5–10 %, Renu 7 %) (60 % Klicks, AOV 5000 USD, 5.5 %)",254.9,4.52,11.53,10.38,10,289,482,963,1927,0.83,116082,234508547,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Sun Home 5 %, Social ausdrücklich erlaubt; Saunen 12–45k $; Sweat Kingdom AOV 4–25k $ (C). High-Ticket-CVR ohne Benchmark (ASSUMPTION)."
K02,Desk Setups – DE/DACH,Desk Setup / Home Office,DE,"Amazon.de (75 % Klicks, AOV 55 EUR, 3.5 %) | Brands (noblechairs, FlexiSpot, Govee, Ugreen, nbb) (25 % Klicks, AOV 220 EUR, 5.0 %)",73.3,4.0,2.93,2.12,14,1415,2359,4717,9434,2.02,232950,242655887,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon.de: Elektronik 3 %, Wohnen/Möbel 5 %, Mobile Elektronik 2,5 % (A). noblechairs 5 %, FlexiSpot DE 4 % AOV 247 €, Govee 5–12 % (B)."
K29,AI Dream Interiors / Luxury Homes – EN,AI-Interior / Luxury Homes (aspirational),EN,"Amazon.com ('ähnliche' Deko) (60 % Klicks, AOV 60 USD, 3.0 %) | Möbel-Shops (AllModern 8 %) (40 % Klicks, AOV 400 USD, 6.0 %)",82.1,4.31,3.54,3.09,10,970,1617,3233,6467,1.88,172354,522283435,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Dreamy Interior 315k / Bau Rausch 620k ohne Kauflinks (I, J). Views hoch, Kaufabsicht niedrig (K: Unterhaltungs-Views ~0–3 $/1 Mio.)."
K23,Hundeprodukte – DE,Haustiere (Hund),DE,"Amazon.de (Haustier 3 %) (60 % Klicks, AOV 35 EUR, 3.0 %) | Shops (Fressnapf 8 % Neukunden/60 T, ZooRoyal 11 %, wildfang 10–13 %) (40 % Klicks, AOV 55 EUR, 9.0 %)",40.7,5.32,2.16,1.71,6,1755,2925,5849,11699,2.52,232115,241786886,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Fressnapf 8 % Neukunden (C). DE-Hunde-Community pro Nutzer ähnlich aktiv wie EN (F). KI-Hunde, die Produkte 'benutzen' = irreführend (G)."
K11,Garten-Wellness (Sauna/Whirlpool/Pool) – DE,"Backyard Wellness: Sauna, Whirlpool, Pool",DE,"Amazon.de (40 % Klicks, AOV 80 EUR, 3.5 %) | Shops (Mein-Saunashop Ø851 €, Sauna24 8 %/90 T, AIDA 10 %, primepool Ø628 €) (60 % Klicks, AOV 650 EUR, 6.5 %)",194.0,5.51,10.69,7.91,12,379,632,1265,2530,0.9,140554,195214278,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Adcell-gemessene Ø-Warenkörbe 387–851 € bei 4–10 % (C, VERIFIED). Saison gegenläufig (Sauna Winter / Pool Sommer)."
K28,3D-Druck & Maker – US,3D-Druck / Maker,US,"Amazon.com (All other 4 %) (50 % Klicks, AOV 45 USD, 4.0 %) | Brands (Bambu Lab 10 %, Creality 4–8 %, Anycubic 5 %/60 T) (50 % Klicks, AOV 500 USD, 8.0 %)",100.5,6.7,6.74,6.06,10,495,825,1650,3299,2.14,77180,116939074,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Bambu Lab US 10 % (D). Community reagiert negativ auf KI-'Prints', die nie gedruckt wurden."
K03,Gaming Setups – EN/INT,Gaming Setup,EN,"Amazon.com (80 % Klicks, AOV 50 USD, 3.0 %) | Brands (Logitech G, Corsair, Secretlab) (20 % Klicks, AOV 150 USD, 5.0 %)",48.6,3.35,1.63,1.42,10,2110,3516,7032,14064,2.74,256637,633672593,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","PC 2,5 %, Videospiele 1 %, Electronics 4 % (A). Gaming-Publikum jünger/globaler -> Geo-Abschlag (J: Monetarisierung oft mit Billigprodukten)."
K05,Home Decor Finds – US,Interior / Home Decor Finds,US,"Amazon.com (65 % Klicks, AOV 45 USD, 3.0 %) | Shops (AllModern 8 %/45 T, Wayfair, Ruggable, LTK/ShopMy) (35 % Klicks, AOV 180 USD, 7.0 %)",48.7,4.09,1.99,1.79,10,1672,2786,5572,11144,2.85,195845,296734894,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon US Home/Furniture 3 % (A). Williams-Sonoma-Gruppe 1 %/1 Tag, schließt anonyme Accounts aus (A). ≥12 EN Home-Theme-Pages >100k (I)."
K22,Camping & Power Stations – DE,Camping / Vanlife / Power Stations,DE,"Amazon.de (Sport 4 %, Elektronik 3 %) (50 % Klicks, AOV 60 EUR, 3.5 %) | Shops (EcoFlow 5 %/7 T, Jackery 5–8 %, Bergfreunde 7 %) (50 % Klicks, AOV 500 EUR, 6.0 %)",133.3,5.06,6.75,4.54,20,661,1102,2204,4407,1.62,136031,188932073,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","EcoFlow DE 5 %, AOV 1.000 €, nur 7 T Cookie; Bergfreunde Bestätigungsrate nur 65 % (D)."
K15,Amazon-Fundstücke Gadgets – DE,Tech Gadgets / Amazon Finds,DE,"Amazon.de (90 % Klicks, AOV 35 EUR, 3.0 %) | Brands (Ugreen 8 %, Govee 5–12 %) (10 % Klicks, AOV 70 EUR, 7.0 %)",36.1,3.25,1.17,0.85,14,3535,5892,11784,23569,2.79,422381,366650379,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon.de 'Alle anderen' 3 %, Mobile Elektronik 2,5 % (A). Amazon-Finds-Content-Dichte EN 25,6× DE (F). Kein dedizierter DE-Finds-Kanal in Top-20 (F 7.3)."
K14,Tech Gadgets / Amazon Finds – EN/US,Tech Gadgets / Amazon Finds,EN,"Amazon.com (90 % Klicks, AOV 35 USD, 4.0 %) | Brands (Ugreen 8 %, Casetify 10 %, Nomad 10 %) (10 % Klicks, AOV 80 USD, 8.0 %)",31.0,4.22,1.31,1.14,10,2625,4376,8752,17503,3.69,237170,299457383,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","Amazon 'All other' 4 % (A). EN-Finds-Kanal: 41,7 % US, 24,1 % Indien (F 8). Hochgesättigt (Justice Buys, JayFindsThings 7,8 Mio.)."
K21,Golf-Simulatoren & Golf-Tech – US,Golf / Golf-Simulatoren,US,"Amazon.com (Sports 3 %) (50 % Klicks, AOV 80 USD, 3.0 %) | Brands (SkyTrak 10–15 %, 2nd Swing 5–15 %) (50 % Klicks, AOV 1500 USD, 10.0 %)",110.9,5.81,6.44,5.67,12,529,882,1764,3528,1.45,121672,245801117,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION","SkyTrak 15 % (Awin) / 10 % (CJ), Produkte >1.300 $ (D). Keine Golf-Affiliate-Theme-Page belegt (J)."
K18,Beauty & Skincare – DE,Beauty / Skincare,DE,"Amazon.de (Beauty 4 %) (40 % Klicks, AOV 30 EUR, 4.0 %) | Shops (The Ordinary 13–20 %, Sephora DE 12 %, Lookfantastic 12 %) (60 % Klicks, AOV 50 EUR, 12.0 %)",40.0,9.0,3.6,2.78,8,1078,1796,3593,7186,2.4,149708,155945971,"Provisionen/AOV: VERIFIED bzw. THIRD-PARTY laut quellen/raw_programs_*.csv; Klickanteile, CVR, Retouren, Geo: MODEL ASSUMPTION",Hohe Raten (D). Aber: KI darf keine Hautergebnisse zeigen; faceless Beauty ohne Vertrauen; HIGH Compliance (G).
