rang_score,id,kombination,markt,kaufintention_1_5,klicks_pro_1m_conservative,bestellungen_pro_1m_conservative,provision_pro_1m_eur_conservative,klicks_pro_1m_base,bestellungen_pro_1m_base,provision_pro_1m_eur_base,klicks_pro_1m_strong,bestellungen_pro_1m_strong,provision_pro_1m_eur_strong,klicks_pro_1m_exceptional,bestellungen_pro_1m_exceptional,provision_pro_1m_eur_exceptional,epc_base_eur,views_fuer_5k_gewinn_base,views_fuer_10k_gewinn_base,views_fuer_20k_gewinn_base,views_fuer_5k_gewinn_strong,views_fuer_10k_gewinn_strong,views_fuer_20k_gewinn_strong,realistische_views_monat12_base,realistische_views_monat12_strong,realistische_views_monat12_exceptional,gewinn_monat_bei_realistischen_views_base_szenario,gewinn_monat_bei_strong_views_strong_szenario,gewinn_monat_bei_exceptional_views_exceptional_szenario,contentkosten_pro_1m_views_bei_base_reichweite_eur,annahmen
1,K32,Kitchen & Coffee Setups – EN/US,EN,4,112,1.3,4,660,15.2,56,1860,76.5,311,5100,298.4,1233,0.085,99304757,187969719,365299642,18029581,34127420,66323100,5000000,20000000,50000000,-318,5612,61033,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
2,K31,Küchen- & Kaffee-Setups – DE/DACH,DE,4,180,1.6,5,960,17.4,64,2550,79.6,335,6600,288.1,1247,0.067,87374559,165387558,321413555,16724140,31656408,61520943,2000000,7000000,20000000,-472,1744,24340,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
3,K06,Küche & Küchengadgets – DE,DE,5,216,2.6,4,1152,28.5,50,3060,128.5,242,7920,465.3,903,0.043,112802196,213518443,414950936,23139109,43799029,85118867,2000000,7000000,20000000,-501,1094,17465,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
4,K13,BBQ & Outdoor Kitchen – US,US,4,112,1.2,6,660,14.2,83,1860,72.5,497,5100,293.2,2256,0.126,67284558,127360055,247511051,11261333,21316094,41425616,3000000,10000000,25000000,-350,4373,55794,200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
5,K09,Espresso-Setups – EN/US,EN,4,112,1.1,6,660,12.8,78,1860,64.6,429,5100,251.8,1703,0.118,72115357,136504069,265281492,13040767,24684309,47971394,3000000,10000000,25000000,-367,3694,41970,200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
6,K12,Grill & Pizzaofen – DE,DE,4,180,1.5,8,960,16.3,98,2550,76.5,544,6600,290.4,2349,0.102,57410899,108670631,211190094,10293172,19483503,37864167,1000000,4000000,10000000,-502,1576,22892,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
7,K07,Küche & Küchengadgets – US,US,5,135,2.2,3,792,25.5,44,2232,127.2,234,6120,497.2,928,0.055,127676876,241674086,469668507,23894011,45227949,87895826,5000000,20000000,50000000,-381,4087,45807,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
8,K17,Travel Gear – EN/US,EN,3,84,1.0,3,495,11.4,41,1395,57.9,232,3825,229.5,972,0.083,135899205,257237781,499914932,24179842,45768987,88947276,3000000,10000000,25000000,-476,1716,23695,200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
9,K04,Home Decor Finds – DE/DACH,DE,4,180,2.1,4,960,22.2,44,2550,100.7,221,6600,372.9,886,0.046,126902471,240208248,466819803,25369213,48020295,93322461,2000000,7000000,20000000,-512,945,17126,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
10,K01,Desk Setups – EN/INT,EN,4,112,1.4,3,660,16.6,43,1860,83.0,233,5100,323.9,930,0.066,129099587,244367076,474902054,24020260,45466920,88360241,3000000,10000000,25000000,-470,1731,22650,200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
11,K08,Espresso-Setups – DE/DACH,DE,4,180,1.4,7,960,14.8,78,2550,68.2,408,6600,246.7,1521,0.082,71510126,135358452,263055105,13712886,25956535,50443832,1000000,4000000,10000000,-522,1034,14610,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
