nische,brand_haendler,url_programm,netzwerk,zielmarkt,provision,provision_datenqualitaet,cookie_dauer,cookie_datenqualitaet,aov_bekannt,social_media_erlaubt,instagram_erlaubt,deep_links,produktfeed_api,internationale_lieferung,besonderheiten,quelle_url,pruefdatum
Travel Gear,Away (Koffer),https://www.flexoffers.com/affiliate-programs/away-affiliate-program/,Ascend/Pepperjam; FlexOffers (Sub-Netzwerk),US,"3 % (Ascend-Listing); 2,4 % via FlexOffers",THIRD-PARTY ESTIMATE,30 Tage,THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Keine offizielle Affiliate-Seite gefunden; für Premium-Koffer niedrige Rate. Netzwerkdaten via Verzeichnis affiliate-marketing.de (Stand 26.09.2026),https://www.affiliate-marketing.de/partnerprogramme/awaytravel.com ; https://www.flexoffers.com/affiliate-programs/away-affiliate-program/,2026-09-26
Travel Gear,Monos,https://ui.awin.com/merchant-profile/92089,Awin (ehem. ShareASale),US (Publisher global zugelassen),5 %,THIRD-PARTY ESTIMATE,30 Tage,VERIFIED,UNKNOWN,"UNKNOWN (gesucht: Press, Review-Sites)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Awin-Profil: 'No spam or coupon sites permitted'; Fokus Presse/Review-Seiten. Provision aus Netzwerkdaten via Verzeichnis affiliate-marketing.de (Stand 26.09.2026),https://ui.awin.com/merchant-profile/92089 ; https://www.affiliate-marketing.de/partnerprogramme/monos.com,2026-09-26
Travel Gear,Rimowa (LVMH),https://www.flexoffers.com/affiliate-programs/rimowa-us-affiliate-program/,FlexOffers-Listings (US/EU); Primärnetzwerk unklar,"US, EU",5 % (einzelne Quelle 8 %),THIRD-PARTY ESTIMATE,30 Tage (andere Quelle 45 Tage),THIRD-PARTY ESTIMATE,Bestellungen 'oft > 500 USD' (Third-party-Schätzung),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Luxus-Koffer mit hohem Produktpreis, aber kein offizielles Programmdokument gefunden; Konditionen widersprüchlich.",https://getlasso.co/affiliate/rimowa/ (via Websuche) ; https://www.flexoffers.com/affiliate-programs/rimowa-us-affiliate-program/,2026-09-26
Travel Gear,Samsonite (US),https://www.flexoffers.com/affiliate-programs/samsonite-affiliate-program/,Impact (US); div. Sub-Netzwerke,US,"4,75 % (FlexOffers); 3,75-3,8 % (andere Sub-Netzwerke)",THIRD-PARTY ESTIMATE,14-30 Tage (je Netzwerk),THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Für samsonite.de kein DACH-Programm im Verzeichnis gefunden (nur US-Impact). Netzwerkdaten via Verzeichnis affiliate-marketing.de (Stand 26.09.2026),https://www.affiliate-marketing.de/partnerprogramme/samsonite.com ; https://www.affiliate-marketing.de/partnerprogramme/samsonite.de,2026-09-26
Travel Gear,Horizn Studios (DE),https://www.webgains.de/front/publisher/program/view/programID/11093,Webgains (DE) + CJ (lt. Brand),DE (Shops EU/UK/US),8 % (Webgains-Profil; Beschreibung nennt 10 %),VERIFIED,bis 90 Tage (Webgains) / 30 Tage (Brand-Seite),VERIFIED,'Excellent AOV' (keine Zahl),ja (Influencer IG/YT/TikTok/FB zugelassen),ja,ja,"ja (täglicher Datafeed, 577 Artikel)",ja (EU/UK/US-Shops),"ACHTUNG: Webgains-DE-Programm - Schließung angekündigt, keine Neuanmeldung, letzte Zahlung 16.09.2026. SEM eingeschränkt, kein Brand-Bidding.",https://www.webgains.de/front/publisher/program/view/programID/11093 ; https://horizn-studios.com/pages/affiliate,2026-09-26
Travel Gear,BÉIS (Béis Travel),https://ui.awin.com/merchant-profile/115877,Awin,US (+UK),3 % (Third-party); im Awin-Profil nicht genannt,THIRD-PARTY ESTIMATE,30 Tage,VERIFIED,"~233 USD (Third-party, hienergy)","ja - Social-Influencer, Vlogger, Creator ausdrücklich gesucht",ja,UNKNOWN,UNKNOWN,UNKNOWN,"45 Tage Rückgabe, 60 Tage Validierung; Provision auf Neu- UND Bestandskunden.",https://ui.awin.com/merchant-profile/115877,2026-09-26
Travel Gear,CALPAK,https://www.calpaktravel.com/pages/affiliate-program,"Impact; zusätzlich Skimlinks, LTK/rewardStyle, MagicLinks",US,8 %,THIRD-PARTY ESTIMATE,30 Tage,VERIFIED,UNKNOWN,ja (Creator via LTK/MagicLinks),ja (über LTK),UNKNOWN,UNKNOWN,US-Fokus,Nur Partner mit überwiegend US-Publikum ('focusing on partners who have audiences based in the U.S.').,https://www.calpaktravel.com/pages/affiliate-program,2026-09-26
Travel Gear,Bellroy,https://bellroy.com/affiliate-program,Rakuten (US) + Skimlinks,US (global Shop),7 %,VERIFIED,30 Tage,THIRD-PARTY ESTIMATE,180 USD (Brand-Seite); Retourenquote ~6 %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ja (global),Kein Bidding auf Brand-Keyword 'Bellroy'.,https://bellroy.com/affiliate-program,2026-09-26
Travel Gear,Peak Design,https://peakdesign.zendesk.com/hc/en-us/articles/207943586-Affiliate-Program-Rules,UNKNOWN (Bewerbung über Brand-Seite),global,10 %,THIRD-PARTY ESTIMATE,30 Tage,THIRD-PARTY ESTIMATE,~150 USD (Third-party),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,ja (global),Offizielle Regeln-Seite blockiert (HTTP 403) - nicht direkt geprüft.,https://www.flexoffers.com/affiliate-programs/peak-design-affiliate-program/ ; https://affiliateprogramfinder.com/affiliate-programs/peak-design-affiliate-program/,2026-09-26
Travel Gear,Osprey (Rucksäcke),https://www.osprey.com/culture/affiliate,AvantLink,US,8 %,THIRD-PARTY ESTIMATE,30 Tage,THIRD-PARTY ESTIMATE,150+ USD (Third-party),UNKNOWN,UNKNOWN,UNKNOWN,AvantLink-Datafeed (Third-party),UNKNOWN,Offizielle Seite blockiert (HTTP 403).,https://getlasso.co/affiliate/osprey-packs/ (via Websuche),2026-09-26
Travel Gear,Db (Db Journey),https://ui.awin.com/merchant-profile/109840,"Awin (DE, UK, US, NO, SE); Webgains UK; Creator-Programm direkt","DE, UK, US, Nordics","Awin: 3 % (Verzeichnis); Creator-Programm: 10 % (Brand, via Suche)",THIRD-PARTY ESTIMATE,14 Tage Standard; 30 Tage für Creator,VERIFIED,180 EUR (Awin-Profil DE),"ja - Social-Influencer (Foto, Travel, Snow, Surf, Outdoor) ausdrücklich gesucht",ja,UNKNOWN,UNKNOWN,ja (EU/UK/US-Shops),"30 Tage Retoure, 90 Tage Validierungsfenster, 60 Tage Auto-Validierung; keine offenen Gutscheinseiten; Produktproben für Creator.",https://ui.awin.com/merchant-profile/109840 ; https://www.affiliate-marketing.de/partnerprogramme/dbjourney.com ; https://dbjourney.com/pages/creator,2026-09-26
Travel Gear,CabinZero,https://www.cabinzero.com/pages/affiliates,"Rakuten; zusätzlich Shopify Collabs, Heepsy-Creatorprogramm",global,8 %,THIRD-PARTY ESTIMATE,14 Tage,THIRD-PARTY ESTIMATE,UNKNOWN,ja (eigenes Influencer/Creator-Programm),UNKNOWN,UNKNOWN,UNKNOWN,ja (Multi-Währung),"Mehrere Partner-Tracks (Affiliate, Shopify Collabs, Ambassador).",https://www.cabinzero.com/pages/affiliates ; https://linkclicky.com/affiliate-program/cabin-zero/,2026-09-26
Travel Gear,TUMI (US),https://www.flexoffers.com/affiliate-programs/tumi-us-affiliate-program/,Sovrn/Skimlinks/FlexOffers-Listings; Primärnetzwerk unklar,US,"~6 % (Angaben schwanken 1-6,3 %)",THIRD-PARTY ESTIMATE,30 Tage,THIRD-PARTY ESTIMATE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Premium-Koffer, aber Konditionen nicht primär belegbar.",https://www.cuelinks.com/campaigns/tumi-affiliate-program ; https://merchant.skimlinks.com/network/5092/Tumi-affiliate-program/offers,2026-09-26
