rang,id,kombination,markt,score_0_100,affiliate_economics_1_5 (20%),kaufintention (15%),organic_viral (15%),competition_opportunity (10%),ai_content_fit (10%),passivity (10%),market_flexibility (5%),product_variety (5%),compliance_trust (5%),cross_platform (5%),provision_pro_1m_base_eur
1,K32,Kitchen & Coffee Setups – EN/US,EN,65.6,2.12,4,5,2,4,4,4,5,4,4,56
2,K31,Küchen- & Kaffee-Setups – DE/DACH,DE,63.8,2.26,4,4,3,4,4,3,5,4,4,64
3,K06,Küche & Küchengadgets – DE,DE,63.7,1.99,5,4,4,3,4,3,4,3,4,50
4,K13,BBQ & Outdoor Kitchen – US,US,60.2,2.55,4,5,2,3,3,3,4,4,4,83
5,K09,Espresso-Setups – EN/US,EN,59.9,2.47,4,4,2,3,4,4,4,4,4,78
6,K12,Grill & Pizzaofen – DE,DE,59.8,2.72,4,4,3,3,3,3,4,4,4,98
7,K07,Küche & Küchengadgets – US,US,59.3,1.85,5,5,1,3,4,3,4,3,4,44
8,K17,Travel Gear – EN/US,EN,58.9,1.78,3,4,3,4,4,4,4,4,5,41
9,K04,Home Decor Finds – DE/DACH,DE,58.0,1.86,4,4,4,3,3,3,5,3,4,44
10,K01,Desk Setups – EN/INT,EN,57.9,1.84,4,4,2,4,3,4,5,4,4,43
11,K08,Espresso-Setups – DE/DACH,DE,57.4,2.48,4,3,3,3,4,3,4,4,4,78
12,K10,Backyard Wellness (Sauna/Plunge) – US,US,56.6,1.82,3,4,3,5,4,2,3,4,4,43
13,K02,Desk Setups – DE/DACH,DE,56.4,1.78,4,3,4,4,3,3,5,4,3,41
14,K29,AI Dream Interiors / Luxury Homes – EN,EN,56.2,1.0,2,5,2,5,5,5,3,3,5,19
15,K23,Hundeprodukte – DE,DE,55.2,1.79,4,5,2,2,4,3,4,3,4,41
16,K11,Garten-Wellness (Sauna/Whirlpool/Pool) – DE,DE,55.1,2.02,3,3,3,5,4,3,3,4,4,51
17,K28,3D-Druck & Maker – US,US,54.1,2.58,4,4,3,2,3,4,3,3,3,86
18,K03,Gaming Setups – EN/INT,EN,53.8,1.0,3,5,2,5,2,4,5,4,4,16
19,K05,Home Decor Finds – US,US,52.8,1.57,4,5,1,3,3,3,5,3,4,34
20,K22,Camping & Power Stations – DE,DE,51.5,2.06,3,3,3,4,3,3,4,4,4,53
21,K15,Amazon-Fundstücke Gadgets – DE,DE,49.2,1.34,5,4,4,2,2,2,4,2,3,27
22,K14,Tech Gadgets / Amazon Finds – EN/US,EN,49.0,1.56,5,5,1,2,2,3,4,2,4,33
23,K21,Golf-Simulatoren & Golf-Tech – US,US,48.8,1.77,3,3,4,3,4,2,3,4,3,41
24,K18,Beauty & Skincare – DE,DE,48.8,2.26,4,4,2,2,3,3,4,1,4,64
25,K19,Beauty Devices – US,US,48.8,3.0,4,4,2,2,3,3,2,1,3,127
26,K16,Smart Home – DE,DE,47.6,1.52,3,3,4,3,3,3,4,4,3,32
27,K27,Home Gym – US,US,46.5,1.55,3,4,2,3,4,2,4,3,3,33
28,K20,Fashion 'Shop the Look' – DE,DE,46.0,1.95,4,4,2,2,1,3,5,2,5,48
29,K24,Autozubehör & Pflege – DE,DE,46.0,1.69,4,3,3,2,3,3,4,3,3,38
30,K26,Garten & Gartendesign – DE,DE,43.6,1.47,3,3,2,4,2,3,4,3,5,31
31,K30,Travel Destinations / Dream Trips – EN,EN,42.5,1.0,2,5,1,3,3,5,3,2,5,15
32,K25,Schlaf & Matratzen – US,US,33.6,1.98,2,1,3,3,4,2,3,3,2,49
