quelle_strang,handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
M1,grannyspills,https://www.instagram.com/grannyspills/,Instagram,AI Baby/Character,AI Grandma (Sassy-Advice-Charakter),US/EN,Launch 2025-07-04 (Presse/Analyse) -> ca. 14-15 Monate,2025-07 (lt. startupspells; Reel DL8o9HPtwf0 2025-07-11),"THIRD-PARTY OBSERVED (startupspells.com, TIME)",2162172,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),2137442 (2026-08-27),2100159 (2026-07-28),2046576 (2026-06-28),UNKNOWN,"AvatarFactory-Tagesreihe 2026-06-21..09-18; Instastatistics-Snapshots 2026-08-12=2115559, 2026-09-21=2154699; 1M nach 22 Tagen (2025-07-26), 1,8M am 2025-11-14 (startupspells)","THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26); SELF-REPORTED/Presse fuer 2025",193,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"22.2 (ESTIMATED aus letzten 6 Posts, 2026-09-25..2026-09-26)",UNKNOWN (30-Tage-Ø pro Tag 361K Views lt. AvatarFactory),UNKNOWN,https://www.instagram.com/reel/DTdwIm-EuUd/,21060000,2026-01-13,https://www.instagram.com/reel/DTdwIm-EuUd/|21.06M|2026-01-13; https://www.instagram.com/reel/DNvnGemWijH/|12M|2025-08-24; https://www.instagram.com/reel/DcW2J0PihdZ/|3.84M|2026-08-22; https://www.instagram.com/reel/DL8o9HPtwf0/|2.71M|2025-07-11; https://www.instagram.com/reel/Dc8w0HKieK8/|1.53M|2026-09-06,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",5 (davon 2 >10M),"Top-Reel 1,51 Mio Likes; 30-Tage-Views 10,84M, 90-Tage 16,24M (AvatarFactory)",VERIFIED,"Bio: ""Birthed by @blurstudios.ai""; TIME-Artikel & startupspells bestaetigen KI-Figur (Veo 3)","Veo 3 (lt. startupspells), LLM-Skripte",E,nein,"ja: Artlist-Affiliate-Link in Bio; Brand Deals (Kurt Geiger, Papi Steak), Cameo, $30-PDF (lt. Presse/Analysen)",https://artlist.io/artlist-70446/?artlist_aid=granny-spills_4134&utm_source=affiliate_p&utm_medium=granny-spills_4134&utm_campaign=granny-spills_4134,https://www.instastatistics.com/grannyspills | https://avatarfactory.io/ai-influencers/granny-spills | https://startupspells.com/p/grannyspills-ai-influencer-1m-instagram-followers | https://time.com/7329699/ai-influencers-tiktok-granny-spills/,2026-09-26,"Legacy-Kontext (>12 Monate). Wachstum verlangsamt: ca. +116K in 90 Tagen (+5,7%). Benchmark fuer AI-Grandma-Format; zahlreiche Nachahmer."
M1,auntieauroraa,https://www.instagram.com/auntieauroraa/,Instagram,AI Baby/Character,AI Grandma/Auntie (Money-Talk),US/EN,UNKNOWN (aeltestes bekanntes Reel 2025-09-23),<= 2025-09-23 (Reel DO9g21NkmeI),ESTIMATED (Shortcode-Datum),120303,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),120774 (2026-08-27),121256 (2026-07-28),121739 (2026-06-28),UNKNOWN,AvatarFactory-Tagesreihe 2026-06-21..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",52,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"0.2 (ESTIMATED aus letzten 6 Posts, 2026-01-31..2026-09-02)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DTYiD4qEtdU/,751000,2026-01-11,https://www.instagram.com/reel/DTYiD4qEtdU/|751K|2026-01-11; https://www.instagram.com/reel/DUKQ2WUAmeu/|268K|2026-01-31; https://www.instagram.com/reel/DVJ705sEoB3/|162K|2026-02-24; https://www.instagram.com/reel/DRX4OtqEq2A/|148K|2025-11-22; https://www.instagram.com/reel/DO9g21NkmeI/|124K|2025-09-23,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",0 (Top-5 lt. AvatarFactory <1M),"30-Tage-Views nur 2,4K (AvatarFactory) – Account praktisch inaktiv",VERIFIED,"Bio: ""Birthed by @blurstudios.ai""; Captions taggen @higgsfield.ai",Higgsfield,C,nein,keine sichtbar (Kontakt-Mail blurstudios),keiner,https://www.instastatistics.com/auntieauroraa | https://avatarfactory.io/ai-influencers/auntie-aurora,2026-09-26,Schwester-Charakter von Granny Spills (Blur Studios). Leicht schrumpfend (-1.436 in 90 Tagen). Zeigt: Studio-Spin-offs erben keinen Dauer-Momentum.
M1,nananessaa,https://www.instagram.com/nananessaa/,Instagram,AI Baby/Character,AI Grandma (Corporate-Humor),US/EN,UNKNOWN,UNKNOWN,UNKNOWN,116337,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine historischen Snapshots,UNKNOWN,40,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"0.2 (ESTIMATED aus letzten 6 Posts, 2026-01-26..2026-09-02)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,letzte Posts max. 1.516 Likes; zuletzt 2026-09-02 gepostet,VERIFIED,"Bio: ""Birthed by @blurstudios.ai""; Caption taggt @higgsfield.ai",Higgsfield,"C,D",nein,keine sichtbar,keiner,https://www.instastatistics.com/nananessaa | https://avatarfactory.io/ai-influencers/nana-nessa,2026-09-26,"116K Follower mit nur 40 Posts (Klasse C+D), aber Alter unbekannt; wenig aktuelle Aktivitaet."
M1,blurstudios.ai,https://www.instagram.com/blurstudios.ai/,Instagram,AI Baby/Character,AI-Character-Studio (Granny Spills u.a.),US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-01-13),UNKNOWN,7881,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,9,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"0.2 (ESTIMATED aus letzten 6 Posts, 2026-01-13..2026-08-22)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DTdwIm-EuUd/,"21060000 (Collab-Reel, Views lt. AvatarFactory auf grannyspills)",2026-01-13,UNKNOWN,THIRD-PARTY OBSERVED,mind. 3 (Collab-Reels mit grannyspills),Collab-Posts mit Granny Spills: 1.511.869 / 954.115 / 763.011 Likes bei nur 7.881 Followern (Collab-Mechanik),VERIFIED,"Bio: ""Birthing the world's most influential AI personalities.""",UNKNOWN,-,"ja (technisch, via Collab-Posts)",Studio-Website blurstudios.ai,http://blurstudios.ai,https://www.instastatistics.com/blurstudios.ai,2026-09-26,"Kein eigenstaendiger Nischen-Account, aber belegt Studio-Modell hinter AI-Grandmas (Granny Spills, Auntie Aurora, Nana Nessa)."
M1,hua_jin123,https://www.instagram.com/hua_jin123/,Instagram,AI Baby/Character,AI Grandma Remedies (asiatisches Paar),US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-24),UNKNOWN,1027991,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),1004313 (2026-08-27),UNKNOWN (fruehester Snapshot 2026-08-12: 932021),UNKNOWN,UNKNOWN,AvatarFactory-Tagesreihe 2026-08-12..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",454,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"25.9 (ESTIMATED aus letzten 6 Posts, 2026-09-24..2026-09-25)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/Db5lgk5BjRF/,2630000,2026-08-11,https://www.instagram.com/reel/Db5lgk5BjRF/|2.63M|2026-08-11; https://www.instagram.com/reel/Db3Pp-YNEA3/|441K|2026-08-10; https://www.instagram.com/reel/DcuNc8kifEV/|321K|2026-08-31; https://www.instagram.com/reel/Db8QXbqS5Tq/|264K|2026-08-12; https://www.instagram.com/reel/DckL4Eqj4mF/|159K|2026-08-28,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",1,UNKNOWN,VERIFIED,"Captions mit Offenlegungs-Hashtag ""#syntheticperformer #ad""",UNKNOWN,E,nein,"ja: Amla-Produkt-Link (linktw.in), ""Ancient Remedies Bible"" Comment-to-DM, #ad",https://linktw.in/RJscMU,https://www.instastatistics.com/hua_jin123 | https://avatarfactory.io/ai-influencers/hua-and-jin,2026-09-26,"~+96K in 45 Tagen (932K->1,03M). Grosser, noch wachsender Remedies-Account mit Produkt-Affiliate."
M1,hoosierdogdad,https://www.instagram.com/hoosierdogdad/,Instagram,AI Pets,AI Dog-Dad Persona (Hundepflege-Tipps),US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-23),UNKNOWN,107187,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AvatarFactory: 2026-09-12=100257 -> 09-24=105000; Instastatistics 09-26=107187,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",249,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"13.3 (ESTIMATED aus letzten 6 Posts, 2026-09-23..2026-09-25)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DdjsL2xxAq1/,314000,2026-09-21,https://www.instagram.com/reel/DdjsL2xxAq1/|314K|2026-09-21; https://www.instagram.com/reel/DZxnRxRxnDK/|143K|2026-06-19; https://www.instagram.com/reel/DbMO8HIxbkI/|99.4K|2026-07-24; https://www.instagram.com/reel/DbIqQLqRNFq/|51.5K|2026-07-23; https://www.instagram.com/reel/Dc82MMBx5qH/|23.2K|2026-09-06,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",0 (Top-5 lt. AvatarFactory <1M),UNKNOWN,VERIFIED,"Captions: ""#syntheticperformer #ironpawspartner #ad""",UNKNOWN,-,nein,"ja: Hunde-Multivitamin (#ironpawspartner #ad, linktwin.co)",https://linktwin.co/xfujvm,https://www.instastatistics.com/hoosierdogdad | https://avatarfactory.io/ai-influencers/benny-harmon,2026-09-26,"+6,9K in 14 Tagen. Gleiche Offenlegungs-/Affiliate-Mechanik wie hua_jin123 (vermutlich gleicher Betreiber-Typ)."
M1,aliaboutine,https://www.instagram.com/aliaboutine/,Instagram,AI Animals,"AI Animals/Impossible Clips (Katzen, Maeuse), frueher AI ASMR",EN,UNKNOWN,"<= 2025-06-19 (Reel DLGCBpuyP7w, Suchsnippet)",ESTIMATED (Shortcode-Datum),925172,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,454,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"7.0 (ESTIMATED aus letzten 6 Posts, 2026-09-21..2026-09-26)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DdrgxEoM-wz/,UNKNOWN (41.317 Likes),2026-09-24,UNKNOWN,THIRD-PARTY OBSERVED (Instastatistics) (nur Likes),UNKNOWN,letzte 6 Reels: 146-41.317 Likes (stark schwankend),VERIFIED,"Reel-Titel im Suchindex: ""Satisfying AI ASMR Glass Cutting Made with Veo 3""; Bio ""Bringing the impossible to your feed / Get my tools & prompt guides""",Veo 3,-,nein,"ja: Linktree mit ""tools & prompt guides"" (Info-Produkt/Tool-Affiliate)",https://linktr.ee/aaboutine,https://www.instastatistics.com/aliaboutine | https://www.instagram.com/reel/DLGCBpuyP7w/ | https://linktr.ee/aaboutine,2026-09-26,"925K Follower, verifiziert; Alter >12 Monate wahrscheinlich -> Legacy-Kontext. Pivot von Glass-Cutting-ASMR (2025) zu AI-Katzen/Tier-Sketches (2026)."
M1,talesofaicats,https://www.instagram.com/talesofaicats/,Instagram,AI Animals,"AI Cat Stories/Hybrid-Tiere (""Dovecat"", ""Dolmacat"")",EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-17),UNKNOWN,170043,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,289,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"4.0 (ESTIMATED aus letzten 6 Posts, 2026-09-17..2026-09-25)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,letzte 6 Posts nur 21-411 Likes bei 170K Followern -> niedrige Reichweite aktuell,VERIFIED,"Bio: ""heartwarming AI cat adventures""; Caption erwaehnt ""free AI tools""","UNKNOWN (nennt nur ""free AI tools"")",-,nein,keine sichtbar (Collab per DM/Mail),keiner,https://www.instastatistics.com/talesofaicats,2026-09-26,Etablierter AI-Cat-Account (289 Posts); Alter unbekannt; aktuelles Engagement schwach -> Saettigung AI-Cat-Stories.
M1,rawnaturepov,https://www.instagram.com/rawnaturepov/,Instagram,AI Nature/Wildlife-Surreal,"AI ""Micro-Camera""-Tier-POV / Miniature-FX",EN/Hindi,YouTube-Zwilling erster Upload 2026-01-19 (NexLev),UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-08),"THIRD-PARTY OBSERVED (NexLev, YT-Zwilling)",133232,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,68,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"2.0 (ESTIMATED aus letzten 6 Posts, 2026-09-08..2026-09-25)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,letzte Posts nur 51-109 Likes bei 133K Followern -> Reichweitenverlust auf IG,VERIFIED,"Caption-Hashtags ""#aivideo #aigenerated"" (Reel DdG_KjKu1-o); NexLev isAIContent=true",UNKNOWN,C,nein,Promo/Collab-Anfragen per Mail; YouTube-Link,https://www.youtube.com/@Rawnaturepov,https://www.instastatistics.com/rawnaturepov | https://www.youtube.com/@Rawnaturepov | https://vuela.ai/blog/ai-animal-video-14-million-views-ai-generated,2026-09-26,"Gehoert zum Feb-2026-Trend ""Micro-Kamera am Tier"" (vgl. vuela.ai). Bio behauptet ""Real Field Biology"" trotz #aigenerated -> Irrefuehrungsrisiko. YT: 219K Abos, Top 9,6M (NexLev)."
M1,aicatdrama,https://www.instagram.com/aicatdrama/,Instagram,AI Animals,AI Cat Drama (Orange Cat),EN,UNKNOWN,UNKNOWN (sichtbare Posts 2026-03-27..04-02),UNKNOWN,13528,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,46,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"7.1 (ESTIMATED aus letzten 6 Posts, 2026-03-28..2026-04-02)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,max. 1.114 Likes; letzter Post 2026-04-02 (inaktiv?),VERIFIED,"Bio ""ai creator"" + App-Referral; Hashtag #aicat",Flashloop-App (Referral-Link in Bio),-,nein,ja: App-Referral-Code (links.flashloop.app),https://links.flashloop.app/ABL2vUu6,https://www.instastatistics.com/aicatdrama,2026-09-26,"13,5K Follower bei 46 Posts; wachstumsmaessig unauffaellig, Monetarisierung ueber Tool-Referral."
