rang_momentum,cluster,datenbasis,momentum_score,growth_velocity_25,views_pro_follower_20,million_hit_rate_15,unabhaengige_gewinner_15,geringe_reife_10,konsistenz_10,beschleunigung_5,abos_pro_tag_median,median_views_pro_abo,millionen_shorts_30T,millionen_shorts_120T,kanaele_mit_millionen_short_120T,hit_rate_120T,konzentration_top_kanal,rel_beschleunigung,ergaenzung_ohne_ai_flag_hits_120T_30T,trendklasse
1,AI Senioren-Charaktere (Oma-Rezepte/Hausmittel/Ratgeber),"Instagram (AvatarFactory-/Instastatistics-Reihen, THIRD-PARTY OBSERVED; Teil-Scores ESTIMATED)",79.2,95,90,70,60,85,45,100,+18 % bis +168 % in 9–16 Tagen,"bis ~90× Follower (14,3M-Reel bei ~155k)","≥6 Reels ≥1 Mio (14,3M, 6,0M, 5,2M, 1,35M, 1,15M …)",13 bekannte,5–6,UNKNOWN,mittel (Einzel-Reel-Breakouts),stark (Sprünge 10.–26.09.),,"EMERGING PATTERN (IG, 5–6 Accounts)"
2,"AI Story-Serien (Roblox/3D, Rettung/Moral)",YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),74.6,47.8,83.1,69.6,97.5,77.5,92.5,78.3,701.6,1.71,112,352,34,14.1 %,15 %,2.03,0/0,STRONG TREND
3,AI Fußball-/Promi-Sketche,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),70.1,73.9,34.8,73.6,92.5,82.5,82.5,65.0,1086.0,0.64,70,342,30,14.4 %,22 %,1.12,0/0,STRONG TREND
4,AI Kids-/Game-Figuren,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),62.8,80.8,43.8,63.3,82.5,17.5,87.5,29.0,2135.6,0.76,21,285,16,12.0 %,18 %,0.35,219/57,STRONG TREND
5,AI Film-/Marvel-What-if (3D),YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),59.7,40.5,55.7,59.0,77.5,72.5,72.5,69.9,555.6,1.18,35,129,13,11.0 %,28 %,1.62,20/3,STRONG TREND
6,AI Babys/Familien-Comedy,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),54.0,62.3,48.6,64.4,37.5,87.5,30.0,33.3,1028.8,0.9,1,47,4,22.7 %,62 %,0.1,15/0,EMERGING PATTERN
7,AI Village-/Cozy-Cooking,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),53.5,63.6,62.1,63.6,7.5,95.0,30.0,40.7,3411.9,2.66,3,42,2,37.2 %,62 %,0.33,0/0,ONE-OFF OUTLIER
8,AI Horror/Mystery,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),50.2,55.6,64.4,51.1,37.5,55.0,12.5,66.7,870.4,1.5,13,38,4,8.5 %,71 %,2.26,0/0,EMERGING PATTERN
9,AI Tiere & Haustiere,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),48.7,32.0,28.0,40.3,87.5,37.5,97.5,48.1,528.6,0.59,11,80,17,7.3 %,14 %,0.7,59/29,STRONG TREND
10,AI Nostalgie/Then & Now,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),47.7,28.8,63.8,31.2,57.5,55.0,67.5,43.8,351.6,1.48,3,25,5,4.7 %,32 %,0.59,0/0,STRONG TREND
11,AI Surreal/VFX-Comedy,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),47.7,54.1,59.5,64.1,20.0,25.0,37.5,67.8,846.8,1.29,31,77,3,26.1 %,60 %,2.93,27/2,EMERGING PATTERN
12,AI Hausbau/Cabin/DIY-Timelapse,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),47.5,76.2,23.8,68.9,37.5,5.0,52.5,40.0,2148.4,0.46,6,71,4,34.3 %,44 %,0.41,47/11,EMERGING PATTERN
13,AI Traumorte/„Places that don't feel real“,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),47.0,59.5,56.8,42.2,37.5,25.0,47.5,30.0,896.9,1.27,0,22,4,7.3 %,50 %,0.0,27/9,EMERGING PATTERN
14,AI 3D-Explainer/Kuriositäten,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),46.5,26.1,51.8,34.5,72.5,32.5,77.5,51.7,406.6,0.92,16,109,11,6.9 %,27 %,0.75,0/0,STRONG TREND
15,AI Autos/Luxus,YouTube-Proxy (VERIFIED Views/Daten; AI-Flag LIKELY),46.5,39.2,36.2,45.9,67.5,55.0,42.5,54.1,546.4,0.61,9,53,6,7.5 %,51 %,0.88,0/0,STRONG TREND
