nische_cluster,markt,produkte,hauptprogramme,provision_pct,cookie,aov_eur,provision_pro_sale_eur,cvr_benchmark,retourenquote,purchase_intent,intent_1_5,affiliate_fit,umsatz_pro_1m_views_base_eur,umsatz_pro_1m_views_strong_eur,views_fuer_5k_strong,views_fuer_10k_strong,datenqualitaet,quellen,notizen
"01 KI-Story-Serien (Roblox/3D, Rettungs-/Moral-Storys)",EN/US,"Spielzeug/Plüsch, Kinderbücher; Roblox-Gift-Cards (0 % Provision)","Amazon US Toys 3 % (P-A023), Amazon US Books 4,5 % (P-A006); Amazon Gift Cards 0 % (P-A036); Roblox Creator Affiliate eingestellt 24.07.2025","3,5",Amazon 24 h,28,"1,01","Base 4,00 % / Strong 7,00 % (Klick->Bestellung, gemischt; E M3)",Base 8 % / Strong 5 % (provisionsgewichtet; E M5),ENTERTAINMENT,1,LOW,6,32,174585840,330466054,Provision VERIFIED (Amazon); Roblox-Programm VERIFIED eingestellt; Intent/Geo/CVR MODEL ASSUMPTION,03_affiliate_programs.csv P-A006/P-A023/P-A036; create.roblox.com/docs/affiliates,"Provision/Sale effektiv (nach USt & Retouren, Base) 0,90 €; Geo EN_YOUNG 0.45/0.55; Publikum überwiegend minderjährig/global; Gift-Cards 0 %; kein natürlicher Produktbezug der Story. Structural LOW."
"01 KI-Story-Serien (Roblox/3D, Rettungs-/Moral-Storys)",DE,"Spielzeug, Kinderbücher; Roblox-Guthaben (0 %)","Amazon.de Alle anderen (Spielzeug) 3 % (P-A059), Bücher 5 % (P-A048), Geschenkkarten 0 % (P-A060); Thalia Spielware 8 % / Buch 11 % (Awin)","4,0",Amazon 24 h; Thalia 30 T,33,"1,30","Base 2,58 % / Strong 4,36 % (Klick->Bestellung, gemischt; E M3)",Base 9 % / Strong 6 % (provisionsgewichtet; E M5),ENTERTAINMENT,1,LOW,7,35,162231679,307081392,"Provision VERIFIED (Amazon, Thalia-Awin-Profil); Rest MODEL ASSUMPTION",P-A048/P-A059/P-A060; ui.awin.com/merchant-profile/14158; thalia.de/vorteile/partnerprogramm,"Provision/Sale effektiv (nach USt & Retouren, Base) 1,00 €; Geo DE 0.80/0.85; Wie EN; DE-Kids-Content zusätzlich klein. Structural LOW."
02 KI-Fußball-/Promi-Sketche,EN/US,"Trikots (Spieler-Trikots), Fußballschuhe, Fan-Artikel, Bälle","Fanatics US 5–10 % (Impact, 7 T, THIRD-PARTY), Nike bis 15 % (CJ, 7 T, CLAIMED), Amazon Sports 3 %/Apparel 4 %","4,3",Fanatics 7 T; Nike 7 T; Amazon 24 h,52,"2,27","Base 2,05 % / Strong 3,75 % (Klick->Bestellung, gemischt; E M3)",Base 20 % / Strong 16 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,10,59,94163981,178238964,"Fanatics/Nike-Raten THIRD-PARTY/CLAIMED (Modell nutzt 5 %, nicht 'bis zu'); AOV ESTIMATED; Rest MODEL ASSUMPTION","getlasso.co/affiliate/fanatics; P-D073 (Nike), P-D151 (Fanatics UNKNOWN in Altbestand); P-A007/P-A021","Provision/Sale effektiv (nach USt & Retouren, Base) 1,75 €; Geo EN_YOUNG 0.45/0.55; Größen -> Fashion-Retouren. KI-Sketche mit realen Spielern: Persönlichkeits-/Markenrecht, Nike/adidas/Fanatics-Brand-Safety-Risiko. Globales, junges Publikum (IN/ID/NG/BR) -> EN_YOUNG-Geo."
02 KI-Fußball-/Promi-Sketche,DE,"Trikots, Fußballschuhe, Teamsport, Fan-Artikel","11teamsports 7 % (Top 10 %, Awin, 30 T, VERIFIED), Kitbag/Fanatics EU 3,8–5 % (THIRD-PARTY), Amazon.de Bekleidung 6 %/Sport 4 %, adidas DE 2 % (THIRD-PARTY)","5,0",11teamsports 30 T; Kitbag UNKNOWN; Amazon 24 h,59,"2,92","Base 1,80 % / Strong 3,20 % (Klick->Bestellung, gemischt; E M3)",Base 32 % / Strong 25 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,14,77,72560344,137346365,11teamsports VERIFIED (Awin-Profil 22165); Kitbag/adidas THIRD-PARTY; AOV ESTIMATED; Rest MODEL ASSUMPTION,ui.awin.com/merchant-profile/22165; affiliate-marketing.de/partnerprogramme/kitbag.com; P-D074; P-A037/P-A053,"Provision/Sale effektiv (nach USt & Retouren, Base) 1,67 €; Geo DE 0.80/0.85; Unisport: Cookie 3 T, Rate nicht öffentlich. DE-Retouren Fashion 45 %. Rechte-Risiko wie EN."
03 Film/Anime/Marvel What-if-3D,EN/US,"Funko Pop, Actionfiguren (Marvel Legends), Statuen, Blu-ray/Artbooks; Streaming (kein belastbares Programm)","Amazon Toys 3 %, Funko 4 % (CJ, THIRD-PARTY), Entertainment Earth bis 10 % cash/15 % Guthaben (SELF-REPORTED), eBay Collectibles 3 % (VERIFIED)","3,3",Amazon 24 h; Funko/EE UNKNOWN; eBay 24 h,32,"1,07","Base 2,76 % / Strong 4,92 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 7 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,7,40,140689079,266304329,Amazon/eBay VERIFIED; Funko THIRD-PARTY; EE SELF-REPORTED ('bis zu'); Streaming UNKNOWN,"P-A023, P-D146, P-D152; entertainmentearth.com/affiliate-program (Suchergebnis, Seite 403)","Provision/Sale effektiv (nach USt & Retouren, Base) 0,93 €; Geo EN_YOUNG 0.45/0.55; Disney/Marvel-IP in KI-What-ifs: Urheber-/Markenrisiko, Takedown-Risiko. Crunchyroll/Disney+: Raten dynamisch/unbekannt -> nicht gerechnet."
03 Film/Anime/Marvel What-if-3D,DE,"Funko Pop, Figuren, Merch, Artbooks/Manga","Amazon.de Spielzeug 3 %/Bücher 5 %, Thalia Spielware 8 %/Buch 11 % (Awin, 30 T, VERIFIED), eBay Collectibles 3 %","3,7",Amazon 24 h; Thalia 30 T,36,"1,34","Base 2,05 % / Strong 3,56 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 7 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,10,49,114939369,217563806,"Raten VERIFIED (Amazon, Thalia, eBay); Rest MODEL ASSUMPTION","P-A048/P-A059, P-D146; ui.awin.com/merchant-profile/14158","Provision/Sale effektiv (nach USt & Retouren, Base) 1,01 €; Geo DE 0.80/0.85; IP-Risiko wie EN."
04 KI-Surreal/VFX/What-if,EN/US,keine natürlichen Produkte (höchstens generische Amazon-Links),Amazon US All Other 4 % (P-A035),"3,5",Amazon 24 h,30,"1,05","Base 2,80 % / Strong 4,90 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 8 % (provisionsgewichtet; E M5),ENTERTAINMENT,1,LOW,4,23,245579803,464847484,Rate VERIFIED; Produktbezug fehlt -> Rechnung = theoretische Obergrenze,P-A035,"Provision/Sale effektiv (nach USt & Retouren, Base) 0,92 €; Geo EN_YOUNG 0.45/0.55; Kein Kaufanlass im Content. Structural LOW."
04 KI-Surreal/VFX/What-if,DE,keine natürlichen Produkte,Amazon.de Alle anderen 3 % (P-A059),"3,0",Amazon 24 h,35,"1,05","Base 2,10 % / Strong 3,50 % (Klick->Bestellung, gemischt; E M3)",Base 14 % / Strong 10 % (provisionsgewichtet; E M5),ENTERTAINMENT,1,LOW,5,21,263374486,498530276,Rate VERIFIED; Produktbezug fehlt,P-A059,"Provision/Sale effektiv (nach USt & Retouren, Base) 0,76 €; Geo DE 0.80/0.85; Structural LOW."
05 KI-Tiere & Tierrettung/Wholesome,EN/US,"Hundespielzeug, Futter-/Kratzbaum-Produkte, Pet-Gadgets; Tierschutz-Spenden (keine Provision)","Amazon Pets 3 %, Chewy 1 %/4 % (Impact, 15 T), PETLIBRO 8 %, Tuft + Paw 12 %, Litter-Robot 8 %","5,0",Amazon 24 h; Chewy 15 T; Brands 30–90 T,38,"1,88","Base 3,34 % / Strong 5,80 % (Klick->Bestellung, gemischt; E M3)",Base 5 % / Strong 3 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,19,94,59843553,113275296,Raten VERIFIED (03_affiliate_programs.csv); AOV Brands ESTIMATED,"P-A019, P-C117, P-C122, P-C123, P-C126","Provision/Sale effektiv (nach USt & Retouren, Base) 1,74 €; Geo EN 0.55/0.62; Wal-/Hai-/Wildtierrettung hat keinen Produktbezug; nur Haustier-Content (Hund/Katze) verlinkbar. KI-Tiere, die Produkte 'benutzen' = irreführend (G)."
05 KI-Tiere & Tierrettung/Wholesome,DE,"Hunde-/Katzenzubehör, Futter; Spenden (0 €)","Amazon.de 3 %, Fressnapf 8 % Neukunde (60 T), ZooRoyal 3–12 %, wildfang 10–13 %","5,3",Amazon 24 h; Shops 30–60 T,41,"2,16","Base 2,52 % / Strong 4,20 % (Klick->Bestellung, gemischt; E M3)",Base 6 % / Strong 4 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,21,93,59894878,113372448,Raten VERIFIED; Kanalmix = model.py K23,"P-C129, P-C130, P-C135; model.py K23","Provision/Sale effektiv (nach USt & Retouren, Base) 1,71 €; Geo DE 0.80/0.85; Wie EN."
