handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
@BauRausch,https://www.youtube.com/@BauRausch,YouTube Shorts,KI-Architektur/Häuser/Bau,"KI-Bau-Timelapses (Bunker, Floating Cabin, Turm in Quedlinburg)",DE (Titel teils EN); Kanal-Land US,Kanal angelegt 2025-07-13,2026-04-13,VERIFIED (YouTube About) / THIRD-PARTY OBSERVED (NexLev erstes Upload),621000,2026-09-26,"VERIFIED (YouTube About, gerundet 621K)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,53,VERIFIED (YouTube About),"ca. 2,2 (53 Shorts in ~24 Wochen; ESTIMATED)",1200000,THIRD-PARTY OBSERVED (NexLev),https://www.youtube.com/shorts/BMlCqeKWe5Y,127000000,UNKNOWN,DIY Floating Cabin on Plastic Bottles [Concept AI] 127M | Ich habe einen Schulbus vergraben [KI-Konzept] 85M | Geheimer Turm in Quedlinburg 56M | DIY Floating Cabin from Ocean Plastic 14M | Geheimer Raum in der Klippe [KI-Konzept] 12M,THIRD-PARTY OBSERVED (NexLev topShorts),>=6 (NexLev-Top-Liste),"Gesamtviews 387.092.957 (YouTube About); Ø 7,29 Mio./Short (NexLev)",VERIFIED,Titel-Label '[KI-Konzept]' / '[Concept AI]'; About-Link 'AI Timelapse Guide'; NexLev isAIContent=true,UNKNOWN,Leader DE (>500K),"ja (620K in ~5,5 Monaten seit erstem Upload)",ja: eigenes Info-Produkt 'AI Timelapse Guide'/Starter Guide (vukovic.ink); keine Affiliate-Links,vukovic.ink,https://www.youtube.com/@BauRausch/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,"Betreiber vermutlich nicht deutsch (Kanal-Land US, Business-Mail nicht-deutsch) -> Sprach-Arbitrage-Beleg. DE-Bezug (Quedlinburg) im 3.-stärksten Video. Instagram-/TikTok-Pendant nicht gefunden (TikTok @baurausch = fremdes/leeres Profil)."
@zivoxreal,https://www.youtube.com/@zivoxreal,YouTube Shorts,KI-Tiere / Viral-Stories,Tier-/Alltags-Wunder-Clips ('Panik im Flugzeug wegen diesem Tier'),DE (Titel gemischt DE/EN); Land DE,Kanal angelegt 2025-05-18,2025-08-16,VERIFIED (About) / THIRD-PARTY OBSERVED (NexLev),347000,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,638,VERIFIED,ca. 11 (ESTIMATED),995000,THIRD-PARTY OBSERVED (NexLev),https://www.youtube.com/shorts/raCW2bDEpzE,3400000,UNKNOWN,Panic on the plane because of this little animal 3.4M | Boy throws camera into lake 2.6M | Dieser Junge konnte nichts sehen 2.3M | Dad wanted a daughter 2.1M | Mochi mistake 1.9M,THIRD-PARTY OBSERVED (NexLev),>=6,"Gesamtviews 131,6 Mio.",LIKELY,NexLev isAIContent=true; keine Selbstbezeichnung,UNKNOWN,Leader DE (250-500K),nein (>12 Monate),nein (keine Links),keine,https://www.youtube.com/@zivoxreal/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,Fair-Use-Disclaimer in Beschreibung -> vermutlich Mischung aus Reuploads und KI-Clips.
@ChampionSpieler,https://www.youtube.com/@ChampionSpieler,YouTube Shorts,KI-Memes/Comedy (Fußball),KI-Fußball-Stories (Ronaldo/Messi),DE; Land DE,Kanal angelegt 2024-11-26,2024-12-03,VERIFIED / THIRD-PARTY OBSERVED,232000,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,92,THIRD-PARTY OBSERVED (NexLev),ca. 1 (ESTIMATED),662000,THIRD-PARTY OBSERVED (NexLev),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Gesamtviews ~49 Mio. (NexLev),LIKELY,"NexLev isAIContent=true, Format 'AI stories'",UNKNOWN,Mid/Leader DE (100-250K),nein,nein,keine,https://www.youtube.com/@ChampionSpieler/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,Beschreibung: 'Mein Traum 1 Mio. Abonnenten'.
@yuniormkt,https://www.youtube.com/@yuniormkt,YouTube Shorts,KI-Storytelling/Horror,KI-Horror-Szenen (blasse Wesen im Wald) – mehrsprachig,DE + EN + RU (mehrsprachig); Land US,Kanal angelegt 2012-10-01 (umgewidmet),2025-11-16,THIRD-PARTY OBSERVED (NexLev),83800,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,103,VERIFIED,"ca. 2,3 (ESTIMATED)",389000,THIRD-PARTY OBSERVED (NexLev),https://www.youtube.com/shorts/kjMCBPUJ_EM,164000000,UNKNOWN,Pale figures descended... (EN) 164M | Blasse Wesen bewegten sich... (DE) 28M | Something pale descends (EN) 19M | Zwischen den Bäumen stiegen blasse Wesen (DE) 11M | Am Waldhang bewegten sich blasse Wesen (DE) 5.3M,THIRD-PARTY OBSERVED (NexLev),>=6,"Gesamtviews 261,2 Mio.",VERIFIED,"About: 'Creating viral AI content. Visual scenes, experiments, AI videos.'",UNKNOWN,Mid (50-100K),"ja (Top-Short 164M, <12 Monate)",nein,keine,https://www.youtube.com/@yuniormkt/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,"Beleg für Übersetzungs-Arbitrage: gleiches Motiv in EN/DE/RU; DE-Versionen 28M/11M/5,3M."
@AICreatura-life,https://www.youtube.com/@AICreatura-life,YouTube Shorts,KI-Babys/Charaktere,KI-Babys im Fußball-/Alltagskontext ('Baby macht den Flitzer im Stadion'),DE; Land DE,Kanal angelegt 2009-07-14 (umgewidmet),2025-12-02,THIRD-PARTY OBSERVED (NexLev),18600,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,57,VERIFIED,"ca. 1,3 (ESTIMATED)",32000,THIRD-PARTY OBSERVED (NexLev),https://www.youtube.com/shorts/uGQrDyRkaXc,18000000,UNKNOWN,Baby macht den Flitzer im Stadion 18M | Baby Trainer rastet aus 3.7M | Baby bekommt Gruß von oben 3.3M | Mitternachtsabenteuer: Baby gibt Konzert 1.3M | Baby geschockt 1.1M,THIRD-PARTY OBSERVED (NexLev),>=6,Median 32K vs. Top 18M -> Hit-getrieben,VERIFIED,Handle 'AICreatura'; Kanal-Keywords 'AI',UNKNOWN,Small (<25K),"ja (Einzel-Outlier 18M bei 18,6K Abos)",nein,keine,https://www.youtube.com/@AICreatura-life/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,Einziger gefundener DE-KI-Baby-Kanal; NexLev-Flag isAIContent=false trotz AI-Handle.
@KENXEXPLORE.01,https://www.youtube.com/@KENXEXPLORE.01,YouTube Shorts,KI-Storytelling/Animation,2D/3D-Animations-Parabeln ('Eine quadratische Stadt...'),DE; Land DE,Kanal angelegt 2026-02-25,2026-03-06,VERIFIED / THIRD-PARTY OBSERVED,73100,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,377,VERIFIED,ca. 13 (ESTIMATED),431000,THIRD-PARTY OBSERVED (NexLev),UNKNOWN,1400000,UNKNOWN,"Eine quadratische Stadt, die Angst davor hatte, rund zu werden 1.4M",THIRD-PARTY OBSERVED (NexLev),>=1,"Gesamtviews 43,98 Mio. in 7 Monaten",UNKNOWN,"NexLev isAIContent=false; Format 2D/3D-Animation, hohe Frequenz (Indiz)",UNKNOWN,Mid (50-100K),"ja (<7 Monate, 73K)",nein,keine,https://www.youtube.com/@KENXEXPLORE.01/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,Faceless-Animation; KI-Einsatz nicht belegt.
@XDM-c2h (Was mir das Land gelehrt hat),https://www.youtube.com/channel/UC-7DO8-dvzI6B2qbEISkIHQ,YouTube Shorts,"Faceless Landleben/Satisfying (Kontext, nicht KI)",Landwirtschafts-/Tierpflege-Clips mit DE-Erklärtiteln,DE; Land DE,Kanal angelegt 2026-02-09,2026-02-26,VERIFIED / THIRD-PARTY OBSERVED,373000,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,1787,VERIFIED,ca. 60 (ESTIMATED),15000000,THIRD-PARTY OBSERVED (NexLev),https://www.youtube.com/shorts/08ehkanHIz4,304000000,UNKNOWN,Stacheln einfangen 304M | Papaya pflücken 92M | Wildbär am Fressen 63M | Maschine rollt Drahtgeflecht 48M | Wunden pflegen 39M,THIRD-PARTY OBSERVED (NexLev),>=6,"Gesamtviews 2,33 Mrd. in 7 Monaten",UNKNOWN,NexLev isAIContent=false; vermutlich kompilierte Fremdclips mit DE-Titeln,UNKNOWN,Leader DE (>250K) – Kontext,ja (stärkster DE-Faceless-Outlier 2026),nein,keine,https://www.youtube.com/channel/UC-7DO8-dvzI6B2qbEISkIHQ/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,"Nicht KI – Benchmark, welche Reichweite DE-lokalisierte Faceless-Formate 2026 erreichen."
@DieGutenAlteZeiten,https://www.youtube.com/@DieGutenAlteZeiten,YouTube Shorts,KI-Nostalgie (80er/90er DE),Alte TV-Werbespots/Kult-TV neu belebt,DE,Kanal angelegt 2025-02-09,2026-04-28,VERIFIED / THIRD-PARTY OBSERVED,8290,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,72,THIRD-PARTY OBSERVED (NexLev),ca. 3 (ESTIMATED),162000,THIRD-PARTY OBSERVED (NexLev),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Gesamtviews ~17,3 Mio. (NexLev); Outlier-Score 4,1",UNKNOWN,"Beschreibung: 'erwecke historische Werbespots ... zu neuem [Leben]' – KI-Restaurierung möglich, nicht belegt",UNKNOWN,Small (<25K),"ja (erste Uploads 2026-04-28, Median 162K)",nein,keine,https://www.youtube.com/@DieGutenAlteZeiten/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,Einziger DE-Nostalgie-Shorts-Kanal in NexLev mit Outlier>4.
@Shady.History,https://www.youtube.com/@Shady.History,YouTube Shorts,KI-Geschichte (Shorts),WW2-Kurzgeschichten,DE (Titel teils EN),Kanal angelegt 2025-02-06,2025-05-11,VERIFIED / THIRD-PARTY OBSERVED,6770,2026-09-26,VERIFIED (YouTube About),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,401,VERIFIED,ca. 5 (ESTIMATED),194500,THIRD-PARTY OBSERVED (NexLev),UNKNOWN,503000,UNKNOWN,He took over an entire city with 7 men 503K | The Endurance Division 443K | Youngest general in the Wehrmacht 419K,THIRD-PARTY OBSERVED (NexLev),0 bekannt,"Gesamtviews 25,7 Mio.",UNKNOWN,NexLev isAIContent=false; Hashtag #ww2rebuilder,UNKNOWN,Small,nein,nein,keine,https://www.youtube.com/@Shady.History/about ; NexLev search_shorts_niche_finder_channels (Abruf 2026-09-26),2026-09-26,Heikles Themenfeld (Wehrmacht/SS) – Plattform-/Reputationsrisiko.
@TomsZeitreisen,https://www.youtube.com/@TomsZeitreisen,"YouTube (Long-Form, teils Shorts)",KI-Geschichte/Zeitreise/POV,'Ein Tag als Bauer im Jahr 1250' – KI-Zeitreise-Dokus,DE; Land CH,Kanal angelegt 2026-01-26,2026-01 (Beitritt; ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),46300,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,38,VERIFIED,"ca. 1,1 (ESTIMATED)",UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=kxS5V4jNMts,387266,2026-03-01,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 3.401.334 (YouTube About),VERIFIED,"About: 'reisen wir mithilfe von künstlicher Intelligenz, historischen Quellen...'",UNKNOWN,Mid (25-100K),ja (46K in 8 Monaten),"ja: PayPal-Spende, Ko-fi, eigene Website toms-zeitreisen.de",toms-zeitreisen.de ; instagram.com/tomszeitreisen ; ko-fi.com/tomszeitreisen,"https://www.youtube.com/@TomsZeitreisen/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,"Instagram-Account verlinkt (@tomszeitreisen), Followerzahl nicht öffentlich abrufbar (Login-Wall). TikTok @tomszeitreisen = 549 Follower, Bio französisch -> vermutlich fremdes Profil."
