shortcode,url,handle,posted_at_utc,age_days,views,views_text,status_views,followers,followers_source,status_followers,vpf,tier,likes,comments,likes_per_view,comments_per_view,topic_index,topic_pct,topics,topic_groups,primary_group,location_any,status_codes,n_topics,post_year,post_hour_utc,post_weekday,meta_status,visual_status,media_type,followers_text,followers_at_fetch,posts_at_fetch,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption_mentions,caption_link_hint,caption_comment_cta,caption_full,coder,room_primary,building_type,landscape,style_primary,style_secondary,palette_temp,brightness,lighting,view_through_window,people_present,cover_text,realism,production,production_evidence,shoppability,visual_quality,notable,caption_hook_category,caption_first_line,cta_type,location_claimed,price_claimed,ai_disclosed,account_kind_hint,language,rooms_visible,dominant_colors,materials,ambience_fx,cover_hooks,comments_per_like,views_per_day,adj_resid,adj_factor,location,location_from_topic,caption_len_bucket,hashtag_bucket,follower_bucket
C_Pf1dboaeJ,https://www.instagram.com/reel/C_Pf1dboaeJ/,siyad_abdali,2024-08-29T05:30:05.840000+00:00,756,282000000.0,282M,"VERIFIED (public topic page, rounded)",4000000.0,embed_account_lookup,"VERIFIED (public embed, rounded, at fetch)",70.5,5_EXTREME_OUTLIER,12000000.0,28800.0,0.0425531914893617,0.00010212765957446809,80.57142857142857,1.0,dream-room,fantasy_dream,fantasy_dream,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,5,Thu,ok,ok,reel,,,,0,0,False,0,0,False,False,,cover-v2,bedroom,apartment,city_skyline,warm_luxury,,warm,medium,night_artificial,True,False,,stylized_dreamy,ai_generated,"AI-typical look: garbled laptop screen and smeared picture-frame contents, too-perfect glowing plush surfaces; caption not shown so no disclosure",medium,high,"Two-level loft bedroom with a fairy-lit round nest bed below and a raised bed above, both facing a rainy night city skyline, reads as an instant cozy-dream fantasy.",none,,none,,,False,other,,bedroom,beige;white;brown;black,fabric;glass;wood,rain;city_lights,bed_focus;view_reveal;unusual_architecture,0.0024,373015.873015873,1.9979231205561216,99.52292248252195,,,0,0,1M+
C87NQHRtm6B,https://www.instagram.com/reel/C87NQHRtm6B/,drcozyvibes,2024-07-02T15:20:06.780000+00:00,814,155000000.0,155M,"VERIFIED (public topic page, rounded)",,,UNKNOWN,,,6100000.0,18000.0,0.03935483870967742,0.00011612903225806452,40.25974025974026,1.0,cozy-rain,cozy_ambience,cozy_ambience,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,15,Tue,ok,ok,reel,,,,96,2,False,0,0,False,False,"Rainy Day Reflections: Comfort Bed, Melodic Drops, and a Scenic Window #cozycabin #RainyDayVibes",cover-v2,bedroom,none_visible,ocean_beach,organic_modern,minimalist,cool,medium,overcast_rain,True,False,,stylized_dreamy,ai_generated,"AI-typical render: cartoon on TV, uniform rain streaks, soft smeared detail on rugs and furniture; not disclosed in caption",medium,high,Floor bed facing a full wall of glass onto a stormy sea with rocks and breaking waves pairs cocooned comfort with weather drama.,descriptive,"Rainy Day Reflections: Comfort Bed, Melodic Drops, and a Scenic Window #cozycabin #RainyDayVibes",none,,,False,theme_page,en,bedroom,grey;white;blue;brown,glass;wood;fabric;rattan,rain;ocean_waves,view_reveal;bed_focus,0.0029508196721311475,190417.6904176904,,,,,51-150,1-3,
DYoyUS9NlAr,https://www.instagram.com/reel/DYoyUS9NlAr/,ai.poly_,2026-05-22T10:17:27.635000+00:00,125,147000000.0,147M,"VERIFIED (public topic page, rounded)",14000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",10500.0,5_EXTREME_OUTLIER,4080408.0,5034.0,0.027757877551020407,3.4244897959183674e-05,55.471698113207545,1.0,ai-art,ai,ai,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,10,Fri,ok,ok,reel,14K followers,14000.0,30.0,67,5,False,1,0,False,False,Сейчас ещё чуть-чуть подравняю 🥲 #ии #aivideo #aiart #ai #нейросети,cover-v2-embed,none_person_only,none_visible,none,other,,warm,medium,mixed,False,True,,stylized_dreamy,ai_generated,caption tags #ии #aivideo #aiart #нейросети; Pixar-like CGI character look,low,high,Extreme close-up of an animated cartoon-style green eye with a hand drawing eyeliner; no interior or architecture content at all.,pov,Сейчас ещё чуть-чуть подравняю 🥲 #ии #aivideo #aiart #ai #нейросети,none,,,True,ai_creator,ru,,beige;pink;green;black,,none,person,0.0012337001593958252,1176000.0,2.320823938996528,209.32636842618368,,,51-150,4-10,10k-100k
C--Al6UA6GE,https://www.instagram.com/reel/C--Al6UA6GE/,ifonly.ai,2024-08-22T10:30:00.193000+00:00,763,136000000.0,136M,"VERIFIED (public topic page, rounded)",1000000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",136.0,5_EXTREME_OUTLIER,3268119.0,18007.0,0.024030286764705883,0.00013240441176470588,974.561089215335,1.0,ai-house-design,ai,ai,,ESTIMATED (caption only),1,2024,10,Thu,ok,no_cover,reel,1M followers,1000000.0,419.0,157,0,False,0,2,False,False,If only 'home sweet home' meant living in a tiramisu house.  Art/Prompts by @ifonly.ai & @sunt_mrr  AI-generated video (Midjourney • Magnific AI • Immersity),cover-v2-embed,,,,,,,,,,,,,,,,,,fantasy,If only 'home sweet home' meant living in a tiramisu house.,none,,,True,ai_creator,en,,,,,,0.005509897283422054,178243.7745740498,2.3002454149825944,199.63901341458137,,,151-400,0,500k-1M
DBKFpVDoZzM,https://www.instagram.com/reel/DBKFpVDoZzM/,paulmarkkitchens,2024-10-15T20:07:50.112000+00:00,709,135000000.0,135M,"VERIFIED (public topic page, rounded)",304000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",444.07894736842104,5_EXTREME_OUTLIER,3109974.0,10461.0,0.023036844444444444,7.748888888888889e-05,176.70157068062827,1.0,outdoor-kitchen,room_generic,room_generic,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,20,Tue,ok,ok,reel,304K followers,304000.0,865.0,145,7,True,0,2,False,False,Who would love one of these in their garden? #bbq #outdoorcooking #kitchen #outdoorliving #home #led #kitchen @paulmarkkitchens @blackbullgrilluk,cover-v2-embed,kitchen,none_visible,none,modern_luxury,,warm,medium,overcast_rain,False,False,,real_existing,real_footage,"phone video of a real garden installation, overcast sky, branded grill and appliances in sharp natural detail",high,medium,"Cedar-clad garden pod with a lift-up canopy revealing a fully fitted outdoor BBQ kitchen (grill, sink, wine fridge, kamado); gadget/transformation appeal for homeowners.",question,Who would love one of these in their garden? #bbq #outdoorcooking #kitchen #outdoorliving #home #led #kitchen @paulmarkk,question_engagement,,,False,brand_manufacturer,en,kitchen;garden_landscape,orange;black;green;grey,wood;metal;glass;plants,none,none,0.0033636937157673985,190409.0267983075,1.9391158699143556,86.91922991522321,,,51-150,4-10,100k-500k
C9SiQc8S9xq,https://www.instagram.com/reel/C9SiQc8S9xq/,siyad_abdali,2024-07-11T16:46:11.537000+00:00,805,109000000.0,109M,"VERIFIED (public topic page, rounded)",4000000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",27.25,5_EXTREME_OUTLIER,6703077.0,,0.06149611926605505,,288.35978835978835,1.0,modern-living-room,room_generic,room_generic,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,16,Thu,ok,ok,reel,4M followers,4000000.0,2110.0,0,0,False,0,0,False,False,,cover-v2-embed,living_room,penthouse,city_skyline,glam_feminine,classical_luxury,cool,medium,night_artificial,True,False,,stylized_dreamy,ai_generated,"typical AI artifacts: melted/garbled forms on the left chair and upper mezzanine furniture, floating purple fairy-light dots, illogical ceiling geometry; account's other coded reels are AI",low,high,"Double-height white tufted-glam penthouse with crystal chandelier, floating staircase, snow falling over night city lights and Tom and Jerry on the TV is a maximal dream-home fantasy.",none,,none,,,False,ai_creator,,living_room;stairs_hall;kitchen,white;cream;black;purple,glass;fabric;leather;metal;marble,snow;city_lights,dramatic_scale;view_reveal,,135403.72670807454,2.0672283612061397,116.74233115204962,,,0,0,1M+
Daa8AwIMNMt,https://www.instagram.com/reel/Daa8AwIMNMt/,polliviva,2026-07-05T18:15:35.657000+00:00,81,97200000.0,97.2M,"VERIFIED (public topic page, rounded)",48000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",2025.0,5_EXTREME_OUTLIER,6313063.0,12551.0,0.06494920781893004,0.0001291255144032922,36.679245283018865,0.9166666666666666,ai-art,ai,ai,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,18,Sun,ok,ok,reel,48K followers,48000.0,264.0,88,5,False,1,1,False,False,У кого так же 😄 Видео сделано в syntx @syntx_creators #ии #al #нейросеть #cartoon #aiart,cover-v2-embed,bathroom,none_visible,none,other,,neutral,bright,mixed,False,True,,fantasy_impossible,ai_generated,"caption says video made in syntx, #ии #нейросеть #aiart; Pixar-style 3D cartoon character with glowing light bulb above head",low,high,"An exaggerated cartoon woman with wild hair and a glowing light bulb over her head in a bathroom is a relatable character gag, not interior content.",question,У кого так же 😄 Видео сделано в syntx @syntx_creators #ии #al #нейросеть #cartoon #aiart,question_engagement,,,True,ai_creator,ru,bathroom,white;grey;brown;beige,glass,none,person,0.0019880999128315366,1200000.0,1.8909038905301467,77.78643904203986,,,51-150,4-10,10k-100k
Da_rdPUj1jN,https://www.instagram.com/reel/Da_rdPUj1jN/,sandiwara_multiverse.99,2026-07-20T00:42:50.114000+00:00,66,85200000.0,85.2M,"VERIFIED (public topic page, rounded)",402000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",211.9402985074627,5_EXTREME_OUTLIER,1948148.0,18776.0,0.022865586854460093,0.0002203755868544601,32.15094339622642,1.0,treehouse,unusual_home,unusual_home,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,0,Mon,ok,ok,reel,402K followers,402000.0,79.0,58,4,False,0,0,False,False,TreeHouse #GiantTree #TreeTopHouse #JungleLife #Rainforest,cover-v2-embed,exterior_facade,treehouse,jungle_tropical,traditional_regional,,neutral,medium,overcast_rain,False,True,,stylized_dreamy,ai_generated,"many near-identical thatched huts perched on very tall slender trunks receding into mist, smooth soft figures; typical AI look, no AI disclosure in caption",low,high,"Aerial view of a village of thatched huts on towering single trunks above a misty rainforest, with people and small fires on the platforms.",descriptive,TreeHouse #GiantTree #TreeTopHouse #JungleLife #Rainforest,none,,,False,ai_creator,en,exterior_facade,green;brown;white;grey,wood;plants;fire,fog,unusual_architecture;dramatic_scale;person,0.009637871455351442,1290909.0909090908,1.28171181711499,19.129861119595144,,,51-150,4-10,100k-500k
DVo7prsEaRf,https://www.instagram.com/reel/DVo7prsEaRf/,cairo_ia,2026-03-08T22:04:50.481000+00:00,200,81100000.0,81.1M,"VERIFIED (public topic page, rounded)",944000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",85.91101694915254,5_EXTREME_OUTLIER,1613478.0,4673.0,0.019894919852034527,5.762022194821208e-05,419.12144702842374,1.0,outdoor-living,garden_outdoor,garden_outdoor,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,22,Sun,ok,ok,reel,944K followers,944000.0,219.0,305,5,False,4,0,False,False,"I Turned Old Pallets into the ULTIMATE Backyard Oasis! 😱✨  Turned basic wooden pallets into the ultimate cozy backyard retreat! 🛠️✨ A little white paint, some comfy cushions, and warm string lights completely transformed this space. #DIYProject #PalletFurniture #BackyardMakeover #Upcycling #OutdoorLiving",cover-v2-embed,terrace_outdoor,none_visible,none,rustic_cozy,,warm,medium,mixed,False,True,,aspirational_realistic,ai_generated,"handle suffix '_ia' (AI), garbled lettering on shirt, overly clean glossy generative look; caption does not disclose",medium,high,"Glowing white pallet lounge with string lights and candles at dusk, man arranging the table - cozy DIY payoff shot.",curiosity,I Turned Old Pallets into the ULTIMATE Backyard Oasis! 😱✨,none,,,False,ai_creator,en,terrace_outdoor;garden_landscape,white;green;orange;beige,wood;fabric;plants;fire;glass,none,person,0.0028962279002254757,405500.0,2.215563519423066,164.2719904473151,,,151-400,4-10,500k-1M
DUFKH1-CZmG,https://www.instagram.com/reel/DUFKH1-CZmG/,manhwa_diablo,2026-01-29T04:07:14.389000+00:00,238,78400000.0,78.4M,"VERIFIED (public topic page, rounded)",331000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",236.85800604229607,5_EXTREME_OUTLIER,1511417.0,3571.0,0.01927827806122449,4.55484693877551e-05,72.12511499540018,1.0,luxury-garden,garden_outdoor,garden_outdoor,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,4,Thu,ok,ok,reel,331K followers,331000.0,115.0,75,5,False,2,0,False,False,luxury landscaped backyard 🌲🌱  #luxury #backyard #landscape #garden #design,cover-v2-embed,garden_landscape,house,none,other,,neutral,bright,daylight,False,False,,real_existing,real_footage,real elevated phone footage of an actual suburban garden with bare soil patches and weeds,low,medium,"Unremarkable patchy lawn behind a wooden fence with white suburban houses beyond; looks like the 'before' state of a garden makeover, dull cover despite very high likes.",descriptive,luxury landscaped backyard 🌲🌱,none,,,False,theme_page,en,garden_landscape,green;brown;white;red,plants;wood,none,none,0.0023626834950248674,329411.76470588235,1.7149907654424124,51.8789007617027,,,51-150,4-10,100k-500k
