handle,role,followers,followers_text,followers_prev_text,delta_followers,rounding_step,delta_detectable,growth_pct,posts,posts_prev,delta_posts,posts_per_week,reels_on_topic_pages,new_reels_on_topic_pages,best_topic_index,best_tier,newest_shortcode,newest_posted,watchlist_shortcode_outdated,embed_found,history,baseline_followers,baseline_posts,new_posts_api
cairo_ia,direct,944000,944K followers,,,1000,False,,219,,,,0,0,,,,,False,True,,944000,219,
parametric.architecture,direct,1700000,1.7M followers,,,100000,False,,,,,,1,0,0.2878,1_NORMAL,DXeUgZ-DA9T,2026-04-23T12:13:10.229000+00:00,False,True,,2000000,7035,
fast_buildsx,direct,1000000,1M followers,,,1000000,False,,113,,,,1,0,87.1935,2_GOOD,DVY1P4AArWL,2026-03-02T16:01:02.425000+00:00,False,True,,1000000,113,
foorcrafts,direct,110000,110K followers,,,1000,False,,57,,,,1,0,70.8447,4_VIRAL,DV_a3j9jJ64,2026-03-17T15:40:54.612000+00:00,False,True,,110000,57,
buildcraft.hq,direct,890000,890K followers,,,1000,False,,225,,,,0,0,,,,,False,True,,890000,225,
thehomopien,direct,546000,546K followers,,,1000,False,,378,,,,0,0,,,,,False,True,,546000,378,
sandiwara_multiverse.99,direct,402000,402K followers,,,1000,False,,79,,,,1,0,32.1509,5_EXTREME_OUTLIER,Da_rdPUj1jN,2026-07-20T00:42:50.114000+00:00,False,True,,402000,79,
sunt_mrr,direct,2000000,2M followers,,,1000000,False,,728,,,,7,0,370.5722,3_VERY_GOOD,DXw2UALMrdq,2026-04-30T16:54:54.191000+00:00,False,True,,2000000,728,
lena_nichi_art,direct,203000,203K followers,,,1000,False,,206,,,,1,0,17.8306,5_EXTREME_OUTLIER,DXMw4QLjB35,2026-04-16T16:34:45.872000+00:00,False,True,,203000,206,
diniz_nasaroba,direct,293000,293K followers,,,1000,False,,52,,,,0,0,,,,,False,True,,293000,52,
day_design_101,direct,145000,145K followers,,,1000,False,,227,,,,0,0,,,,,False,True,,145000,227,
modern_house__3d,direct,33000,33K followers,,,1000,False,,104,,,,1,0,6.7183,5_EXTREME_OUTLIER,DcfDbiDsJb2,2026-08-26T01:40:10.080000+00:00,False,True,,33000,104,
primurse_log,direct,43000,43K followers,,,1000,False,,346,,,,0,0,,,,,False,True,,43000,346,
travelask.world,direct,681000,681K followers,,,1000,False,,764,,,,2,0,1.0189,3_VERY_GOOD,DdEgqHFozBe,2026-09-09T14:47:27.844000+00:00,False,True,,681000,764,
shri_bk_babu,direct,355000,355K followers,,,1000,False,,127,,,,1,0,9.0847,5_EXTREME_OUTLIER,DZtnXgNxk_G,2026-06-18T03:49:22.548000+00:00,False,True,,355000,127,
elitebuildhq,direct,2000000,2M followers,,,1000000,False,,317,,,,3,0,15.5926,4_VIRAL,Dbdx3LTORoR,2026-07-31T17:16:01.279000+00:00,False,True,,2000000,317,
calmstorms_13,direct,47000,47K followers,,,1000,False,,240,,,,0,0,,,,,False,True,,47000,240,
kratosdigitalarts,direct,90000,90K followers,,,1000,False,,242,,,,0,0,,,,,False,True,,90000,242,
archimyst1,direct,556000,556K followers,,,1000,False,,292,,,,0,0,,,,,False,True,,556000,292,
urban_lifestyle_lab,direct,250000,250K followers,,,1000,False,,4660,,,,3,0,4.4832,4_VIRAL,DVesrMZDNwx,2026-03-04T22:41:34.219000+00:00,False,True,,250000,4660,
aiforarchitects,direct,1000000,1M followers,,,1000000,False,,513,,,,1,0,1.2609,3_VERY_GOOD,DVoNTRGjOwq,2026-03-08T15:19:49.606000+00:00,False,True,,1000000,513,
watchthebuild,direct,106000,106K followers,,,1000,False,,128,,,,1,0,4.2834,3_VERY_GOOD,Da2LadfSUXi,2026-07-16T08:09:40.247000+00:00,False,True,,107000,128,
rain.nest,direct,36000,36K followers,,,1000,False,,531,,,,1,0,2.9718,5_EXTREME_OUTLIER,DYPD2_JEzhy,2026-05-12T10:30:29.483000+00:00,False,True,,36000,531,
buildenza_,direct,145000,145K followers,,,1000,False,,29,,,,1,0,2.9353,2_GOOD,DcOaEgmGivL,2026-08-19T14:30:54.757000+00:00,False,True,,145000,29,
ideadesigncasa,direct,1000000,1M followers,,,1000000,False,,224,,,,0,0,,,,,False,True,,1000000,224,
relaxationreflections_,emerging,12000,12K followers,,,1000,False,,818,,,,2,0,10.6857,5_EXTREME_OUTLIER,DZqhf_pAUW6,2026-06-16T23:00:23.083000+00:00,False,True,,12000,818,
poppet_tales,emerging,11000,11K followers,,,1000,False,,28,,,,0,0,,,,,False,True,,11000,28,
