topic,group,status,metric,n,median,max,median_prev,median_ratio,n_fresh,share_fresh,n_new_entries,share_new_entries
ai-architecture,ai,ok,views,12,375500.0,4200000,,,0,0.0,,
ai-cozy-cabin,ai,ok,views,12,336500.0,8100000,,,0,0.0,,
ai-generated-house,ai,ok,views,12,547500.0,5400000,,,0,0.0,,
ai-home-design,ai,ok,views,12,985000.0,28600000,,,0,0.0,,
ai-interior-design,ai,ok,views,12,1719500.0,28600000,,,0,0.0,,
architecture-design,architecture,ok,views,12,285000.0,1600000,,,0,0.0,,
art-deco-interior-design,style,ok,views,12,305500.0,3500000,,,0,0.0,,
bathroom-design,room_generic,ok,views,12,620000.0,1200000,,,0,0.0,,
bedroom-design,room_generic,ok,views,12,937000.0,13100000,,,0,0.0,,
biophilic-bedroom-design,style,ok,views,12,123500.0,6100000,,,0,0.0,,
cliff-house,unusual_home,ok,views,12,18350.0,6800000,,,0,0.0,,
cozy-bedroom-ideas,cozy_ambience,ok,views,12,429000.0,13100000,,,0,0.0,,
cozy-cabin-in-the-snow,cozy_ambience,ok,views,12,201500.0,27900000,,,0,0.0,,
cozy-rain,cozy_ambience,ok,views,12,3850000.0,155000000,,,0,0.0,,
cozy-winter-cabin,cozy_ambience,ok,views,12,170400.0,5100000,,,0,0.0,,
desert-house,unusual_home,ok,views,12,40200.0,118000,,,0,0.0,,
dream-bedroom,luxury_room,ok,views,12,659000.0,8200000,,,0,0.0,,
dream-bedrooms,luxury_room,ok,views,12,1121000.0,45100000,,,0,0.0,,
dream-closet,luxury_room,ok,views,12,708000.0,3700000,,,0,0.0,,
dream-home,luxury_home,ok,views,12,2300000.0,13500000,,,0,0.0,,
dream-room,fantasy_dream,ok,views,12,3500000.0,282000000,,,0,0.0,,
future-houses-2050,future_arch,ok,views,12,53550.0,604000,,,0,0.0,,
futuristic-home,future_arch,ok,views,12,280500.0,4700000,,,0,0.0,,
futuristic-house,future_arch,ok,views,12,401500.0,1800000,,,0,0.0,,
futuristic-houses,future_arch,ok,views,12,575000.0,5400000,,,0,0.0,,
futuristic-interior,future_arch,ok,views,12,289500.0,13000000,,,0,0.0,,
glass-house,unusual_home,ok,views,12,93950.0,496000,,,0,0.0,,
house-in-the-forest,unusual_home,ok,views,8,673000.0,19700000,,,0,0.0,,
indoor-pool,pool,ok,views,12,270000.0,2800000,,,0,0.0,,
infinity-pools,pool,ok,views,12,1850000.0,7700000,,,0,0.0,,
japandi,style,ok,views,12,313500.0,2100000,,,0,0.0,,
living-room-design,room_generic,ok,views,12,914500.0,5300000,,,0,0.0,,
luxury-bathroom-design,luxury_room,ok,views,12,1134500.0,6700000,,,0,0.0,,
luxury-bedroom,luxury_room,ok,views,12,348000.0,45100000,,,0,0.0,,
luxury-cabin,unusual_home,ok,views,12,463000.0,5400000,,,0,0.0,,
luxury-house,luxury_home,ok,views,12,1750000.0,4700000,,,0,0.0,,
luxury-kitchen,luxury_room,ok,views,12,713000.0,3500000,,,0,0.0,,
luxury-living-room-design,luxury_room,ok,views,12,394000.0,3100000,,,0,0.0,,
luxury-penthouse,luxury_home,ok,views,12,1500000.0,72100000,,,0,0.0,,
luxury-pool,pool,ok,views,12,674000.0,18800000,,,0,0.0,,
midjourney-architecture,ai,ok,views,12,413500.0,14300000,,,0,0.0,,
modern-architecture,architecture,ok,views,12,2950000.0,26800000,,,0,0.0,,
modern-luxury-house-interiors,luxury_home,ok,views,12,527000.0,7800000,,,0,0.0,,
modern-villa,luxury_home,ok,views,12,457000.0,14900000,,,0,0.0,,
organic-modern,style,ok,views,12,139400.0,3000000,,,0,0.0,,
overwater-villa,hotel_resort,ok,views,12,888500.0,21000000,,,0,0.0,,
parametric-architecture,future_arch,ok,views,11,291500.0,1800000,,,0,0.0,,
quiet-luxury,luxury_room,ok,views,12,564000.0,22700000,,,0,0.0,,
rain-cozy,cozy_ambience,ok,views,12,561500.0,74100000,,,0,0.0,,
treehouse,unusual_home,ok,views,12,2650000.0,85200000,,,0,0.0,,
treehouse-hotel,hotel_resort,ok,views,12,1600000.0,13800000,,,0,0.0,,
tropical-house,style,ok,views,12,228000.0,2800000,,,0,0.0,,
tropical-house-architecture-styles,architecture,ok,views,12,238000.0,6900000,,,0,0.0,,
ultra-modern-luxury-house-design,luxury_home,ok,views,12,387000.0,15500000,,,0,0.0,,
underground-house,unusual_home,ok,views,12,1109500.0,17300000,,,0,0.0,,
underwater-hotel,hotel_resort,ok,views,12,255450.0,4700000,,,0,0.0,,
waterfall-house,fantasy_dream,ok,views,12,187000,655000,,,1,0.0833,,
