handle,role,account_kind,production_mode,baseline_followers,baseline_posts,baseline_median_topic_index,baseline_max_vpf,last_shortcode,last_posted_utc,embed_url,selection_rule,active
cairo_ia,direct,ai_creator,ai_generated,944000,219,419.12,85.91,DVo7prsEaRf,2026-03-08T22:04:50.481000+00:00,https://www.instagram.com/reel/DVo7prsEaRf/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
parametric.architecture,direct,media_publication,ai_generated,2000000,7035,181.03,0.09,DXeUgZ-DA9T,2026-04-23T12:13:10.229000+00:00,https://www.instagram.com/reel/DXeUgZ-DA9T/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
fast_buildsx,direct,theme_page,ai_generated,1000000,113,87.19,1.6,DVY1P4AArWL,2026-03-02T16:01:02.425000+00:00,https://www.instagram.com/reel/DVY1P4AArWL/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
foorcrafts,direct,ai_creator,ai_generated,110000,57,70.84,11.82,DV_a3j9jJ64,2026-03-17T15:40:54.612000+00:00,https://www.instagram.com/reel/DV_a3j9jJ64/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
buildcraft.hq,direct,ai_creator,ai_generated,890000,225,50.41,10.34,DW6LdVcDGeh,2026-04-09T11:21:26.929000+00:00,https://www.instagram.com/reel/DW6LdVcDGeh/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
thehomopien,direct,ai_creator,ai_generated,546000,378,35.96,33.88,DWrf3s5kzC7,2026-04-03T18:31:12.204000+00:00,https://www.instagram.com/reel/DWrf3s5kzC7/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
sandiwara_multiverse.99,direct,ai_creator,ai_generated,402000,79,32.15,211.94,Da_rdPUj1jN,2026-07-20T00:42:50.114000+00:00,https://www.instagram.com/reel/Da_rdPUj1jN/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
sunt_mrr,direct,ai_creator,ai_generated,2000000,728,20.78,12.25,DXw2UALMrdq,2026-04-30T16:54:54.191000+00:00,https://www.instagram.com/reel/DXw2UALMrdq/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
lena_nichi_art,direct,ai_creator,ai_generated,203000,206,17.83,29.56,DXMw4QLjB35,2026-04-16T16:34:45.872000+00:00,https://www.instagram.com/reel/DXMw4QLjB35/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
diniz_nasaroba,direct,ai_creator,ai_generated,293000,52,15.48,85.32,DWgzHgYDpdN,2026-03-30T14:47:44.393000+00:00,https://www.instagram.com/reel/DWgzHgYDpdN/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
day_design_101,direct,theme_page,ai_generated,145000,227,14.97,63.89,Da-iZyqNJ-P,2026-07-19T14:04:28.845000+00:00,https://www.instagram.com/reel/Da-iZyqNJ-P/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
modern_house__3d,direct,theme_page,3d_render,33000,104,10.57,78.79,DcfDbiDsJb2,2026-08-26T01:40:10.080000+00:00,https://www.instagram.com/reel/DcfDbiDsJb2/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
primurse_log,direct,ai_creator,ai_generated,43000,346,10.33,39.53,DVd1PPVj6Z4,2026-03-04T14:37:09.380000+00:00,https://www.instagram.com/reel/DVd1PPVj6Z4/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
travelask.world,direct,media_publication,ai_generated,681000,764,9.73,3.96,DdEgqHFozBe,2026-09-09T14:47:27.844000+00:00,https://www.instagram.com/reel/DdEgqHFozBe/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
shri_bk_babu,direct,ai_creator,ai_generated,355000,127,9.08,75.49,DZtnXgNxk_G,2026-06-18T03:49:22.548000+00:00,https://www.instagram.com/reel/DZtnXgNxk_G/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
elitebuildhq,direct,theme_page,ai_generated,2000000,317,7.08,12.0,Dbdx3LTORoR,2026-07-31T17:16:01.279000+00:00,https://www.instagram.com/reel/Dbdx3LTORoR/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
calmstorms_13,direct,theme_page,ai_generated,47000,240,6.92,20.83,DbsefztTV7w,2026-08-06T10:15:24.851000+00:00,https://www.instagram.com/reel/DbsefztTV7w/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
kratosdigitalarts,direct,ai_creator,ai_generated,90000,242,6.45,190.0,DaM-d0KTKUQ,2026-06-30T08:07:40.269000+00:00,https://www.instagram.com/reel/DaM-d0KTKUQ/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
archimyst1,direct,theme_page,ai_generated,556000,292,6.35,5.76,DXuK0-_iKVV,2026-04-29T15:56:26.840000+00:00,https://www.instagram.com/reel/DXuK0-_iKVV/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
urban_lifestyle_lab,direct,ai_creator,ai_generated,250000,4660,6.29,12.0,DVesrMZDNwx,2026-03-04T22:41:34.219000+00:00,https://www.instagram.com/reel/DVesrMZDNwx/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
aiforarchitects,direct,ai_creator,ai_generated,1000000,513,4.62,34.7,DcRC92XMXh5,2026-08-20T15:06:44.871000+00:00,https://www.instagram.com/reel/DcRC92XMXh5/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
watchthebuild,direct,ai_creator,ai_generated,107000,128,3.86,12.26,DbmsOfOywba,2026-08-04T04:19:56.406000+00:00,https://www.instagram.com/reel/DbmsOfOywba/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
rain.nest,direct,ai_creator,ai_generated,36000,531,2.97,27.78,DYPD2_JEzhy,2026-05-12T10:30:29.483000+00:00,https://www.instagram.com/reel/DYPD2_JEzhy/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
buildenza_,direct,ai_creator,ai_generated,145000,29,2.94,0.81,DcOaEgmGivL,2026-08-19T14:30:54.757000+00:00,https://www.instagram.com/reel/DcOaEgmGivL/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
ideadesigncasa,direct,ai_creator,ai_generated,1000000,224,2.87,2.4,DV0JJo5if8h,2026-03-13T06:34:26.764000+00:00,https://www.instagram.com/reel/DV0JJo5if8h/embed/captioned/,"AI/3D, en, >= 30,000 followers, active since 2026-03-01, top median topic_index",1
relaxationreflections_,emerging,ai_creator,ai_generated,12000,818,5.39,500.0,DZqhf_pAUW6,2026-06-16T23:00:23.083000+00:00,https://www.instagram.com/reel/DZqhf_pAUW6/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
poppet_tales,emerging,ai_creator,ai_generated,11000,28,5.45,427.27,DdU86vVKLSA,2026-09-16T00:02:15.043000+00:00,https://www.instagram.com/reel/DdU86vVKLSA/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
designevolutionn,emerging,ai_creator,ai_generated,26000,69,8.19,342.31,DbRAPWasT_E,2026-07-26T18:11:31.726000+00:00,https://www.instagram.com/reel/DbRAPWasT_E/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
ai_furniture_design,emerging,ai_creator,ai_generated,3000,40,2.92,204.67,DcxtRzlz6Ig,2026-09-02T07:32:10.276000+00:00,https://www.instagram.com/reel/DcxtRzlz6Ig/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
ai.cozy.fun.scenes,emerging,ai_creator,ai_generated,4000,80,0.15,148.5,DcrJ6vOzdcC,2026-08-30T18:27:44.630000+00:00,https://www.instagram.com/reel/DcrJ6vOzdcC/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
vesgantti_home,emerging,theme_page,ai_generated,22000,958,2.17,90.91,Da0ctnokTqw,2026-07-15T16:02:21.226000+00:00,https://www.instagram.com/reel/Da0ctnokTqw/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
renovaistudio,emerging,ai_creator,ai_generated,11000,248,1.12,64.82,DaBM19ZuW2-,2026-06-25T18:22:24.908000+00:00,https://www.instagram.com/reel/DaBM19ZuW2-/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
milanchettri123,emerging,theme_page,3d_render,15000,249,3.57,58.6,DcBShnvt0yC,2026-08-14T12:14:51.320000+00:00,https://www.instagram.com/reel/DcBShnvt0yC/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
rainy__village,emerging,ai_creator,ai_generated,8000,45,0.16,53.12,DbnpmnpSUMJ,2026-08-04T13:16:15.659000+00:00,https://www.instagram.com/reel/DbnpmnpSUMJ/embed/captioned/,"AI/3D, en, 3,000-30,000 followers, active since 2026-05-01, max vpf >= 5.0",1
