handle,expected_handle,handle_mismatch,display_name,followers_text,followers,posts_text,posts,verified,sample_shortcode,sample_likes,sample_comments,source_url,fetched_at,status
siyad_abdali,siyad_abdali,False,siyad_abdali,4M,4000000,"2,110",2110,unknown,C9SiQc8S9xq,6703118,,https://www.instagram.com/reel/C9SiQc8S9xq/embed/captioned/,2026-09-25,VERIFIED
soothenests,soothenests,False,soothenests,2M,2000000,"2,119",2119,unknown,DBWhf0koR7_,2083010,6514,https://www.instagram.com/reel/DBWhf0koR7_/embed/captioned/,2026-09-25,VERIFIED
domesticallyblissful,domesticallyblissful,False,domesticallyblissful,2M followers,2000000,"1,667 posts",1667,unknown,DbYPbcguZ4U,30491,1960,https://www.instagram.com/reel/DbYPbcguZ4U/embed/captioned/,2026-09-25,VERIFIED
havenhaus_1,havenhaus_1,False,havenhaus_1,2M followers,2000000,511 posts,511,unknown,DVVIlAhDRlP,2348,7,https://www.instagram.com/reel/DVVIlAhDRlP/embed/captioned/,2026-09-25,VERIFIED
vrishtidesigns,vrishtidesigns,False,vrishtidesigns,2M followers,2000000,"1,798 posts",1798,unknown,DKgm22aRXdk,3160,23,https://www.instagram.com/reel/DKgm22aRXdk/embed/captioned/,2026-09-25,VERIFIED
ell.glamhome,ell.glamhome,False,ell.glamhome,1M,1000000,172,172,unknown,DUbXaywiEol,450186,1699,https://www.instagram.com/reel/DUbXaywiEol/embed/captioned/,2026-09-25,VERIFIED
luxurydreamhub,luxurydreamhub,False,luxurydreamhub,1M,1000000,"1,144",1144,unknown,DUiv0Xige1Z,302997,1101,https://www.instagram.com/reel/DUiv0Xige1Z/embed/captioned/,2026-09-25,VERIFIED
em_henderson,em_henderson,False,em_henderson,1M,1000000,"7,333",7333,yes,DWXaWZaAefE,169113,544,https://www.instagram.com/reel/DWXaWZaAefE/embed/captioned/,2026-09-25,VERIFIED
pride_and__property,pride_and__property,False,pride_and__property,1M,1000000,"4,204",4204,unknown,DSDLwESDXfY,59481,49,https://www.instagram.com/reel/DSDLwESDXfY/embed/captioned/,2026-09-25,VERIFIED
henriq.arq,henriq.arq,False,henriq.arq,1M followers,1000000,992 posts,992,unknown,DVSEyhIjoR0,3174,,https://www.instagram.com/reel/DVSEyhIjoR0/embed/captioned/,2026-09-25,VERIFIED
deirdres_design,deirdres_design,False,deirdres_design,1M,1000000,"8,694",8694,unknown,DXrG2Evjn78,1248,17,https://www.instagram.com/reel/DXrG2Evjn78/embed/captioned/,2026-09-25,VERIFIED
karim.eltaher.designs,karim.eltaher.designs,False,karim.eltaher.designs,933K followers,933000,503 posts,503,unknown,DSFmnmIAlYb,14066,123,https://www.instagram.com/reel/DSFmnmIAlYb/embed/captioned/,2026-09-25,VERIFIED
arteo_luxury,arteo_luxury,False,arteo_luxury,871K,871000,"1,041",1041,unknown,DPt1R0_E6oS,92789,713,https://www.instagram.com/reel/DPt1R0_E6oS/embed/captioned/,2026-09-25,VERIFIED
itsblankcreative,itsblankcreative,False,itsblankcreative,820K followers,820000,"1,654 posts",1654,unknown,DWO-wRhgK7L,9084,55,https://www.instagram.com/reel/DWO-wRhgK7L/embed/captioned/,2026-09-25,VERIFIED
designedbeneath,designedbeneath,False,designedbeneath,818K followers,818000,125 posts,125,unknown,DYCbaHUzwGG,15169,84,https://www.instagram.com/reel/DYCbaHUzwGG/embed/captioned/,2026-09-25,VERIFIED
gmjinterior,gmjinterior,False,gmjinterior,801K followers,801000,"1,755 posts",1755,unknown,DNfsfoOPlFk,4002,57,https://www.instagram.com/reel/DNfsfoOPlFk/embed/captioned/,2026-09-25,VERIFIED
homesandgardensofficial,homesandgardensofficial,False,homesandgardensofficial,791K,791000,"5,157",5157,yes,DCFOTHSCPr-,4872,41,https://www.instagram.com/reel/DCFOTHSCPr-/embed/captioned/,2026-09-25,VERIFIED
arc_needs,arc_needs,False,arc_needs,765K,765000,140,140,unknown,C_5jH3pMVL1,4403,17,https://www.instagram.com/reel/C_5jH3pMVL1/embed/captioned/,2026-09-25,VERIFIED
divaa.finds,divaa.finds,False,divaa.finds,764K followers,764000,"1,203 posts",1203,unknown,DVy7BDyE0-d,158959,332,https://www.instagram.com/reel/DVy7BDyE0-d/embed/captioned/,2026-09-25,VERIFIED
louise_andallthingshome,louise_andallthingshome,False,louise_andallthingshome,748K followers,748000,"1,435 posts",1435,unknown,DRDUSI0DGyv,17888,418,https://www.instagram.com/reel/DRDUSI0DGyv/embed/captioned/,2026-09-25,VERIFIED
the_karighars,the_karighars,False,the_karighars,736K,736000,"2,042",2042,unknown,DKBlW14swvf,446,19,https://www.instagram.com/reel/DKBlW14swvf/embed/captioned/,2026-09-25,VERIFIED
annaschottin,annaschottin,False,annaschottin,691K,691000,430,430,unknown,DAwA66gvmbH,225288,253,https://www.instagram.com/reel/DAwA66gvmbH/embed/captioned/,2026-09-25,VERIFIED
engineering_school_9,engineering_school_9,False,engineering_school_9,686K,686000,766,766,unknown,DanaEFQoayI,7064,36,https://www.instagram.com/reel/DanaEFQoayI/embed/captioned/,2026-09-25,VERIFIED
smyrna__home,smyrna__home,False,smyrna__home,616K followers,616000,438 posts,438,unknown,DMnrYd9sjZU,17833,122,https://www.instagram.com/reel/DMnrYd9sjZU/embed/captioned/,2026-09-25,VERIFIED
ibuilddevelopers,ibuilddevelopers,False,ibuilddevelopers,601K followers,601000,"3,909 posts",3909,no,DT_pHXdgeTh,8053,31,https://www.instagram.com/reel/DT_pHXdgeTh/embed/captioned/,2026-09-25,VERIFIED
thekitchenguy,thekitchenguy,False,thekitchenguy,592K followers,592000,"1,540 posts",1540,unknown,DUsvJg1EmYt,10192,364,https://www.instagram.com/reel/DUsvJg1EmYt/embed/captioned/,2026-09-25,VERIFIED
crystalkitchenandbedroom,crystalkitchenandbedroom,False,crystalkitchenandbedroom,573K followers,573000,"1,593 posts",1593,no,DA_3tQxCi_y,23006,,https://www.instagram.com/reel/DA_3tQxCi_y/embed/captioned/,2026-09-25,VERIFIED
siriorsinterior,siriorsinterior,False,siriorsinterior,547K,547000,"2,727",2727,unknown,DE7Rnh-vZQf,57039,291,https://www.instagram.com/reel/DE7Rnh-vZQf/embed/captioned/,2026-09-25,VERIFIED
islandgal_5homedecor,islandgal_5homedecor,False,islandgal_5homedecor,496K followers,496000,993 posts,993,unknown,DWbnHzqE-kL,22296,2728,https://www.instagram.com/reel/DWbnHzqE-kL/embed/captioned/,2026-09-25,VERIFIED
vincethebuilder,vincethebuilder,False,vincethebuilder,463K,463000,"2,305",2305,yes,Cnx8jCrsSC5,68992,1075,https://www.instagram.com/reel/Cnx8jCrsSC5/embed/captioned/,2026-09-25,VERIFIED
homeofmerve,homeofmerve,False,homeofmerve,459K,459000,456,456,unknown,CvNKxqDtAj1,587961,700,https://www.instagram.com/reel/CvNKxqDtAj1/embed/captioned/,2026-09-25,VERIFIED
bathroomguide_,bathroomguide_,False,bathroomguide_ · OMARI.TOO,429K followers,429000,739 posts,739,unknown,DYeLm-FBkrJ,10088,102,https://www.instagram.com/reel/DYeLm-FBkrJ/embed/captioned/,2026-09-25,VERIFIED
laurahammett.interiors,laurahammett.interiors,False,laurahammett.interiors,419K followers,419000,"5,054 posts",5054,unknown,C0R3M2XqOoj,23026,322,https://www.instagram.com/reel/C0R3M2XqOoj/embed/captioned/,2026-09-25,VERIFIED
vishnu_xo,vishnu_xo,False,vishnu_xo,406K,406000,468,468,unknown,DNlNMXASgAS,17037,151,https://www.instagram.com/reel/DNlNMXASgAS/embed/captioned/,2026-09-25,VERIFIED
bymichellelei,bymichellelei,False,bymichellelei,402K,402000,664,664,unknown,DXZj2apCQlf,4344,224,https://www.instagram.com/reel/DXZj2apCQlf/embed/captioned/,2026-09-25,VERIFIED
luxuryhouseview,luxuryhouseview,False,luxuryhouseview,389K,389000,961,961,unknown,DTa6Fw6iCrI,1911,11,https://www.instagram.com/reel/DTa6Fw6iCrI/embed/captioned/,2026-09-25,VERIFIED
duchess.lifestyle,duchess.lifestyle,False,duchess.lifestyle,388K,388000,"1,764",1764,unknown,DDhnRF6Jk5h,90756,2235,https://www.instagram.com/reel/DDhnRF6Jk5h/embed/captioned/,2026-09-25,VERIFIED
verandaestatehomes,verandaestatehomes,False,verandaestatehomes,371K,371000,"3,732",3732,unknown,DSxrSKakvV9,44512,467,https://www.instagram.com/reel/DSxrSKakvV9/embed/captioned/,2026-09-25,VERIFIED
havello3,havello3,False,havello3,360K,360000,571,571,unknown,DUxgA8dDEBj,38135,67,https://www.instagram.com/reel/DUxgA8dDEBj/embed/captioned/,2026-09-25,VERIFIED
belinomebel,belinomebel,False,belinomebel,346K,346000,396,396,no,DbaX2stoUyc,173595,777,https://www.instagram.com/reel/DbaX2stoUyc/embed/captioned/,2026-09-25,VERIFIED
chic_interiors_by_shante,chic_interiors_by_shante,False,chic_interiors_by_shante,340K followers,340000,525 posts,525,unknown,DHoL7Afu01H,10033,247,https://www.instagram.com/reel/DHoL7Afu01H/embed/captioned/,2026-09-25,VERIFIED
shauna_kelly_interiors,shauna_kelly_interiors,False,shauna_kelly_interiors,339K followers,339000,"2,407 posts",2407,unknown,Cx1A-Z0r9aD,28173,187,https://www.instagram.com/reel/Cx1A-Z0r9aD/embed/captioned/,2026-09-25,VERIFIED
jareef__saifi,jareef__saifi,False,jareef__saifi,339K,339000,"1,244",1244,unknown,DVBZs-rgYvC,938,,https://www.instagram.com/reel/DVBZs-rgYvC/embed/captioned/,2026-09-25,VERIFIED
revolvingbooks,revolvingbooks,False,revolvingbooks,313K,313000,621,621,unknown,DJzoFbOyfN8,38682,112,https://www.instagram.com/reel/DJzoFbOyfN8/embed/captioned/,2026-09-25,VERIFIED
olena_prykhodko_design,olena_prykhodko_design,False,olena_prykhodko_design,308K followers,308000,434 posts,434,unknown,DU0lBWMjGJZ,16985,70,https://www.instagram.com/reel/DU0lBWMjGJZ/embed/captioned/,2026-09-25,VERIFIED
paulmarkkitchens,paulmarkkitchens,False,paulmarkkitchens,304K,304000,865,865,unknown,DBKFpVDoZzM,3109976,10461,https://www.instagram.com/reel/DBKFpVDoZzM/embed/captioned/,2026-09-25,VERIFIED
camxpetra,camxpetra,False,camxpetra,296K,296000,"2,182",2182,unknown,DD098YyRf4K,3276,83,https://www.instagram.com/reel/DD098YyRf4K/embed/captioned/,2026-09-25,VERIFIED
lifetime_interior_design,lifetime_interior_design,False,lifetime_interior_design,294K,294000,"3,250",3250,unknown,DMi17mcsosb,1453,39,https://www.instagram.com/reel/DMi17mcsosb/embed/captioned/,2026-09-25,VERIFIED
tucasad3co,tucasad3co,False,tucasad3co,272K,272000,223,223,unknown,DVtm6pNkiO_,35673,244,https://www.instagram.com/reel/DVtm6pNkiO_/embed/captioned/,2026-09-25,VERIFIED
thelifestyledco,thelifestyledco,False,thelifestyledco,268K,268000,"3,082",3082,unknown,DGlkw_VSJSy,11710,388,https://www.instagram.com/reel/DGlkw_VSJSy/embed/captioned/,2026-09-25,VERIFIED
rebeccalouise_reallife,rebeccalouise_reallife,False,rebeccalouise_reallife,264K,264000,411,411,unknown,C47SahtKIlX,56239,317,https://www.instagram.com/reel/C47SahtKIlX/embed/captioned/,2026-09-25,VERIFIED
insideno8x,insideno8x,False,insideno8x,264K,264000,560,560,unknown,DFC2m0duhxC,,77,https://www.instagram.com/reel/DFC2m0duhxC/embed/captioned/,2026-09-25,VERIFIED
ayushi.goyal.designs,ayushi.goyal.designs,False,ayushi.goyal.designs,254K,254000,222,222,unknown,DJbufSbTiWh,5457,111,https://www.instagram.com/reel/DJbufSbTiWh/embed/captioned/,2026-09-25,VERIFIED
nextawas,nextawas,False,nextawas,251K,251000,923,923,unknown,DXhPisCE_Du,26333,101,https://www.instagram.com/reel/DXhPisCE_Du/embed/captioned/,2026-09-25,VERIFIED
muttimo_kids,muttimo_kids,False,muttimo_kids,236K,236000,937,937,no,DH6rbDwNGSo,874,19,https://www.instagram.com/reel/DH6rbDwNGSo/embed/captioned/,2026-09-25,VERIFIED
tereknotderek,tereknotderek,False,Andrea Vanzo · Amélie x Soulmate,231K,231000,31,31,unknown,DCpaV_AsdaI,145594,652,https://www.instagram.com/reel/DCpaV_AsdaI/embed/captioned/,2026-09-25,VERIFIED
conceptual_interior_studio,conceptual_interior_studio,False,conceptual_interior_studio,231K,231000,796,796,unknown,DWEqx2-iQSQ,409,,https://www.instagram.com/reel/DWEqx2-iQSQ/embed/captioned/,2026-09-25,VERIFIED
alaligroup0786,alaligroup0786,False,alaligroup0786,227K followers,227000,"2,004 posts",2004,unknown,C2UKHhlodMF,57879,121,https://www.instagram.com/reel/C2UKHhlodMF/embed/captioned/,2026-09-25,VERIFIED
_.decor_and_more._,_.decor_and_more._,False,_.decor_and_more._,227K followers,227000,908 posts,908,unknown,C-1ibfJtsd5,9888,192,https://www.instagram.com/reel/C-1ibfJtsd5/embed/captioned/,2026-09-25,VERIFIED
project_ivel,project_ivel,False,project_ivel,227K followers,227000,"1,106 posts",1106,unknown,DUaCLDjAjnW,2539,102,https://www.instagram.com/reel/DUaCLDjAjnW/embed/captioned/,2026-09-25,VERIFIED
archedmanor,archedmanor,False,archedmanor,224K,224000,"1,539",1539,unknown,CxTdEfOpO9y,68855,718,https://www.instagram.com/reel/CxTdEfOpO9y/embed/captioned/,2026-09-25,VERIFIED
astralserenity,astralserenity,False,astralserenity,222K,222000,38,38,unknown,C24_SYQxzLT,384044,12161,https://www.instagram.com/reel/C24_SYQxzLT/embed/captioned/,2026-09-25,VERIFIED
happywifenewlife,happywifenewlife,False,happywifenewlife,222K followers,222000,"1,011 posts",1011,unknown,DFcKgMEM8IF,22104,169,https://www.instagram.com/reel/DFcKgMEM8IF/embed/captioned/,2026-09-25,VERIFIED
vivekajeet,vivekajeet,False,vivekajeet,221K followers,221000,"3,272 posts",3272,unknown,C9_jbkbyHmM,9709,6,https://www.instagram.com/reel/C9_jbkbyHmM/embed/captioned/,2026-09-25,VERIFIED
inside_142,inside_142,False,mylessmithuk,211K,211000,"1,259",1259,unknown,C9HhYw3MmE_,195009,655,https://www.instagram.com/reel/C9HhYw3MmE_/embed/captioned/,2026-09-25,VERIFIED
purrubykushagraa,purrubykushagraa,False,purrubykushagraa,203K,203000,167,167,unknown,C4iOHSrI4kK,2134,21,https://www.instagram.com/reel/C4iOHSrI4kK/embed/captioned/,2026-09-25,VERIFIED
styltechinterior_official,styltechinterior_official,False,styltechinterior_official,201K,201000,"1,199",1199,unknown,DVn8laHklGZ,91492,289,https://www.instagram.com/reel/DVn8laHklGZ/embed/captioned/,2026-09-25,VERIFIED
comfywhiff,comfywhiff,False,comfywhiff,190K,190000,629,629,no,DZrMeNRvJGu,100,,https://www.instagram.com/reel/DZrMeNRvJGu/embed/captioned/,2026-09-25,VERIFIED
missvanediva,missvanediva,False,missvanediva,186K followers,186000,"2,256 posts",2256,unknown,DEQulkZx-ow,17190,44,https://www.instagram.com/reel/DEQulkZx-ow/embed/captioned/,2026-09-25,VERIFIED
jusathome,jusathome,False,jusathome,184K,184000,939,939,unknown,DWtm8hHjOop,22836,369,https://www.instagram.com/reel/DWtm8hHjOop/embed/captioned/,2026-09-25,VERIFIED
lux_mommy,lux_mommy,False,lux_mommy,183K,183000,"2,129",2129,unknown,CxdmZCUugqp,143000,3031,https://www.instagram.com/reel/CxdmZCUugqp/embed/captioned/,2026-09-25,VERIFIED
chase_amie,chase_amie,False,chase_amie,171K followers,171000,"1,210 posts",1210,unknown,ChAXLVjAxby,15114,153,https://www.instagram.com/reel/ChAXLVjAxby/embed/captioned/,2026-09-25,VERIFIED
ihsansamhoun.interiors,ihsansamhoun.interiors,False,ihsansamhoun.interiors,168K,168000,"5,309",5309,unknown,DIv15V-s3g2,,47,https://www.instagram.com/reel/DIv15V-s3g2/embed/captioned/,2026-09-25,VERIFIED
tarekalkhattab,tarekalkhattab,False,tarekalkhattab,166K followers,166000,483 posts,483,unknown,DB9D0emNVyR,9149,176,https://www.instagram.com/reel/DB9D0emNVyR/embed/captioned/,2026-09-25,VERIFIED
mina__casa,mina__casa,False,mina__casa,162K followers,162000,"1,904 posts",1904,no,ChRZ_TIsdTL,32650,241,https://www.instagram.com/reel/ChRZ_TIsdTL/embed/captioned/,2026-09-25,VERIFIED
diachok.architects,diachok.architects,False,Diachok Architects,156K,156000,596,596,unknown,DQWtLwbDNR9,11479,246,https://www.instagram.com/reel/DQWtLwbDNR9/embed/captioned/,2026-09-25,VERIFIED
theraj_interior,theraj_interior,False,theraj_interior,148K,148000,"1,299",1299,unknown,DTrgOnZk3v-,23980,111,https://www.instagram.com/reel/DTrgOnZk3v-/embed/captioned/,2026-09-25,VERIFIED
justvideowalls,justvideowalls,False,justvideowalls,148K,148000,340,340,unknown,DP9iatjAGnw,5038,70,https://www.instagram.com/reel/DP9iatjAGnw/embed/captioned/,2026-09-25,VERIFIED
dezo_interior,dezo_interior,False,dezo_interior,145K,145000,864,864,no,DIbvZbey4Ki,1324,,https://www.instagram.com/reel/DIbvZbey4Ki/embed/captioned/,2026-09-25,VERIFIED
dreamintrodesigns,dreamintrodesigns,False,dreamintrodesigns,143K,143000,760,760,unknown,DFzp9kasyef,18628,66,https://www.instagram.com/reel/DFzp9kasyef/embed/captioned/,2026-09-25,VERIFIED
bbqislandsanddesigns,bbqislandsanddesigns,False,bbqislandsanddesigns,141K,141000,"1,687",1687,unknown,DUwE2j9kger,282170,2514,https://www.instagram.com/reel/DUwE2j9kger/embed/captioned/,2026-09-25,VERIFIED
veertamotiani,veertamotiani,False,veertamotiani,139K,139000,"1,273",1273,unknown,DRMqeXRiNQ5,63581,695,https://www.instagram.com/reel/DRMqeXRiNQ5/embed/captioned/,2026-09-25,VERIFIED
jameshardieau,jameshardieau,False,jameshardieau,138K,138000,"3,363",3363,yes,CwZgz3StlJu,28,,https://www.instagram.com/reel/CwZgz3StlJu/embed/captioned/,2026-09-25,VERIFIED
palmlivingae,palmlivingae,False,palmlivingae,136K,136000,"1,727",1727,unknown,DTpCYjokXpq,40681,151,https://www.instagram.com/reel/DTpCYjokXpq/embed/captioned/,2026-09-25,VERIFIED
felifam_worldwide,felifam_worldwide,False,felifam_worldwide,135K,135000,579,579,unknown,DJi-5kqoL8x,505,6,https://www.instagram.com/reel/DJi-5kqoL8x/embed/captioned/,2026-09-25,VERIFIED
2pdesigners,2pdesigners,False,2pdesigners,134K,134000,"1,648",1648,unknown,DISCNIXO4nK,15904,129,https://www.instagram.com/reel/DISCNIXO4nK/embed/captioned/,2026-09-25,VERIFIED
cypressbuildingsolution,cypressbuildingsolution,False,cypressbuildingsolution,133K,133000,434,434,no,DE-PopKyDGL,290,,https://www.instagram.com/reel/DE-PopKyDGL/embed/captioned/,2026-09-25,VERIFIED
longingtocomehome,longingtocomehome,False,longingtocomehome,130K,130000,174,174,unknown,DGQYtSbOz6S,2256928,9851,https://www.instagram.com/reel/DGQYtSbOz6S/embed/captioned/,2026-09-25,VERIFIED
byselimfurniture,byselimfurniture,False,byselimfurniture,130K followers,130000,355 posts,355,unknown,DQMuxjDCOt2,5914,122,https://www.instagram.com/reel/DQMuxjDCOt2/embed/captioned/,2026-09-25,VERIFIED
aluminium_glass_design,aluminium_glass_design,False,aluminium_glass_design,129K,129000,962,962,unknown,C-t4FLKJhwy,549,,https://www.instagram.com/reel/C-t4FLKJhwy/embed/captioned/,2026-09-25,VERIFIED
rekha_interiors,rekha_interiors,False,rekha_interiors,125K,125000,986,986,unknown,DPjNmoojDUn,744,9,https://www.instagram.com/reel/DPjNmoojDUn/embed/captioned/,2026-09-25,VERIFIED
life.vs.sarah,life.vs.sarah,False,life.vs.sarah,124K,124000,799,799,unknown,DROj51jEvC7,13895,151,https://www.instagram.com/reel/DROj51jEvC7/embed/captioned/,2026-09-25,VERIFIED
dubailuxuryvibes,dubailuxuryvibes,False,dubailuxuryvibes,123K,123000,"2,195",2195,unknown,CW3ODKSq4ZK,1036,,https://www.instagram.com/reel/CW3ODKSq4ZK/embed/captioned/,2026-09-25,VERIFIED
4ydesigns,4ydesigns,False,4ydesigns,123K,123000,"2,591",2591,unknown,DXu-_jDDRQ7,,,https://www.instagram.com/reel/DXu-_jDDRQ7/embed/captioned/,2026-09-25,VERIFIED
bramleyandbear,bramleyandbear,False,bramleyandbear,112K followers,112000,883 posts,883,unknown,DWW_A3fAsq3,3572,170,https://www.instagram.com/reel/DWW_A3fAsq3/embed/captioned/,2026-09-25,VERIFIED
twinreadsandreds,twinreadsandreds,False,twinreadsandreds,111K followers,111000,"1,353 posts",1353,unknown,DV09IF7AOEA,199056,993,https://www.instagram.com/reel/DV09IF7AOEA/embed/captioned/,2026-09-25,VERIFIED
nikimariephoto,nikimariephoto,False,nikimariephoto,110K,110000,"3,569",3569,unknown,DOEDxVjDSEX,66467,189,https://www.instagram.com/reel/DOEDxVjDSEX/embed/captioned/,2026-09-25,VERIFIED
watchthebuild,watchthebuild,False,watchthebuild,106K followers,106000,128 posts,128,unknown,DbmsOfOywba,9134,56,https://www.instagram.com/reel/DbmsOfOywba/embed/captioned/,2026-09-25,VERIFIED
ariellahorowitzdesigngroup,ariellahorowitzdesigngroup,False,ariellahorowitzdesigngroup,103K,103000,"2,172",2172,unknown,Co0rlSCpnVx,2221,58,https://www.instagram.com/reel/Co0rlSCpnVx/embed/captioned/,2026-09-25,VERIFIED
esmael.abdelhamed,esmael.abdelhamed,False,esmael.abdelhamed,97.3K,97300,447,447,no,DND177Ts6ae,0,,https://www.instagram.com/reel/DND177Ts6ae/embed/captioned/,2026-09-25,VERIFIED
nemoza_interiors,nemoza_interiors,False,nemoza_interiors,96K,96000,466,466,unknown,DV9K7tciJ0p,8274,103,https://www.instagram.com/reel/DV9K7tciJ0p/embed/captioned/,2026-09-25,VERIFIED
decorworld_interiorsolution,decorworld_interiorsolution,False,decorworld_interiorsolution,96K,96000,971,971,unknown,DHQl-4tRCWP,459,9,https://www.instagram.com/reel/DHQl-4tRCWP/embed/captioned/,2026-09-25,VERIFIED
