handle,n_reels_sample,followers,posts,median_views,max_views,sum_views,median_vpf,max_vpf,median_topic_index,median_adj_factor,first_post_seen,last_post_seen,topics,account_kind,production_mode,style_mode,room_mode,realism_mode,language_mode,share_ai_generated,top_reel_url,instagram_url,follower_status,views_status
siyad_abdali,6,4000000.0,2110.0,4550000.0,282000000.0,402716000.0,1.1375,70.5,29.296569456149292,5.672994753218346,2024-07-11T16:46:11.537000+00:00,2026-01-20T13:51:09.900000+00:00,ai-house-design;cozy-winter-cabin;dream-bedroom;dream-home;dream-room;modern-living-room,ai_creator,ai_generated,glam_feminine,bedroom,stylized_dreamy,en,1.0,https://www.instagram.com/reel/C_Pf1dboaeJ/,https://www.instagram.com/siyad_abdali/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
drcozyvibes,3,584000.0,978.0,421000.0,155000000.0,155672000.0,0.5753424657534247,0.7208904109589042,7.943396226415095,2.0055588481116127,2024-07-02T15:20:06.780000+00:00,2024-08-11T14:25:16.981000+00:00,cozy-cabin-in-the-snow;cozy-rain;cozy-winter-cabin;glass-house-photos,theme_page,ai_generated,rustic_cozy,bedroom,stylized_dreamy,en,1.0,https://www.instagram.com/reel/C87NQHRtm6B/,https://www.instagram.com/drcozyvibes/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
ai.poly_,1,14000.0,30.0,147000000.0,147000000.0,147000000.0,10500.0,10500.0,55.471698113207545,209.32636842618368,2026-05-22T10:17:27.635000+00:00,2026-05-22T10:17:27.635000+00:00,ai-art,ai_creator,ai_generated,other,none_person_only,stylized_dreamy,ru,1.0,https://www.instagram.com/reel/DYoyUS9NlAr/,https://www.instagram.com/ai.poly_/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
ifonly.ai,1,1000000.0,419.0,136000000.0,136000000.0,136000000.0,136.0,136.0,974.561089215335,199.63901341458137,2024-08-22T10:30:00.193000+00:00,2024-08-22T10:30:00.193000+00:00,ai-house-design,ai_creator,,,,,en,,https://www.instagram.com/reel/C--Al6UA6GE/,https://www.instagram.com/ifonly.ai/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
paulmarkkitchens,3,304000.0,865.0,68350000.0,135000000.0,136700000.0,224.83552631578948,444.07894736842104,89.46335078534031,44.00688418300375,2024-10-15T20:07:50.112000+00:00,2025-05-23T18:26:41.369000+00:00,outdoor-kitchen,brand_manufacturer,real_footage,modern_luxury,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/DBKFpVDoZzM/,https://www.instagram.com/paulmarkkitchens/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
polliviva,1,48000.0,264.0,97200000.0,97200000.0,97200000.0,2025.0,2025.0,36.679245283018865,77.78643904203986,2026-07-05T18:15:35.657000+00:00,2026-07-05T18:15:35.657000+00:00,ai-art,ai_creator,ai_generated,other,bathroom,fantasy_impossible,ru,1.0,https://www.instagram.com/reel/Daa8AwIMNMt/,https://www.instagram.com/polliviva/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
sandiwara_multiverse.99,1,402000.0,79.0,85200000.0,85200000.0,85200000.0,211.9402985074627,211.9402985074627,32.15094339622642,19.129861119595144,2026-07-20T00:42:50.114000+00:00,2026-07-20T00:42:50.114000+00:00,treehouse,ai_creator,ai_generated,traditional_regional,exterior_facade,stylized_dreamy,en,1.0,https://www.instagram.com/reel/Da_rdPUj1jN/,https://www.instagram.com/sandiwara_multiverse.99/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
cairo_ia,1,944000.0,219.0,81100000.0,81100000.0,81100000.0,85.91101694915254,85.91101694915254,419.12144702842374,164.2719904473151,2026-03-08T22:04:50.481000+00:00,2026-03-08T22:04:50.481000+00:00,outdoor-living,ai_creator,ai_generated,rustic_cozy,terrace_outdoor,aspirational_realistic,en,1.0,https://www.instagram.com/reel/DVo7prsEaRf/,https://www.instagram.com/cairo_ia/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
manhwa_diablo,2,331000.0,115.0,39552000.0,78400000.0,79104000.0,119.49244712990937,236.85800604229607,37.056907780185966,26.292484643443736,2026-01-29T04:07:14.389000+00:00,2026-02-25T04:12:36.429000+00:00,backyard-design;garden-design;landscape-design;luxury-garden,theme_page,ai_generated,modern_luxury,garden_landscape,aspirational_realistic,en,0.5,https://www.instagram.com/reel/DUFKH1-CZmG/,https://www.instagram.com/manhwa_diablo/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
shellychicboutique,1,,,77200000.0,77200000.0,77200000.0,,,55.142857142857146,,2026-02-26T11:12:55.927000+00:00,2026-02-26T11:12:55.927000+00:00,home-decor-ideas,,,,,,,,https://www.instagram.com/reel/DVOBGNPERF3/,https://www.instagram.com/shellychicboutique/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
kellmarcel,1,126000.0,443.0,74900000.0,74900000.0,74900000.0,594.4444444444445,594.4444444444445,53.5,37.16266229434203,2024-07-07T16:10:35.311000+00:00,2024-07-07T16:10:35.311000+00:00,home-decor-ideas,lifestyle_influencer,real_footage,minimalist,living_room,real_existing,en,0.0,https://www.instagram.com/reel/C9ILALrMKjw/,https://www.instagram.com/kellmarcel/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
natural_._scenery,1,,,74100000.0,74100000.0,74100000.0,,,131.9679430097952,,2025-04-06T17:40:39.747000+00:00,2025-04-06T17:40:39.747000+00:00,cozy-rain;rain-cozy,theme_page,real_footage,other,bedroom,real_existing,en,0.0,https://www.instagram.com/reel/DIHSUx1PJ8j/,https://www.instagram.com/natural_._scenery/,UNKNOWN,"VERIFIED (public topic pages; sample, not full account history)"
clarazrd,2,297000.0,282.0,36800000.0,72100000.0,73600000.0,123.9057239057239,242.76094276094275,27.4816091954023,18.04413267953991,2024-11-17T17:47:59.527000+00:00,2025-07-21T16:39:27.750000+00:00,luxury-penthouse;penthouse-tour,lifestyle_influencer,real_footage,minimalist,living_room,real_existing,en,0.0,https://www.instagram.com/reel/DMYHlSWuqZK/,https://www.instagram.com/clarazrd/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
syifa_in_switzerland,3,3000000.0,2642.0,6600000.0,71800000.0,78617000.0,12.002833333333333,23.933333333333334,8.997955010224949,33.534863845204924,2025-08-20T08:08:32.598000+00:00,2026-03-16T10:45:56.209000+00:00,swiss-chalet,lifestyle_influencer,real_footage,traditional_regional,garden_landscape,real_existing,en,0.0,https://www.instagram.com/reel/DSzbGfUjOwu/,https://www.instagram.com/syifa_in_switzerland/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
travelwithjaro,1,1000000.0,874.0,66500000.0,66500000.0,66500000.0,66.5,66.5,95.68345323741008,27.743107133350787,2026-04-23T02:16:04.606000+00:00,2026-04-23T02:16:04.606000+00:00,maldives-villa,lifestyle_influencer,real_footage,tropical,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/DXdQLKSjlH2/,https://www.instagram.com/travelwithjaro/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
timelessdiaries,1,65000.0,977.0,60700000.0,60700000.0,60700000.0,933.8461538461538,933.8461538461538,113.35200746965452,198.19518388417197,2026-08-11T14:59:38.088000+00:00,2026-08-11T14:59:38.088000+00:00,faroe-islands-luxury-villas,theme_page,real_footage,traditional_regional,exterior_facade,real_existing,en,0.0,https://www.instagram.com/reel/Db52_4HxXQE/,https://www.instagram.com/timelessdiaries/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
earthfm_net,2,757000.0,208.0,35300000.0,58500000.0,70600000.0,46.63143989431968,77.2787318361955,10.231884057971014,2.743491529818631,2024-05-22T13:46:57.897000+00:00,2024-05-28T12:30:28.086000+00:00,rainy-day,theme_page,unclear,minimalist,bedroom,aspirational_realistic,en,0.0,https://www.instagram.com/reel/C7gyA-OyA7m/,https://www.instagram.com/earthfm_net/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
interiorbyuma22,1,295000.0,455.0,55500000.0,55500000.0,55500000.0,188.135593220339,188.135593220339,70.70063694267516,41.863718258796865,2026-06-11T06:30:38.864000+00:00,2026-06-11T06:30:38.864000+00:00,dream-bedroom-decor-ideas;luxury-interior-design,designer_studio,3d_render,futuristic,bedroom,stylized_dreamy,en,0.0,https://www.instagram.com/reel/DZb4Qkbhr9V/,https://www.instagram.com/interiorbyuma22/,"VERIFIED (public embed page, rounded, 2026-09-25)","VERIFIED (public topic pages; sample, not full account history)"
