handle,n_reels_in_topics,max_views,median_views,sum_views,n_topics,topics
siyad_abdali,6,282000000,4550000,402716000,6,ai-house-design;cozy-winter-cabin;dream-bedroom;dream-home;dream-room;modern-living-room
drcozyvibes,3,155000000,421000,155672000,4,cozy-cabin-in-the-snow;cozy-rain;cozy-winter-cabin;glass-house-photos
ai.poly_,1,147000000,147000000,147000000,1,ai-art
ifonly.ai,1,136000000,136000000,136000000,1,ai-house-design
paulmarkkitchens,3,135000000,68350000,136700000,1,outdoor-kitchen
polliviva,1,97200000,97200000,97200000,1,ai-art
sandiwara_multiverse.99,1,85200000,85200000,85200000,1,treehouse
cairo_ia,1,81100000,81100000,81100000,1,outdoor-living
manhwa_diablo,2,78400000,39552000,79104000,4,backyard-design;garden-design;landscape-design;luxury-garden
shellychicboutique,1,77200000,77200000,77200000,1,home-decor-ideas
kellmarcel,1,74900000,74900000,74900000,1,home-decor-ideas
natural_._scenery,1,74100000,74100000,74100000,2,cozy-rain;rain-cozy
clarazrd,2,72100000,36800000,73600000,2,luxury-penthouse;penthouse-tour
syifa_in_switzerland,3,71800000,6600000,78617000,1,swiss-chalet
travelwithjaro,1,66500000,66500000,66500000,1,maldives-villa
timelessdiaries,1,60700000,60700000,60700000,1,faroe-islands-luxury-villas
earthfm_net,2,58500000,35300000,70600000,1,rainy-day
interiorbyuma22,1,55500000,55500000,55500000,2,dream-bedroom-decor-ideas;luxury-interior-design
architectanddesign,2,55200000,28800000,57600000,2,architecture;rooftop-pool
alshifarealtor.dxb,1,54300000,54300000,54300000,1,dubai-villa
swissaround,2,49200000,27300000,54600000,1,swiss-chalet
gautamsinghania99,1,48700000,48700000,48700000,1,real-estate
soothenests,4,45100000,6950000,61500000,4,ai-cozy-cabin;dream-bedroom;dream-bedrooms;luxury-bedroom
karissa.brighton,2,37700000,19198000,38396000,1,amazon-home-finds
longingtocomehome,1,36000000,36000000,36000000,1,home-library
aiforarchitects,7,34700000,2000000,43403000,7,dream-home;jamesedition-luxury-homes;los-angeles-house;luxury-mansion;luxury-real-estate-mansion-exterior;luxury-resort;miami-mansion
elysian__living,1,34000000,34000000,34000000,1,rainy-day
archstudent.marteen,2,32000000,18850000,37700000,1,architecture
nice_tower,2,31500000,18400000,36800000,1,architecture
pupina,1,29000000,29000000,29000000,1,amalfi-coast
homebyhyla,1,28600000,28600000,28600000,4,ai-home-design;ai-interior;ai-interior-design;ai-interior-designer
north_cascades_haven,2,27900000,14079000,28158000,2,cabin;cozy-cabin-in-the-snow
shri_bk_babu,1,26800000,26800000,26800000,1,modern-architecture
diniz_nasaroba,2,25000000,13100000,26200000,2,garden-design;luxury-garden
sunt_mrr,9,24500000,2900000,48324900,12,ai-generated-house;ai-house-design;bali-infinity-pool-villas;bali-luxury-villas-with-private-pools;cliff-house;faroe-islands-luxury-villas;future-house;futuristic-houses;overwater-villa;tropical-house-architecture-styles;underwater-hotel;waterfall-house
cocinasintegralesjv,1,24000000,24000000,24000000,1,walk-in-closet
elitebuildhq,6,24000000,4000000,49977000,5,ai-generated-house;container-home-luxury-models-2026;inside-underground-bunker-house;modern-architecture;underground-house
kohlectcabins,2,23800000,11935300,23870600,2,cozy-cabin;mountain-house
lisi.quietdiaries,2,22700000,11412000,22824000,1,quiet-luxury
wayup_media,12,22700000,3050000,64442000,14,desert-modern-house-tours;dream-home;dream-house;futuristic-house;jamesedition-luxury-homes;luxury-homes;luxury-house-tour;luxury-mansion;luxury-real-estate;luxury-real-estate-mansion-exterior;mansion-tour;mountain-house;real-estate;ultra-modern-luxury-house-design
poool__creator,1,22100000,22100000,22100000,1,garden-design
iz__designs,1,21900000,21900000,21900000,2,ai-interior-design;ai-interior-designer
feliciaheesen,1,21800000,21800000,21800000,1,home-decor-ideas
magnitudeconstruction,1,21100000,21100000,21100000,1,luxury-villa
nicolemsunderland,2,21000000,10547150,21094300,2,bora-bora-luxury-hotels;overwater-villa
castlepics,1,20000000,20000000,20000000,1,architecture
ghstudio._,1,19700000,19700000,19700000,1,house-in-the-forest
jiqbalrealtor,1,19500000,19500000,19500000,1,luxury-penthouse
sanyamboraarchitects,1,19300000,19300000,19300000,1,architecture
_velvet_abode,1,18900000,18900000,18900000,1,room-makeover
reschio,1,18800000,18800000,18800000,1,luxury-pool
jetset_anna,2,18800000,10500000,21000000,3,amalfi-coast;lake-como-villa;luxury-homes-on-the-amalfi-coast
thehomopien,1,18500000,18500000,18500000,1,inside-underground-bunker-house
karolaineponci,1,18100000,18100000,18100000,1,amalfi-coast
diycraftstvofficial,4,17600000,3450000,25500000,4,a-frame-modern-cabins;container-home-luxury-models-2026;infinity-pools;underground-house
ariffathulhakim,2,17400000,8848000,17696000,2,luxury-cabin;rainy-day
design_x_interior,2,17400000,8895000,17790000,2,luxury-bedroom-design;luxury-room
gabscanu,1,17100000,17100000,17100000,1,overwater-villa
kratosdigitalarts,1,17100000,17100000,17100000,1,ai-art
imtiazsahib33,2,16600000,8308800,16617600,1,underground-house
jonaways,1,16600000,16600000,16600000,1,bali-luxury-villas-with-private-pools
swaraagharat,1,16500000,16500000,16500000,1,maldives-resort
edin.flat,1,16100000,16100000,16100000,1,home-decor
myplants.uae,2,15600000,8278500,16557000,1,landscape-design-ai
elarch.studio,3,15500000,5500000,21036500,3,luxury-home-theater-ideas;luxury-modern-beautiful-house;ultra-modern-luxury-house-design
architect_hitesh,2,14900000,7574500,15149000,1,modern-villa
greengenielandscapes,1,14800000,14800000,14800000,1,luxury-garden
archibible,2,14300000,7373000,14746000,1,midjourney-architecture
nostalgicraindrops,3,14100000,3900000,19100000,3,cozy-rain;rain-cozy;rain-sounds
spirithiker,1,13800000,13800000,13800000,1,treehouse-hotel
juliagal_,4,13600000,4591500,22885000,3,best-rooftop-pools;luxury-hotel;luxury-hotel-suite
proud_and_property,2,13500000,7188500,14377000,2,dream-home;luxury-house
homeofmerve,1,13100000,13100000,13100000,4,bedroom-decor;bedroom-design;cozy-bedroom-ideas;dream-bedroom-decor-ideas
calm_neststudio,3,13100000,172000,13300300,3,cozy-rain;rain-cozy;rain-sounds
lk4id,1,13000000,13000000,13000000,2,futuristic-interior;luxury-apartment
holayasmin_,1,12700000,12700000,12700000,1,cottagecore-living-room-design
not_your_basic_build,1,12600000,12600000,12600000,1,underground-house
lakecomo_boat,2,12400000,12400000,24800000,2,como-lake-villas;lake-como-villa
zinapoyalar_uz,1,11800000,11800000,11800000,1,architecture
jen.casanovas.ibiza,1,11700000,11700000,11700000,1,architecture
poladcrete,1,11700000,11700000,11700000,1,backyard-design
ai.design.ideas,3,11300000,343000,11702500,2,industrial-chic-interior-design;industrial-interior
mycozycorner_28,1,11200000,11200000,11200000,1,home-decor-ideas
sellingwithsimmrit,1,10700000,10700000,10700000,1,dubai-villa
northern___bear,1,10400000,10400000,10400000,1,hunza-valley-luxury-resorts
_jeni__va,1,10300000,10300000,10300000,1,dream-room
abdullahaslanoglu_,2,10200000,5193500,10387000,3,luxury-dining-room;modern-house;modern-villa
aura.__.films,1,10000000,10000000,10000000,1,rainy-day
predmet_ai,1,9900000,9900000,9900000,1,ai-render
explaining.architecturee,1,9700000,9700000,9700000,1,architecture
luxuriatetouche,2,9700000,5900000,11800000,2,dream-house-design;ultra-modern-luxury-house-design
calm_and_cozy_moments,1,9400000,9400000,9400000,1,green-minimalist-interior-design
day_design_101,2,9200000,5300000,10600000,1,landscape-design
buildcraft.hq,1,9200000,9200000,9200000,1,future-home
psychologyfacts0099,1,9000000,9000000,9000000,1,interior-styling
designevolutionn,1,8900000,8900000,8900000,1,luxury-garden
soldbytyler,2,8800000,5250000,10500000,2,malibu-house;real-estate
wifizei,1,8600000,8600000,8600000,2,luxury-life;luxury-lifestyle
ryanserhant,1,8400000,8400000,8400000,1,jamesedition-luxury-homes
ell.glamhome,2,8200000,4750000,9500000,3,bedroom-design;dream-bedroom;dream-room
luxurydreamhub,16,8200000,868500,25947900,21,dream-bedrooms;dream-home;dubai-luxury-interior-design-trends;futuristic-home;futuristic-house;futuristic-houses;futuristic-interior;luxury-apartment;luxury-apartment-interior-design-ideas-2026;luxury-bedroom;luxury-bedroom-design;luxury-dining-room;luxury-interior;luxury-interior-design;luxury-kitchen-design;luxury-master-bedroom;luxury-modern-beautiful-house;luxury-room;modern-living-room;modern-luxury-house-interiors;ultra-modern-luxury-house-design
lisaabue,1,8000000,8000000,8000000,1,maldives-villa
utahrealestatepaige,1,8000000,8000000,8000000,1,real-estate
capsulecastle2025,2,8000000,4140500,8281000,1,capsule-castle-luxury-space-capsule-houses
thecozyeditx,1,8000000,8000000,8000000,1,cozy-room
ambitiouskitchen,1,7900000,7900000,7900000,1,kitchen-inspiration
tuesday_leroux,2,7800000,5850000,11700000,8,luxury-homes;luxury-house;luxury-house-tour;luxury-mansion;luxury-real-estate-mansion-exterior;luxury-villa;mansion-tour;miami-mansion
ryanknoch,1,7800000,7800000,7800000,1,modern-luxury-house-interiors
desertmidmod.atx,1,7700000,7700000,7700000,1,outdoor-kitchen
jordi.koalitic,1,7700000,7700000,7700000,1,infinity-pools
eloisepreen,4,7600000,2102000,11931000,3,art-deco-interior-design;mid-century-modern;mid-century-modern-living-room-ideas
erisa_mema,1,7500000,7500000,7500000,1,architecture
nouxri,3,7500000,452000,7987900,3,dubai-luxury;ibiza-villa;rooftop-pool
traveltomtom,1,7500000,7500000,7500000,2,maldives-resort;maldives-villa
oykuwear,1,7400000,7400000,7400000,1,tulum
sireen.design,1,7400000,7400000,7400000,1,ai-interior-design
iambeccaluna,1,7300000,7300000,7300000,2,cabin;house-in-forest
mona.co98000,1,7300000,7300000,7300000,1,monaco
ki.render,1,7300000,7300000,7300000,2,ai-interior-design;ai-interior-designer
almostlove21,2,7300000,4850000,9700000,2,cozy-room;dream-room
astralserenity,1,7200000,7200000,7200000,2,dream-bedroom;dream-bedrooms
craftlab2050,1,7100000,7100000,7100000,1,treehouse
