shortcode,handle,views,views_text,topics,caption,url,source
C_Pf1dboaeJ,siyad_abdali,282000000,282M,dream-room,NA,https://www.instagram.com/reel/C_Pf1dboaeJ/,https://www.instagram.com/popular/dream-room/
C87NQHRtm6B,drcozyvibes,155000000,155M,cozy-rain,"Rainy Day Reflections: Comfort Bed, Melodic Drops, and a Scenic Window #cozycabin #RainyDayVibes",https://www.instagram.com/reel/C87NQHRtm6B/,https://www.instagram.com/popular/cozy-rain/
DYoyUS9NlAr,ai.poly_,147000000,147M,ai-art,Сейчас ещё чуть-чуть подравняю 🥲 #ии #aivideo #aiart #ai #нейросети,https://www.instagram.com/reel/DYoyUS9NlAr/,https://www.instagram.com/popular/ai-art/
C--Al6UA6GE,ifonly.ai,136000000,136M,ai-house-design,If only 'home sweet home' meant living in a tiramisu house. Art/Prompts by @ifonly.ai & @sunt_mrr,https://www.instagram.com/reel/C--Al6UA6GE/,https://www.instagram.com/popular/ai-house-design/
DBKFpVDoZzM,paulmarkkitchens,135000000,135M,outdoor-kitchen,Who would love one of these in their garden? #bbq #outdoorcooking #kitchen #outdoorliving,https://www.instagram.com/reel/DBKFpVDoZzM/,https://www.instagram.com/popular/outdoor-kitchen/
C9SiQc8S9xq,siyad_abdali,109000000,109M,modern-living-room,,https://www.instagram.com/reel/C9SiQc8S9xq/,https://www.instagram.com/popular/modern-living-room/
Daa8AwIMNMt,polliviva,97200000,97.2M,ai-art,У кого так же 😄 Видео сделано в syntx @syntx_creators #ии #al #нейросеть #cartoon,https://www.instagram.com/reel/Daa8AwIMNMt/,https://www.instagram.com/popular/ai-art/
Da_rdPUj1jN,sandiwara_multiverse.99,85200000,85.2M,treehouse,TreeHouse #GiantTree #TreeTopHouse #JungleLife #Rainforest,https://www.instagram.com/reel/Da_rdPUj1jN/,https://www.instagram.com/popular/treehouse/
DVo7prsEaRf,cairo_ia,81100000,81.1M,outdoor-living,I Turned Old Pallets into the ULTIMATE Backyard Oasis! 😱✨ Turned basic wooden pallets into the ultimate cozy backyard retreat!,https://www.instagram.com/reel/DVo7prsEaRf/,https://www.instagram.com/popular/outdoor-living/
DUFKH1-CZmG,manhwa_diablo,78400000,78.4M,luxury-garden,luxury landscaped backyard 🌲🌱 #luxury #backyard #landscape #garden #design,https://www.instagram.com/reel/DUFKH1-CZmG/,https://www.instagram.com/popular/luxury-garden/
DVOBGNPERF3,shellychicboutique,77200000,77.2M,home-decor-ideas,Clay + napkin → DIY decor magic ✨ The prettiest handmade gift idea that's so easy and so affordable but looks high-end 🤍,https://www.instagram.com/reel/DVOBGNPERF3/,https://www.instagram.com/popular/home-decor-ideas/
C9ILALrMKjw,kellmarcel,74900000,74.9M,home-decor-ideas,Decorate my living room in my new apartment with me.✨ I'm extra proud of all my thrifted finds and how good they look in this space.🤗,https://www.instagram.com/reel/C9ILALrMKjw/,https://www.instagram.com/popular/home-decor-ideas/
DIHSUx1PJ8j,natural_._scenery,74100000,74.1M,cozy-rain;rain-cozy,"This video was made for anyone looking for peace in the middle of a busy or overwhelming day. It's a calming aesthetic corner with soft lighting, cozy",https://www.instagram.com/reel/DIHSUx1PJ8j/,https://www.instagram.com/popular/cozy-rain/
DMYHlSWuqZK,clarazrd,72100000,72.1M,luxury-penthouse,#forsale Penthouse NYC | I'm a Real Estate Agent in New York. If you have questions about this penthouse or are looking to,https://www.instagram.com/reel/DMYHlSWuqZK/,https://www.instagram.com/popular/luxury-penthouse/
DSzbGfUjOwu,syifa_in_switzerland,71800000,71.8M,swiss-chalet,SWISS🇨🇭🇨🇭 #swiss #switzerland #switzerland🇨🇭 #visitswitzerland #swissalps,https://www.instagram.com/reel/DSzbGfUjOwu/,https://www.instagram.com/popular/swiss-chalet/
DXdQLKSjlH2,travelwithjaro,66500000,66.5M,maldives-villa,Rate this villa tour out of 10 😭👇🏽 Because making it to your own overwater bungalow in the Maldives for the first time…,https://www.instagram.com/reel/DXdQLKSjlH2/,https://www.instagram.com/popular/maldives-villa/
Db52_4HxXQE,timelessdiaries,60700000,60.7M,faroe-islands-luxury-villas,"Suddenly, living in the middle of nowhere sounds perfect 🤍🍀 A tiny house, a grass roof, mountains, ocean, and absolutely nowhere to be. 📍Faroe Islands",https://www.instagram.com/reel/Db52_4HxXQE/,https://www.instagram.com/popular/faroe-islands-luxury-villas/
C7gyA-OyA7m,earthfm_net,58500000,58.5M,rainy-day,😴😴🌧️🌧️ #rain #raining #rainyday #toptags #pouring #rainydays #water,https://www.instagram.com/reel/C7gyA-OyA7m/,https://www.instagram.com/popular/rainy-day/
DZb4Qkbhr9V,interiorbyuma22,55500000,55.5M,dream-bedroom-decor-ideas;luxury-interior-design,Interior by Uma ✨ #InteriorDesign #InteriorByUma #HomeDecor #InteriorStyling #ModernInterior Lux,https://www.instagram.com/reel/DZb4Qkbhr9V/,https://www.instagram.com/popular/luxury-interior-design/
DV3FgFVjJLx,architectanddesign,55200000,55.2M,architecture,Did you know that the Kölner Dom took 632 years to complete? Construction began in 1248 and was fina,https://www.instagram.com/reel/DV3FgFVjJLx/,https://www.instagram.com/popular/architecture/
DdMPxaloS3f,alshifarealtor.dxb,54300000,54.3M,dubai-villa,"Why should I pay rent when I can have my own villa in Dubai? 🏡✨ Want to know how? Comment ""VILLA""",https://www.instagram.com/reel/DdMPxaloS3f/,https://www.instagram.com/popular/dubai-villa/
CjK-ec2DtzZ,swissaround,49200000,49.2M,swiss-chalet,"🏡 Wood Dream House in Switzerland 🇨🇭 📍Gimmelwald, Switzerland 🇨🇭 🎥Instagram: @swissaround #switzerland #swissaround #gimmelwald #dreamhouse #chalet",https://www.instagram.com/reel/CjK-ec2DtzZ/,https://www.instagram.com/popular/swiss-chalet/
DVfSb-Jkk-a,gautamsinghania99,48700000,48.7M,real-estate,"Positioned in the fast-evolving SoBo Central corridor, The Address by GS, Wadala reflects our continued focus on disciplined planning, strong design,",https://www.instagram.com/reel/DVfSb-Jkk-a/,https://www.instagram.com/popular/real-estate/
DBWhf0koR7_,soothenests,45100000,45.1M,dream-bedrooms;luxury-bedroom,"Raindrops on My Window, Euphoria in My Soul: Luxury Bedroom Bliss #cozybedroom #cozyap",https://www.instagram.com/reel/DBWhf0koR7_/,https://www.instagram.com/popular/luxury-bedroom/
DH1n7TSuL-3,karissa.brighton,37700000,37.7M,amazon-home-finds,Shop it on my Amazon Kitchen Finds List! #amazon #amazonfinds,https://www.instagram.com/reel/DH1n7TSuL-3/,https://www.instagram.com/popular/amazon-home-finds/
