handle,followers,n,median_views,median_vpf,share_above_topic_median,share_ai_or_3d,share_high_quality,share_shoppable,account_kind,top_topic_groups,earliest_known_post,followers_per_day_since_first_known_post,observed_monetization_types,deep_profiled,score_virality,score_consistency,score_reach,score_growth,score_repeatability,score_ai_suitability,score_monetizability,score_quality,score_originality,score_total,rank,outperformer
myplants.uae,123000.0,2,8278500.0,67.30487804878048,1.0,1.0,1.0,1.0,contractor_trade,ai,2026-05-12,904.4117647058823,3,True,0.935,0.881,0.943,0.562,0.318,0.793,0.981,0.753,0.655,0.7824,1,True
archibible,220000.0,2,7373000.0,33.513636363636365,1.0,1.0,1.0,0.0,ai_creator,ai,2025-05-15,441.7670682730924,4,True,0.889,0.881,0.935,0.337,0.318,0.793,0.981,0.753,0.655,0.75,2,True
design_x_interior,88000.0,2,8895000.0,102.2159090909091,1.0,1.0,1.0,0.5,designer_studio,luxury_room,2026-01-31,371.30801687763716,1,True,0.969,0.881,0.954,0.236,0.318,0.793,0.858,0.753,0.655,0.7456,3,True
elarch.studio,540000.0,3,5500000.0,10.185185185185185,0.6666666666666666,1.0,1.0,0.3333333333333333,designer_studio,luxury_home,2024-09-14,728.744939271255,2,True,0.747,0.644,0.912,0.472,0.718,0.793,0.904,0.753,0.655,0.7414,4,True
georgios_tataridis,321000.0,2,2630500.0,8.194704049844237,1.0,1.0,1.0,1.0,designer_studio,luxury_room;location,2026-01-22,1304.878048780488,2,True,0.701,0.881,0.828,0.708,0.318,0.793,0.939,0.753,0.655,0.7346,5,True
sunt_mrr,2000000.0,9,2900000.0,1.45,0.8888888888888888,1.0,1.0,0.0,ai_creator,location;ai;unusual_home,2024-09-04,2663.115845539281,2,True,0.341,0.755,0.841,0.843,0.989,0.793,0.877,0.753,0.655,0.7256,6,False
aiforarchitects,1000000.0,7,2000000.0,2.0,0.8571428571428571,1.0,1.0,0.14285714285714285,ai_creator,luxury_home;location;hotel_resort,2024-06-10,1194.7431302270013,2,True,0.412,0.747,0.774,0.674,0.969,0.793,0.893,0.753,0.655,0.7151,7,False
soothenests,2000000.0,4,6950000.0,3.4749999999999996,1.0,1.0,0.5,0.5,theme_page,luxury_room;ai,2024-08-29,2642.007926023778,2,True,0.544,0.881,0.927,0.831,0.854,0.793,0.908,0.274,0.19,0.7049,8,False
neuraltransform,83000.0,3,1600000.0,19.27710843373494,0.6666666666666666,1.0,1.0,0.0,ai_creator,pool;garden_outdoor;ai,2026-02-27,395.23809523809524,1,True,0.824,0.644,0.743,0.27,0.718,0.793,0.701,0.753,0.655,0.6994,9,True
stylishnorrastudios,40000.0,2,2227500.0,55.6875,1.0,0.5,1.0,1.0,designer_studio,architecture;style,2026-06-20,412.37113402061857,2,True,0.927,0.881,0.797,0.303,0.318,0.51,0.939,0.753,0.655,0.6937,10,True
watchthebuild,107000.0,4,497000.0,4.668180215129607,0.75,1.0,1.0,1.0,ai_creator,room_generic;style,2026-07-04,1289.1566265060242,0,True,0.609,0.713,0.475,0.697,0.854,0.793,0.701,0.753,0.655,0.6928,11,False
syifa_in_switzerland,3000000.0,3,6600000.0,12.002833333333333,0.6666666666666666,0.0,1.0,0.0,lifestyle_influencer,location,2025-08-20,7481.296758104738,1,True,0.766,0.644,0.923,0.933,0.718,0.238,0.701,0.753,0.655,0.6889,12,True
siriorsinterior,547000.0,2,2104000.0,3.846435100548446,1.0,1.0,1.0,1.0,designer_studio,luxury_room,2025-01-17,887.987012987013,1,True,0.567,0.881,0.793,0.528,0.318,0.793,0.877,0.753,0.655,0.6802,13,False
nostalgicraindrops,713000.0,3,3900000.0,5.46984572230014,1.0,0.6666666666666666,1.0,0.3333333333333333,theme_page,cozy_ambience,2024-05-30,840.8018867924528,1,True,0.648,0.881,0.874,0.506,0.718,0.546,0.854,0.753,0.19,0.6795,14,True
zaxzaaafrica,65000.0,2,650000.0,10.0,1.0,1.0,1.0,1.0,designer_studio,hotel_resort,2026-05-21,511.81102362204723,2,True,0.736,0.881,0.554,0.36,0.318,0.793,0.939,0.753,0.655,0.6793,15,True
siyad_abdali,4000000.0,6,4550000.0,1.1375,0.6666666666666666,1.0,1.0,0.6666666666666666,ai_creator,fantasy_dream;room_generic;cozy_ambience,2024-07-11,4962.779156327543,0,True,0.299,0.644,0.885,0.899,0.956,0.793,0.525,0.753,0.655,0.6776,16,False
diniz_nasaroba,293000.0,2,13100000.0,44.7098976109215,1.0,1.0,1.0,0.5,ai_creator,garden_outdoor,,,0,False,0.904,0.881,0.973,0.0,0.318,0.793,0.452,0.753,0.655,0.6703,17,True
roomify.design,62000.0,7,337000.0,5.435483870967742,0.5714285714285714,1.0,1.0,1.0,ai_creator,luxury_room;interior_generic;room_generic,2026-02-20,285.7142857142857,2,True,0.644,0.577,0.352,0.202,0.969,0.793,0.939,0.753,0.655,0.6597,18,True
urban_lifestyle_lab,250000.0,4,1060000.0,4.24,0.75,1.0,1.0,0.25,ai_creator,future_arch;luxury_home,2025-10-04,702.2471910112359,0,True,0.602,0.713,0.674,0.438,0.854,0.793,0.36,0.753,0.655,0.6513,19,False
montani3d,603000.0,4,684500.0,1.135157545605307,0.75,1.0,0.75,0.25,ai_creator,ai,2026-01-19,2421.6867469879517,3,True,0.295,0.713,0.575,0.809,0.854,0.793,0.962,0.454,0.655,0.6474,20,False
ell.glamhome,1000000.0,2,4750000.0,4.75,1.0,0.0,1.0,1.0,lifestyle_influencer,luxury_room;room_generic,2024-11-15,1472.7540500736377,2,True,0.613,0.881,0.893,0.742,0.318,0.238,0.939,0.753,0.655,0.6435,21,False
recastliving,47000.0,2,904500.0,19.24468085106383,1.0,1.0,1.0,0.5,ai_creator,ai;garden_outdoor,2026-05-12,345.5882352941176,0,True,0.82,0.881,0.636,0.213,0.318,0.793,0.452,0.753,0.655,0.6411,22,True
vrishtidesigns,2000000.0,4,466000.0,0.23299999999999998,0.75,1.0,1.0,1.0,designer_studio,location;luxury_home;luxury_room,2025-06-05,4192.8721174004195,2,True,0.111,0.713,0.456,0.888,0.854,0.793,0.939,0.753,0.655,0.6342,23,False
juliagal_,4000000.0,4,4591500.0,1.147875,0.75,0.0,1.0,0.0,lifestyle_influencer,hotel_resort,2025-01-18,6504.065040650406,2,True,0.303,0.713,0.889,0.921,0.854,0.238,0.877,0.753,0.655,0.6297,24,False
abdullahaslanoglu_,68000.0,2,5193500.0,76.375,0.5,1.0,1.0,0.5,designer_studio,luxury_home;luxury_room,2024-08-12,87.85529715762274,0,True,0.954,0.397,0.9,0.045,0.318,0.793,0.452,0.753,0.655,0.629,25,True
