dimension,value,n,n_adj,median_adj_factor,median_views,share_viral_5x,median_comments_per_view,low_confidence
account_kind_hint,real_estate,5,5,1.8110122230304613,14500.0,0.4,0.0005346219819241,True
account_kind_hint,other,17,15,1.53614214713579,25500.0,0.4666666666666667,0.0011996788789957,False
account_kind_hint,brand_manufacturer,23,23,1.228816792299358,112000.0,0.34782608695652173,0.0003913630229419,False
account_kind_hint,contractor_trade,17,17,1.137975513559486,232000.0,0.5882352941176471,0.00016748917748915,False
account_kind_hint,ai_creator,273,271,1.021415720344619,286000.0,0.4317343173431734,0.00039707207207205,False
account_kind_hint,designer_studio,110,110,0.7993428197856578,120500.0,0.35454545454545455,0.0002358490566037,False
account_kind_hint,theme_page,232,228,0.7030158847456485,177000.0,0.3157894736842105,0.0003662131519274,False
account_kind_hint,media_publication,11,11,0.3731721538218094,119000.0,0.0,0.000521978021978,True
account_kind_hint,lifestyle_influencer,6,6,0.3027251954160076,29300.0,0.3333333333333333,0.0014395393474088,True
brightness,medium,364,359,0.9757162624516352,226000.0,0.3983286908077994,0.00031288598027465,False
brightness,bright,226,224,0.8208654726122263,124000.0,0.33035714285714285,0.00038292270137790004,False
brightness,dark,104,103,0.7336983271495161,149000.0,0.3883495145631068,0.00040585356880055003,False
building_type,unusual_structure,101,98,1.1038434259829344,169500.0,0.3673469387755102,0.0004372027972027,False
building_type,house,117,117,0.9692781269598711,247000.0,0.42735042735042733,0.00034957001668589995,False
building_type,treehouse,11,11,0.9524662860479532,2700000.0,0.6363636363636364,0.00024,True
building_type,none_visible,214,212,0.9275466246977405,193500.0,0.41037735849056606,0.0002337662337662,False
building_type,villa,91,89,0.8486030292435336,133000.0,0.25842696629213485,0.0003408207934336,False
building_type,apartment,41,41,0.7451257997888688,220000.0,0.3902439024390244,0.0002314049586776,False
building_type,cabin_chalet,64,63,0.6958288445741515,129000.0,0.36507936507936506,0.0005815423514538,False
building_type,mansion,37,37,0.6572795308599535,138000.0,0.2972972972972973,0.00044561688311684996,False
building_type,hotel_resort,8,8,0.47364874282247243,42850.0,0.0,0.0007349081364829,True
building_type,penthouse,9,9,0.4556733225798022,42500.0,0.4444444444444444,0.0008035714285714,True
building_type,castle_palace,1,1,0.2452474703064581,216000.0,0.0,0.0009768518518518,True
caption_hook_category,curiosity,68,67,1.502723596268761,526000.0,0.5373134328358209,0.0001830303030303,False
caption_hook_category,choice,26,25,1.3716594972302107,259000.0,0.68,0.00455617876289585,False
caption_hook_category,money,5,5,1.1335172813465382,216000.0,0.4,0.0002314049586776,True
caption_hook_category,none,32,28,1.0568458880055607,386000.0,0.42857142857142855,0.000390909090909,False
caption_hook_category,fantasy,40,40,0.9656670131132554,117500.0,0.4,0.0004580965495133,False
caption_hook_category,aspirational,162,162,0.8962054177567449,246000.0,0.3765432098765432,0.0003289855072463,False
caption_hook_category,question,45,45,0.888157785009908,160000.0,0.4,0.0004306220095693,False
caption_hook_category,promotional,44,44,0.8731766017167539,81150.0,0.2727272727272727,0.0009951643315601,False
caption_hook_category,contrarian,13,13,0.8381167696602771,320000.0,0.38461538461538464,0.0002858895705521,True
caption_hook_category,descriptive,211,209,0.7603123950795019,151000.0,0.3014354066985646,0.0003255813953488,False
caption_hook_category,instructional,20,20,0.723929472745282,113100.0,0.35,0.0002791176470588,False
caption_hook_category,status,6,6,0.7025802807605025,283500.0,0.3333333333333333,0.0001979310344827,True
caption_hook_category,pov,14,14,0.47258737180291865,63700.0,0.2857142857142857,0.0004425531914893,True
caption_hook_category,location,8,8,0.4468834733729561,29650.0,0.25,0.0005329218106995,True
landscape,space_sky,7,7,3.4173931730631817,318000.0,0.7142857142857143,0.0013502109704641,True
landscape,ocean_beach,27,26,1.8070747235991096,226000.0,0.46153846153846156,0.00049517651888335,False
landscape,mountain,34,33,1.718698758525615,910000.0,0.30303030303030304,0.0003,False
landscape,none,339,337,0.9305642650775052,228000.0,0.4124629080118694,0.0002298399275143,False
landscape,city_skyline,49,49,0.7683892575385154,133000.0,0.40816326530612246,0.0003853459972862,False
landscape,jungle_tropical,33,33,0.7291491588835899,189000.0,0.36363636363636365,0.0003387409615008,False
landscape,snow,45,45,0.6958288445741515,102000.0,0.37777777777777777,0.00047746047783185,False
landscape,lake_river,14,13,0.6874288806731726,226000.0,0.15384615384615385,0.00049676437000375,True
landscape,desert,22,22,0.6753704886680518,41700.0,0.36363636363636365,0.00037030224821720003,False
landscape,rain_window,16,16,0.662749405990075,290000.0,0.4375,0.0004651162790697,False
landscape,forest,64,63,0.5810284108714215,135500.0,0.2698412698412698,0.0004198148148148,False
landscape,cliff,37,35,0.4815695897762278,14900.0,0.22857142857142856,0.00056943670382165,False
landscape,underwater,7,7,0.3929240691013241,655000.0,0.0,0.0004738372093023,True
lighting,night_artificial,93,93,1.2706840897562617,313000.0,0.46236559139784944,0.00027525,False
lighting,daylight,144,143,0.8957559960560618,119000.0,0.34965034965034963,0.0003898678414096,False
lighting,blue_hour,101,101,0.888157785009908,241000.0,0.36633663366336633,0.00043221250971245,False
lighting,golden_hour,86,84,0.8219124272560627,72450.0,0.3333333333333333,0.0004981273408239,False
lighting,mixed,188,186,0.7724951456429123,186000.0,0.3602150537634409,0.0002680487804878,False
lighting,overcast_rain,68,65,0.6999632443065317,289000.0,0.4461538461538462,0.0004434573165916,False
lighting,candle_fire,14,14,0.3240861795602561,77000.0,0.21428571428571427,0.00039921092323565003,True
palette_temp,neutral,150,146,0.9978628361713572,318000.0,0.410958904109589,0.00025074513206085,False
palette_temp,cool,165,162,0.9551545271160304,289000.0,0.4074074074074074,0.0005047409188034,False
palette_temp,warm,379,378,0.7475238133025797,122500.0,0.34656084656084657,0.00030177452690040003,False
realism,fantasy_impossible,53,53,2.2749971424869924,320000.0,0.49056603773584906,0.0004372027972027,False
realism,aspirational_realistic,328,328,0.900634962724651,232500.0,0.4054878048780488,0.00020879642386935,False
realism,stylized_dreamy,313,305,0.6994320425391243,138500.0,0.32131147540983607,0.000458631256384,False
room_primary,stairs_hall,16,16,2.235226555525519,303000.0,0.625,0.00030846938775509996,False
room_primary,garden_landscape,43,43,1.6050805152839531,1000000.0,0.5813953488372093,0.0001023842917251,False
room_primary,lobby_common,4,4,1.5991854611130814,109600.0,0.25,0.0005153020066552001,True
room_primary,bathroom,28,28,1.449477921179223,429000.0,0.5,0.0001291255144032,False
room_primary,other,32,32,1.2413812326811442,303000.0,0.5,0.0005294121467165,False
room_primary,pool,24,23,1.1629683960343955,226000.0,0.391304347826087,0.0001939183673469,False
room_primary,terrace_outdoor,26,26,1.060469058455685,404500.0,0.5,0.0003987667009249,False
room_primary,office,5,5,0.8921124954824889,374000.0,0.4,0.0010244676549864499,True
