group,n,share_recent_180d,n_recent,recent_med_adj,recent_ai_share
decor_commerce,48,0.604,29,0.86,0.069
architecture,60,0.567,34,1.526,0.441
garden_outdoor,60,0.45,27,0.841,0.444
cozy_ambience,108,0.444,48,1.105,0.667
unusual_home,284,0.38,108,1.085,0.411
style,336,0.378,127,1.002,0.405
location,384,0.378,145,0.821,0.064
real_estate,12,0.333,4,26.759,0.0
room_generic,192,0.323,62,1.375,0.383
luxury_home,288,0.319,92,1.008,0.178
interior_generic,96,0.302,29,1.813,0.231
hotel_resort,252,0.302,76,0.705,0.107
ai,192,0.271,52,0.724,0.885
fantasy_dream,84,0.25,21,0.798,0.4
luxury_room,276,0.236,65,0.797,0.452
future_arch,119,0.218,26,0.591,0.692
pool,72,0.028,2,1.566,0.5
