subset,cover_hook,n_with,median_adj_with,median_adj_without,share_viral_5x_with,mannwhitney_p,low_confidence
all,bed_focus,269,0.879,0.952,0.39,0.7411,False
all,before_after_split,22,0.529,0.94,0.273,0.0653,False
all,door_or_threshold,242,0.973,0.935,0.413,0.8601,False
all,dramatic_scale,384,0.949,0.932,0.315,0.9109,False
all,empty_room,83,0.759,0.947,0.361,0.6031,False
all,exterior_reveal,644,0.904,0.959,0.325,0.3476,False
all,none,293,1.195,0.908,0.471,0.0572,False
all,person,505,1.041,0.908,0.422,0.0765,False
all,pool,337,0.847,0.947,0.27,0.2283,False
all,text_overlay,986,0.897,0.971,0.395,0.3884,False
all,unusual_architecture,342,0.908,0.942,0.322,0.7311,False
all,view_reveal,383,0.745,0.969,0.337,0.472,False
all,water_feature,167,1.093,0.927,0.317,0.1943,False
ai,bed_focus,108,0.701,0.893,0.389,0.5141,False
ai,before_after_split,16,0.95,0.865,0.312,0.3726,False
ai,door_or_threshold,53,0.888,0.866,0.415,0.795,False
ai,dramatic_scale,169,0.937,0.849,0.349,0.6503,False
ai,empty_room,22,0.716,0.875,0.273,0.5342,False
ai,exterior_reveal,234,0.806,0.876,0.299,0.3769,False
ai,none,74,1.15,0.833,0.473,0.3614,False
ai,person,74,1.633,0.795,0.541,0.0213,False
ai,pool,81,0.733,0.875,0.321,0.4328,False
ai,text_overlay,179,0.743,0.929,0.369,0.1331,False
ai,unusual_architecture,170,0.997,0.821,0.365,0.4445,False
ai,view_reveal,118,0.563,0.901,0.373,0.1166,False
ai,water_feature,69,1.051,0.841,0.333,0.3624,False
