subset,cover_text_cat,n,n_adj,median_views,median_adj_factor,share_beats_expectation_2x,share_viral_5x,median_comments_per_view,low_confidence
all,status,1,1,2200000.0,16.1414126386651,1.0,1.0,0.0005686363636363636,True
all,curiosity,54,54,587500.0,2.014765964557194,0.5185185185185185,0.42592592592592593,0.00034134007585335017,False
all,fantasy,48,47,379000.0,1.53614214713579,0.44680851063829785,0.44680851063829785,0.000388,False
all,pov,44,44,301000.0,1.4711204001376061,0.45454545454545453,0.5,0.0003236846713982856,False
all,no_cover_text,1257,1236,258000.0,0.976721050667972,0.3640776699029126,0.3737864077669903,0.00032182317073170736,False
all,choice,30,30,98500.0,0.9347889182410145,0.43333333333333335,0.4,0.00038135593220338984,False
all,money,72,72,290500.0,0.8895847794380125,0.3333333333333333,0.4861111111111111,0.00044028103044496485,False
all,descriptive,658,654,182000.0,0.8724207835736291,0.2889908256880734,0.38685015290519875,0.00037963787796487414,False
all,contrarian,7,7,374000.0,0.7620935900705118,0.42857142857142855,0.42857142857142855,0.00014130230669677979,True
all,promotional,76,76,114500.0,0.754600695205341,0.3157894736842105,0.3026315789473684,0.00033105335157318744,False
all,aspirational,18,17,400500.0,0.7354542285635159,0.35294117647058826,0.5294117647058824,0.00018961538461538462,False
all,question,28,27,188500.0,0.6503913827579004,0.2962962962962963,0.2222222222222222,0.00030175505050505046,False
all,location,92,91,196000.0,0.612444059174661,0.31868131868131866,0.32967032967032966,0.00043945652173913043,False
all,instructional,22,22,322000.0,0.5781598641138052,0.2727272727272727,0.3181818181818182,0.00037990128529551777,False
ai,contrarian,3,3,1000000.0,2.164537986559132,0.6666666666666666,0.6666666666666666,7e-05,True
ai,choice,11,11,57400.0,2.1218152881536003,0.5454545454545454,0.5454545454545454,0.0018867924528301887,True
ai,curiosity,9,9,59300.0,2.021264475089679,0.5555555555555556,0.3333333333333333,0.0003261998861850589,True
ai,instructional,4,4,63400.0,1.2928244547158825,0.5,0.25,6.110578540195089e-05,True
ai,question,6,6,24600.0,1.0802998336757323,0.3333333333333333,0.3333333333333333,0.00049875,True
ai,promotional,24,24,243000.0,1.0098097954724703,0.375,0.3333333333333333,0.00030655231681223473,False
ai,pov,3,3,323000.0,0.9975837328802891,0.0,0.6666666666666666,0.00016424116424116424,True
ai,fantasy,6,6,106700.0,0.9570232366149076,0.3333333333333333,0.16666666666666666,0.0015164609053497943,True
ai,no_cover_text,433,425,256500.0,0.9022590947234235,0.33647058823529413,0.3764705882352941,0.000331353919239905,False
ai,descriptive,186,186,116500.0,0.7660328306552052,0.26881720430107525,0.3655913978494624,0.00041431480284421466,False
ai,money,4,4,113950.0,0.3504603964431302,0.25,0.5,0.0008035714285714286,True
ai,aspirational,2,2,24750.0,0.26071162425594213,0.0,0.0,0.0004429899762595621,True
ai,location,3,3,53200.0,0.17935576271364387,0.3333333333333333,0.6666666666666666,0.00045968686672403743,True
