subset,cover_words,n,n_adj,median_views,median_adj_factor,share_beats_expectation_2x,share_viral_5x,median_comments_per_view,low_confidence
all,13+,84,84,285000.0,1.2288426077673278,0.44047619047619047,0.44047619047619047,0.0005690909090909091,False
all,8-12,205,205,342000.0,1.1767850884281064,0.4146341463414634,0.48292682926829267,0.0003383458646616541,False
all,0 (none),1257,1236,258000.0,0.976721050667972,0.3640776699029126,0.3737864077669903,0.00032182317073170736,False
all,1-3,415,413,194500.0,0.8486030292435336,0.29782082324455206,0.36561743341404357,0.00035107731305449936,False
all,4-7,446,440,164500.0,0.8327903207816093,0.28863636363636364,0.35909090909090907,0.00039313144612683785,False
ai,8-12,27,27,77200.0,1.1201484584532064,0.3333333333333333,0.4444444444444444,0.0005533333333333333,False
ai,0 (none),433,425,256500.0,0.9022590947234235,0.33647058823529413,0.3764705882352941,0.000331353919239905,False
ai,13+,17,17,101000.0,0.8921124954824889,0.35294117647058826,0.4117647058823529,0.0010552486187845303,False
ai,4-7,76,76,59400.0,0.7818560016875161,0.25,0.3684210526315789,0.0004807692307692308,False
ai,1-3,141,141,147000.0,0.7446265323761561,0.3262411347517731,0.3546099290780142,0.0003555398110661269,False
