hook,channel,n,median_ch_index
choice,Aura Frame,2,5.007692307692308
choice,BuildFlow,2,1.1451612903225807
choice,Isla | Interior Designer,2,2.1336898395721926
choice,UnrealLife,86,0.8888888888888888
cozy_ambience,Aura Frame,2,0.6384615384615385
cozy_ambience,BuildFlow,3,141.93548387096774
cozy_ambience,Buildenza,4,0.3206081081081081
cozy_ambience,Calm Creations,2,1.918324607329843
cozy_ambience,Dreamy Interior,2,5.1387808041504535
cozy_ambience,Home Graphix,1,0.4833024118738404
cozy_ambience,Kou Yang,6,0.0253125
cozy_ambience,UnrealLife,41,0.5252525252525253
curiosity,Aura Frame,5,0.2461538461538461
curiosity,BuildFlow,10,1.274193548387097
curiosity,Buildenza,12,0.6013513513513513
curiosity,Calm Creations,38,1.300523560209424
curiosity,Deck Haven,7,0.8405797101449275
curiosity,Dreamy Interior,15,1.0765239948119325
curiosity,Home Graphix,8,1.5769944341372912
curiosity,Isla | Interior Designer,10,1.7660427807486632
curiosity,Kou Yang,22,0.06218750000000001
curiosity,Simple Vision,34,0.47676419965576594
curiosity,UnrealLife,2,1.5050505050505052
curiosity,Vinarch Group Official,1,0.3461904761904762
descriptive,Aura Frame,10,0.7923076923076924
descriptive,BuildFlow,24,0.6129032258064515
descriptive,Buildenza,2,66.625
descriptive,Deck Haven,25,1.0434782608695652
descriptive,Dreamy Interior,13,0.7003891050583657
descriptive,Home Graphix,15,0.7727272727272727
descriptive,Isla | Interior Designer,46,0.5280748663101604
descriptive,Kou Yang,23,0.023125
descriptive,Simple Vision,25,1.910499139414802
descriptive,UnrealLife,1,0.9696969696969696
descriptive,Vinarch Group Official,14,1.5952380952380953
fantasy_ai,Aura Frame,2,0.7461538461538461
fantasy_ai,BuildFlow,3,1.1290322580645162
fantasy_ai,Calm Creations,1,0.3664921465968586
fantasy_ai,Deck Haven,2,0.782608695652174
fantasy_ai,Dreamy Interior,3,1.2217898832684826
fantasy_ai,Home Graphix,1,0.8441558441558441
fantasy_ai,Isla | Interior Designer,8,2.56951871657754
fantasy_ai,Kou Yang,7,2.43125
fantasy_ai,Simple Vision,1,4.475043029259897
fantasy_ai,UnrealLife,82,0.7878787878787878
instructional,Deck Haven,10,0.9130434782608696
instructional,Dreamy Interior,24,1.0155642023346303
instructional,Home Graphix,11,1.1131725417439704
instructional,Isla | Interior Designer,11,0.4866310160427807
instructional,Kou Yang,2,0.0115625
instructional,Simple Vision,28,0.1204819277108433
instructional,Vinarch Group Official,2,18.127619047619046
location,Buildenza,1,6.04054054054054
location,Home Graphix,1,154.9165120593692
location,Isla | Interior Designer,2,0.5855614973262032
location,Kou Yang,2,1.996875
money_status,Aura Frame,7,11.261538461538462
money_status,BuildFlow,4,1.6129032258064515
money_status,Buildenza,3,0.0182432432432432
money_status,Calm Creations,4,0.6722513089005235
money_status,Deck Haven,1,0.8115942028985508
money_status,Dreamy Interior,5,0.9156939040207522
money_status,Home Graphix,1,15.769944341372913
money_status,Isla | Interior Designer,1,4.545454545454546
money_status,Kou Yang,8,0.013125000000000001
question,Aura Frame,3,1.0307692307692309
question,Buildenza,2,3.7212837837837833
question,Deck Haven,12,0.8260869565217391
question,Dreamy Interior,2,9.708171206225682
question,Home Graphix,1,2.226345083487941
question,Isla | Interior Designer,2,2.1336898395721926
question,Simple Vision,6,0.040791738382099804
question,UnrealLife,5,2.242424242424242
question,Vinarch Group Official,1,36.19047619047619
transformation,Aura Frame,12,7.230769230769231
transformation,BuildFlow,15,1.3225806451612905
transformation,Buildenza,34,0.625
transformation,Calm Creations,47,1.1706806282722513
transformation,Deck Haven,5,1.9130434782608696
transformation,Dreamy Interior,42,1.0350194552529182
transformation,Home Graphix,22,0.8831168831168832
transformation,Isla | Interior Designer,19,1.1336898395721926
transformation,Kou Yang,55,2.34375
transformation,Simple Vision,17,0.9879518072289156
