handle,account_type,content_mode,affiliate_any,affiliate_amazon,amazon_storefront,affiliate_ltk,affiliate_shopmy,own_shop,services_b2b,digital_or_course,newsletter,membership,app_saas,real_estate_or_booking,sponsored_seen,deals_seen,brand_contact,comment_kw_dm_funnel,any_revenue_path,nothing_observed,followers,n_reels_sample,median_views,median_adj_factor,mode_group
abdullahaslanoglu_,designer_studio,3d_render,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,68000.0,2,5193500.0,15.805016155589373,3d/mixed/unknown
abeastinside,other,real,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,182000.0,3,1200000.0,2.617218573449976,real
ai.design.ideas,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,136000.0,3,343000.0,4.9359280832995305,AI
ai.perfect.world,ai_creator,AI,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,14000.0,3,3447.0,0.1189362083763797,AI
aiforarchitects,designer_studio,AI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,1000000.0,7,2000000.0,1.3395491968568207,AI
archibible,ai_creator,AI,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,220000.0,2,7373000.0,9.720254027881154,AI
architectcha,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,148000.0,4,542000.0,1.0658375619540954,AI
arteo_luxury,designer_studio,unknown,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,871000.0,5,798000.0,0.5092609915461624,3d/mixed/unknown
beautifuldestinations,media_publication,real,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,24000000.0,3,2300000.0,1.053382553993193,real
beautifulhotels,media_publication,real,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,6000000.0,5,551000.0,0.5674497167831736,real
cabinstillwoods,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,18000.0,4,224650.0,1.0887663006872226,AI
calm_neststudio,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,156000.0,3,172000.0,0.3127872840567325,AI
cozyzen.ai,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,498000.0,3,27000.0,0.118818443906777,AI
deirdres_design,theme_page,AI,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,1000000.0,4,26650.0,0.0827235795223054,AI
design_x_interior,designer_studio,AI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,88000.0,2,8895000.0,19.156485741537036,AI
digitaldesign.lab,ai_creator,AI,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,164000.0,4,81150.0,0.9983448375043652,AI
divaa.finds,lifestyle_influencer,real,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,764000.0,5,1500000.0,1.103181342845274,real
drcozyvibes,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,584000.0,3,421000.0,2.0055588481116127,AI
