group,n_accounts,affiliate_any,affiliate_amazon,amazon_storefront,affiliate_ltk,affiliate_shopmy,own_shop,services_b2b,digital_or_course,newsletter,membership,app_saas,real_estate_or_booking,sponsored_seen,deals_seen,brand_contact,comment_kw_dm_funnel,any_revenue_path,nothing_observed
all,72,13,7,5,2,0,6,30,6,8,3,2,4,8,20,38,6,45,24
mode_group=3d/mixed/unknown,19,2,0,0,0,0,0,9,0,0,0,1,0,1,3,6,2,11,8
mode_group=AI,37,6,4,1,0,0,4,11,4,2,2,1,0,3,4,17,3,19,15
mode_group=real,16,5,3,4,2,0,2,10,2,6,1,0,4,4,13,15,1,15,1
account_type=ai_creator,16,5,3,0,0,0,2,2,2,1,1,0,0,2,3,7,1,8,7
account_type=architect,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0
account_type=brand_manufacturer,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0
account_type=contractor_trade,2,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,2,0
account_type=designer_studio,14,0,0,0,0,0,1,12,0,0,0,0,0,0,1,7,0,12,2
account_type=education_course,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0
account_type=lifestyle_influencer,8,6,3,2,2,0,1,2,0,2,0,0,0,3,7,7,1,7,1
account_type=media_publication,6,0,0,0,0,0,0,3,2,3,1,0,2,3,4,5,0,5,1
account_type=other,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,2
account_type=real_estate,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
account_type=theme_page,17,2,1,2,0,0,0,3,0,1,1,0,1,0,3,4,1,4,11
