_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
hotel_resort,214,157500.0,1578688.5887850467,4050000.0000000084,1.2489179683539862,214,0.29906542056074764,1.110657865460209,1.0535473875796582,0.05243850910364918,214,0.3644859813084112,0.3411214953271028,0.031549586776859505,0.0003624742365689172,0.012043907369316993,False
mansion,127,269000.0,1794126.874015748,5200000.000000006,1.2,127,0.25984251968503935,1.0,0.9911158840089792,-0.02186132917751372,127,0.33070866141732286,0.3228346456692913,0.053457589285714285,0.0004868421052631579,0.00944334358107616,False
none_visible,891,252000.0,2054818.9472502805,3600000.0,3.188770053475936,884,0.4230769230769231,0.9434759640781828,0.9745279409732801,-0.019164575781869735,884,0.332579185520362,0.30976430976430974,0.023913669064748202,0.0002770950139470014,0.009008731626322711,False
house,348,236500.0,2049979.6609195403,3730000.000000001,2.8685991561181434,348,0.41379310344827586,1.038489627335023,0.952870022551146,0.043450739812747705,348,0.367816091954023,0.34195402298850575,0.029658536585365852,0.0003606455887921242,0.00906344410876133,False
treehouse,26,2000000.0,5464703.846153846,5900000.0,9.444444444444445,26,0.5769230769230769,1.2107432224060108,0.9080427457712243,0.06738993151065586,26,0.38461538461538464,0.46153846153846156,0.028622912087912088,0.0002548148148148148,0.00873460640115857,False
villa,241,152000.0,1324065.3900414938,2700000.0,1.45,241,0.3029045643153527,1.0,0.9050957568926591,-0.029464242919586728,241,0.3153526970954357,0.3278008298755187,0.03142025611175786,0.00039414414414414413,0.010985407443843253,False
cabin_chalet,140,268500.0,1382731.6642857143,2560000.000000005,2.198003992015968,138,0.34782608695652173,0.9234538327526132,0.8706954838396663,-0.03091382725935858,138,0.3115942028985507,0.29285714285714287,0.05382948679979692,0.0003913630229419703,0.008112911687802048,False
apartment,144,294000.0,4918579.402777778,4670000.000000019,2.86425902864259,143,0.4405594405594406,1.0508856682769725,0.8352852725154996,0.04509284601876108,143,0.38461538461538464,0.375,0.030857142857142857,0.0002335806718732241,0.006681653553141002,False
unusual_structure,193,167000.0,1747124.792746114,4580000.000000001,2.00531914893617,193,0.35233160621761656,0.9754385964912281,0.8091139221975077,-0.0060018910404933765,193,0.37823834196891193,0.3316062176165803,0.03682855589217743,0.0004384081618864227,0.011111702735447392,False
penthouse,39,266000.0,6153619.435897436,6360000.000000023,2.7027027027027026,39,0.41025641025641024,1.1770114942528735,0.5738890377114398,0.022151326655303356,39,0.358974358974359,0.41025641025641024,0.05207680995475113,0.0004173111995890059,0.007219927640636507,False
castle_palace,11,34300.0,146243.9090909091,216000.0,0.25157232704402516,11,0.18181818181818182,0.5254992098836374,0.24524747030645813,-0.5230314474128057,11,0.2727272727272727,0.09090909090909091,0.05160634909786768,0.0006009389671361502,0.01307316274811405,True
