_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
water_feature,168,264500.0,1535487.136904762,4050000.0000000056,1.8333333333333333,167,0.31736526946107785,1.0874036261593945,1.0932155332922715,0.07043161222793987,167,0.39520958083832336,0.35714285714285715,0.04153846153846154,0.0003711355984083257,0.008462938515626149,False
person,507,328000.0,3106617.343195266,5400000.0,3.1735537190082646,505,0.42178217821782177,1.1134020618556701,1.0410504297780465,0.058777893314202585,505,0.3702970297029703,0.3510848126232742,0.027801980198019802,0.0003525925925925926,0.010950709266285961,False
door_or_threshold,242,174000.0,1576822.429752066,3590000.0000000005,2.8547197640117994,242,0.4132231404958678,0.9633738713838216,0.9725960306513434,0.004148198026873067,242,0.371900826446281,0.3181818181818182,0.03567119155354449,0.000368510152284264,0.00895573619584042,False
dramatic_scale,384,217000.0,2412117.0729166665,4769999.999999999,1.6511728862160977,384,0.3151041666666667,1.121940629723732,0.9487611815153857,-0.0016541513227256173,384,0.3515625,0.359375,0.041031496062992126,0.0004159107917976351,0.00879073756432247,False
unusual_architecture,342,234500.0,2937076.081871345,4690000.000000004,1.5135714285714286,342,0.3216374269005848,1.0168413696715584,0.9083536100770548,-0.017549003859768347,342,0.3508771929824561,0.347953216374269,0.03532061743506052,0.00037442922374429226,0.010736971739694063,False
exterior_reveal,646,194500.0,1554054.939628483,3000000.0,1.5490384615384616,644,0.3245341614906832,0.9639465617177356,0.9042454213181798,-0.025717950545578065,644,0.34316770186335405,0.32507739938080493,0.03761606246514222,0.0004473421354764638,0.011231789661970857,False
text_overlay,989,199000.0,1530369.540950455,3000000.0,2.4,986,0.3945233265720081,0.9548022598870056,0.8970917545353125,-0.017593084559031878,986,0.3204868154158215,0.3083923154701719,0.029676178660049627,0.00038848920863309355,0.011950021829883885,False
bed_focus,273,188000.0,3573787.435897436,4580000.000000001,2.12,269,0.3903345724907063,1.0672358591248665,0.8787790352301378,0.019082527856959793,269,0.34944237918215615,0.3443223443223443,0.032495327102803735,0.00024409899931250478,0.006605614772556673,False
pool,337,185000.0,1269382.362017804,3000000.0,1.2594458438287153,337,0.27002967359050445,0.9814585908529048,0.8465711416014607,-0.04281523520080019,337,0.31750741839762614,0.3264094955489614,0.034021881254667666,0.0003896509841746151,0.01071215480233868,False
empty_room,84,139500.0,2584321.0714285714,2140000.0000000005,2.0953488372093023,83,0.3614457831325301,0.8210790458817121,0.7585812558223665,-0.01664879050449951,83,0.2891566265060241,0.30952380952380953,0.024271851851851853,0.00038321167883211677,0.012440720596804766,False
view_reveal,386,235500.0,3568143.9715025905,4450000.0,1.5555555555555556,383,0.3368146214099217,1.033753429979845,0.745357049472444,-0.0016247683303292327,383,0.3342036553524804,0.3290155440414508,0.046359413515201855,0.00037068965517241377,0.0071896933761077045,False
before_after_split,22,47300.0,1124587.1363636365,1174600.0000000005,1.2844112769485903,22,0.2727272727272727,0.35704958341307735,0.5288459480138954,-0.29914364384467745,22,0.18181818181818182,0.13636363636363635,0.010574018126888218,0.002436197416324391,0.24101659018708083,False
