_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
magenta,2,14512700.0,14512700.0,26102540.0,91.26474877323933,2,0.5,8.807462442466298,17.831208384907097,0.14751404012845215,2,0.5,0.5,0.05136835745316318,0.0005443294868313875,0.009585929609368535,True
sage green,3,124000.0,1797566.6666666667,4184800.0,70.17364657814096,3,1.0,1.6435406698564594,6.3119412786867155,0.73514091331079,3,0.6666666666666666,0.3333333333333333,0.045,0.008225806451612904,0.1827956989247312,True
charcoal,2,1800000.0,1800000.0,2120000.0,11.49266247379455,2,1.0,14.076316801230297,5.406333382855114,0.7016895077878387,2,1.0,1.0,0.038539220779220784,0.00036818181818181817,0.009691723300882957,True
pale blue,1,997000.0,997000.0,997000.0,10.385416666666666,1,1.0,7.144392690791831,4.379119712031844,0.6413868176662547,1,1.0,1.0,,0.00012236710130391173,,True
copper,2,2292800.0,2292800.0,4058560.0,150.08045112781954,2,0.5,1.8695934959349594,3.30903853393115,-0.057813738176054286,2,0.5,0.5,0.0317256240913811,0.009257320872274143,0.22693139435881832,True
dark grey,1,931000.0,931000.0,931000.0,1.8399209486166008,1,0.0,3.5198487712665405,3.2051212006325884,0.5058444568722161,1,1.0,1.0,0.05457142857142857,0.0008421052631578948,0.015431248277762469,True
bronze,2,440214.0,440214.0,784842.8,7.145065343258892,2,0.5,0.7527288532378559,2.7735689008943334,0.02736665417641654,2,0.5,0.5,0.02707753220126969,0.0032445464982778414,0.2925163026601801,True
plum,1,198000.0,198000.0,198000.0,6.827586206896552,1,1.0,1.1891891891891893,2.598829176057347,0.4147777337781022,1,1.0,0.0,0.08403535353535353,0.0013131313131313131,0.01562593905883767,True
silver,15,679000.0,1176480.4666666666,2880000.0,4.535637149028077,15,0.4666666666666667,2.843601895734597,1.954671430601497,0.3063418547981372,15,0.4666666666666667,0.4666666666666667,0.03668571428571429,0.0005119047619047619,0.012550721902425215,False
cyan,2,650000.0,650000.0,1090000.0,4.924242424242425,2,0.5,1.002313030069391,1.6474572782212948,-0.0565085723094845,2,0.5,0.5,0.092385,0.00033,0.003429640407399709,True
brick red,1,2100000.0,2100000.0,2100000.0,0.525,1,0.0,6.354009077155824,1.5048738579555916,0.17750009787685928,1,0.0,1.0,0.016495714285714287,6.142857142857143e-05,0.0037239109725469817,True
olive green,3,481000.0,643000.0,881800.0,9.442307692307692,3,0.6666666666666666,1.4864433811802233,1.5019884637126313,0.07656456690684832,3,0.3333333333333333,0.3333333333333333,0.05937006237006237,0.00022532188841201716,0.0032285837279380112,True
yellow-green,1,1988.0,1988.0,1988.0,0.994,1,0.0,1.027390180878553,1.3285484724222187,0.12337740437780433,1,0.0,0.0,0.018611670020120725,,,True
olive,2,186550.0,186550.0,327710.0,8.80853888553169,2,0.5,1.0712569912519718,1.2002139864694539,0.06993390409612223,2,0.0,0.5,0.014090227204538636,0.0008183318331833184,0.05785030293871159,True
warm yellow,1,409000.0,409000.0,409000.0,8.702127659574469,1,1.0,1.155367231638418,1.1628521355421493,0.06552449477940744,1,0.0,0.0,0.007112469437652812,,,True
mustard,2,166600.0,166600.0,270920.0,10.743233082706768,2,0.5,1.2479009120069673,1.1232568061347616,0.013545384442055941,2,0.0,0.0,0.049828757185110775,0.0003333333333333333,0.0036371652154744845,True
orange,305,261000.0,2072439.1475409835,3900000.0,2.240091715976331,304,0.40131578947368424,1.0,1.0971040475094447,0.03857811149427883,304,0.3651315789473684,0.3475409836065574,0.04365625,0.00036997176280758367,0.009080590238365494,False
yellow,102,210000.0,2527446.7843137253,6020000.000000005,2.054502814258912,102,0.3431372549019608,0.9095605406552969,1.0583427389906528,0.004056269471304463,102,0.3627450980392157,0.35294117647058826,0.032697344827586204,0.00032167832167832167,0.008999678492956725,False
dark green,6,72400.0,594719.1666666666,1700000.0,1.7026384992987378,6,0.3333333333333333,0.7410792860107929,1.0396015011585846,-0.2882486229495283,6,0.3333333333333333,0.16666666666666666,0.039797763975155276,0.0005260869565217391,0.01241770488899386,True
navy,23,183000.0,429625.3043478261,1080000.0,2.4266666666666667,23,0.391304347826087,0.9481865284974094,0.9998233417935454,-0.10160088611006232,23,0.34782608695652173,0.21739130434782608,0.025021857923497266,0.0003525179856115108,0.00799804129600914,False
grey,1182,258500.0,2412518.9204737735,4600000.0,2.523605150214592,1175,0.39574468085106385,1.0337830199344311,0.995246512999536,0.02483830214766377,1175,0.3608510638297872,0.3409475465313029,0.030488825247079965,0.0003255813953488372,0.008592752108602253,False
blue,862,214500.0,1932669.1252900232,4100000.0,2.001953125,860,0.3674418604651163,1.0094980770166981,0.9912682343526822,0.029685877468666893,860,0.35348837209302325,0.3352668213457077,0.03685624242424242,0.0004084615384615385,0.01026881294108318,False
brown,1103,226000.0,2145894.5648232093,3700000.0,2.8333333333333335,1097,0.4038286235186873,1.00132802124834,0.9757162624516352,0.028014141569625943,1097,0.3536918869644485,0.3354487760652765,0.029175824175824174,0.0003243243243243243,0.009302325581395349,False
gold,332,247000.0,1338005.0572289156,2700000.0,2.5484901277584204,332,0.40963855421686746,0.9245953269217165,0.9354421188451973,-0.04631544819603759,332,0.3493975903614458,0.3072289156626506,0.02874818181818182,0.0003309090909090909,0.00913161799369411,False
white,1649,219000.0,2098102.0739842327,3400000.0,2.238175723862502,1642,0.3696711327649208,0.9851851851851852,0.9290333037866854,-0.008816908337643632,1642,0.34226552984165654,0.3226197695573075,0.028389830508474576,0.00036533333333333334,0.010466526404399983,False
beige,1099,233000.0,1833214.3448589628,3300000.0,2.7559055118110236,1097,0.4001823154056518,1.0,0.9279800275195919,0.01351124911193256,1097,0.3473108477666363,0.33121019108280253,0.026354754440961338,0.00028645833333333333,0.009271373031457253,False
pink,194,307500.0,3793900.097938144,5650000.000000008,2.869198312236287,191,0.36649214659685864,1.0038069242924867,0.9147802345591037,-0.015841611444771527,191,0.3612565445026178,0.34536082474226804,0.039478896583040074,0.0003153333333333333,0.007314303409731367,False
green,967,239000.0,2207690.9131334024,3800000.0,1.8648018648018647,961,0.34755463059313213,0.9635036496350365,0.8745654678956669,-0.034393540120717325,961,0.3215400624349636,0.31023784901758017,0.03415525114155251,0.00035210526315789474,0.008866280554086056,False
