_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
space_sky,12,344000.0,5936758.333333333,5450000.0,9.076923076923077,12,0.6666666666666666,1.1724975246357678,2.637845133829239,0.2801172552846644,12,0.5,0.3333333333333333,0.05064753153153153,0.000451230694980695,0.006313131313131313,True
mountain,109,436000.0,3333557.990825688,4660000.000000004,2.00390625,109,0.3669724770642202,1.1601915912719531,1.1668272387748029,0.15871462784971163,109,0.3853211009174312,0.4036697247706422,0.0470844512195122,0.00030766666666666665,0.0067830614535814085,False
jungle_tropical,92,227000.0,2456990.434782609,3710000.000000005,3.169771133482026,92,0.391304347826087,1.0510971305815557,1.1439602898056296,0.04950898841998535,92,0.3695652173913043,0.3695652173913043,0.03466071428571429,0.0003374233128834356,0.008702762689095263,False
rain_window,25,442000.0,4215596.0,6180000.0,13.060739436619718,24,0.5833333333333334,0.44613050075872535,1.0801671716842698,-0.0003884148498597047,24,0.2916666666666667,0.24,0.08203174603174603,0.0003094700460829493,0.003022714460853201,False
lake_river,60,179000.0,1908532.7166666666,5400000.0,1.8115384615384615,59,0.3389830508474576,1.0590396451419366,1.0161614179364837,0.024422235354133896,59,0.3898305084745763,0.3,0.04306806644880174,0.00047365798978702203,0.008655045489231678,False
city_skyline,177,281000.0,4901295.97740113,5080000.000000001,2.7285443338074917,176,0.4034090909090909,1.1079136690647482,0.9788344061536316,0.05112318699260572,176,0.3977272727272727,0.3672316384180791,0.049209994934143866,0.0003842788380592063,0.007357335457804795,False
none,1403,226000.0,1757392.0427655026,3400000.0,2.71,1399,0.4024303073624017,0.9760765550239234,0.9656044399698464,-0.0006132290323537748,1399,0.3488205861329521,0.32145402708481824,0.025104511849449167,0.00030229629195712023,0.010066189993964074,False
cliff,46,46950.0,1033038.5434782609,3800000.0,1.3935714285714287,46,0.30434782608695654,1.1778960711643762,0.8942614898129067,0.029853697675676635,46,0.34782608695652173,0.34782608695652173,0.03866666666666667,0.0004977272727272727,0.010964912280701754,False
forest,172,300500.0,1447508.6279069767,3080000.000000001,1.8251928288513655,170,0.29411764705882354,0.9823055906998919,0.840015136440786,-0.07524923569179369,170,0.3235294117647059,0.3372093023255814,0.04351613579779173,0.00037037037037037035,0.008799013180107194,False
ocean_beach,165,153000.0,2422960.9212121214,3119999.999999999,1.2037815126050422,164,0.3048780487804878,0.8485675306957708,0.7919828912945621,-0.04718350334657615,164,0.29878048780487804,0.296969696969697,0.03423690205011389,0.00044202898550724636,0.013059021505559865,False
snow,65,147000.0,1809340.076923077,4240000.000000001,1.7047619047619047,65,0.35384615384615387,0.8192371475953566,0.6571255367253567,-0.12552638666285604,65,0.26153846153846155,0.2923076923076923,0.048232864202836276,0.0004521276595744681,0.00919869174161897,False
desert,34,38150.0,339142.29411764705,925599.9999999998,0.5973255813953489,34,0.29411764705882354,0.7628719886632026,0.5145752840510519,-0.21227422777448765,34,0.17647058823529413,0.23529411764705882,0.03424942034967014,0.0005042735042735043,0.00980392156862745,False
underwater,14,551000.0,903774.7857142857,2280000.0000000005,0.16101080556317665,14,0.07142857142857142,0.7645278771726782,0.38595490765685253,-0.20309417919834566,14,0.21428571428571427,0.2857142857142857,0.03658139534883721,0.00042286901787430325,0.011787819253438114,True
