_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
de,8,990000.0,3101125.0,8619999.999999998,14.016522988505749,8,0.75,3.7559808612440193,3.471783246278942,0.4250205127594398,8,0.5,0.75,0.021602702702702703,0.0001351462201189176,0.0071280499297140445,True
ru,18,416500.0,14612542.444444444,33990000.00000006,30.42161856253537,18,0.6666666666666666,0.8485423494911162,3.0874808804144784,0.3423871795446918,18,0.5555555555555556,0.3888888888888889,0.016634813197857937,0.00018166666666666667,0.012249082667817828,False
ar,20,153000.0,513514.65,1580000.0000000012,6.507333333333333,20,0.55,1.4970441305648214,2.076925985448547,0.14572442432643462,20,0.5,0.4,0.019356465136804942,0.00030226700251889167,0.012257405515832482,False
hi,8,261500.0,974987.5,2510000.0,29.793548387096777,8,0.625,0.5573009798078029,1.796794929560711,0.1540709684586239,8,0.5,0.375,0.020865618661257607,0.0009611451942740287,0.017526068522974676,True
tr,10,409000.0,1319790.0,3079999.999999998,2.9917135709818634,10,0.4,0.8054055501460564,1.2316205321457143,0.07581636730705363,10,0.4,0.3,0.013373918918918919,0.0003590909090909091,0.022537314966313143,True
other,68,145500.0,998024.6029411765,1460000.000000001,2.2865588235294116,68,0.35294117647058826,0.9624953857511998,1.1654035582652433,0.0292213846008335,68,0.38235294117647056,0.35294117647058826,0.01995761670480549,0.0002810213940648723,0.01979306559895536,False
en,2163,225000.0,1989580.9773462783,3900000.0,2.2554347826086953,2154,0.3755803156917363,0.99867197875166,0.9284973038540012,-0.0055525415349186825,2154,0.34215413184772514,0.32547387887193713,0.032547169811320754,0.0003508327741743085,0.009010592940969628,False
es,31,190000.0,1198088.4516129033,1700000.0,1.8363636363636364,31,0.45161290322580644,0.7673179396092362,0.8749845971691478,-0.05063458211306201,31,0.3225806451612903,0.3548387096774194,0.02363027084214981,0.00037400505127812645,0.012397642917272519,False
pt,22,368000.0,1153494.3636363635,1264600.0000000007,1.493806827929319,22,0.18181818181818182,1.0491071428571428,0.8609687654752199,-0.1856988478316694,22,0.18181818181818182,0.22727272727272727,0.024910131235670804,0.0004065040650406504,0.017543859649122806,False
fr,13,487000.0,2616307.6923076925,1080000.0,6.216867469879518,13,0.6923076923076923,0.8237885462555066,0.8423081291473861,0.03922320555394054,13,0.3076923076923077,0.23076923076923078,0.026137254901960786,0.00023446319018404909,0.010273972602739725,True
id,11,23500.0,562521.4545454546,952000.0,1.119047619047619,11,0.2727272727272727,0.3885291396854764,0.5918490831896858,-0.25464476266461905,11,0.2727272727272727,0.18181818181818182,0.013142857142857144,0.0006382978723404255,0.057971014492753624,True
