_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
France,3,828000.0,947000.0,1365600.0,1.5,3,0.0,3.066666666666667,2.010316390300569,0.24023610251368435,3,0.6666666666666666,0.6666666666666666,0.049792,0.0004226666666666667,0.008488646101113967,True
India,48,293500.0,1048249.9375,2870000.0000000037,5.687147887323944,48,0.5208333333333334,1.1198441259768743,1.9481198116385046,0.17447003694512944,48,0.5,0.375,0.01985655105973025,0.00020920502092050208,0.0088379705400982,False
Switzerland,17,1200000.0,8405933.764705881,23640000.000000015,1.85,16,0.1875,1.6359918200408998,1.83744055827394,0.01738751088523012,16,0.375,0.4117647058823529,0.051587090617544684,0.00032814814814814816,0.005862613357718616,False
Mexico/Tulum,15,1000000.0,1708460.0,3600000.0,9.218181818181819,15,0.6666666666666666,1.0,1.2426210901672763,0.08129027506678899,15,0.4,0.3333333333333333,0.020215744036583858,0.000369,0.020436161145542486,False
Tokyo/Japan,15,276000.0,585940.0,1739999.9999999998,4.681159420289855,15,0.4666666666666667,1.0984661058881742,1.194604317952119,0.027385591490943845,15,0.4,0.3333333333333333,0.035702702702702704,0.0003352898550724638,0.009201416415622853,False
Bali/Indonesia,54,176000.0,1636484.9814814816,1940000.0000000005,2.166933066933067,54,0.37037037037037035,1.0404743047305418,1.1058792095293424,0.022909614404818555,54,0.35185185185185186,0.37037037037037035,0.028637512005679207,0.0004152243023666549,0.016651798988997917,False
Dubai/UAE,99,373000.0,2257836.0505050505,4820000.0,3.706422018348624,97,0.4329896907216495,1.2255772646536411,1.0996869148519424,0.10246628616162619,97,0.3917525773195876,0.40404040404040403,0.03354635761589404,0.0003418140028288543,0.008397425891655102,False
Lake Como/Italy,52,497500.0,3318086.653846154,11929999.999999993,1.1,51,0.27450980392156865,1.0420576989920056,1.0732877301781534,0.014729629611407917,51,0.39215686274509803,0.3269230769230769,0.05322261214891601,0.00034190249266862166,0.006774730049792608,False
Thailand/SE Asia,8,163500.0,252982.625,594100.0,3.34025,8,0.375,0.9958561398899446,1.025150472891153,-0.05383409048454746,8,0.375,0.375,0.019175953079178885,0.000187683284457478,0.007787635087179948,True
Other,332,120500.0,1236729.123493976,2590000.0000000033,2.1937842778793417,331,0.3716012084592145,0.8887000452185303,1.0098929090313504,0.025001482503701506,331,0.36555891238670696,0.2891566265060241,0.02507569597069597,0.0004,0.013518564777770487,False
Los Angeles/California,59,96100.0,439812.23728813557,870400.0000000005,0.803763440860215,57,0.21052631578947367,0.8330206378986866,0.9806720129026242,-0.012158675907011588,57,0.2982456140350877,0.288135593220339,0.040852803738317754,0.0006290983606557377,0.01717068170169144,False
Miami/Florida,33,203000.0,871377.1818181818,2780000.0000000005,1.3349248927038626,32,0.1875,1.0565240359218173,0.9558598230421691,-0.0074164559368023256,32,0.21875,0.30303030303030304,0.04014705882352941,0.0005084745762711864,0.010824852133385746,False
USA other,39,218000.0,862562.358974359,2460000.000000001,1.3775718669250647,38,0.23684210526315788,1.1177644710578842,0.9447791440033071,0.04412961028338757,38,0.3684210526315789,0.358974358974359,0.03947869879943503,0.0004104655425219941,0.01252179827714071,False
Saudi/Qatar/Gulf,20,223000.0,622593.25,1430000.0000000019,1.8187052005490316,20,0.3,0.9743427422357935,0.9443064525585423,-0.11951881367779219,20,0.2,0.3,0.04317890147523709,0.0005123408337694052,0.00847333750152098,False
New York,17,1000000.0,9074400.0,25300000.000000007,3.8812785388127855,17,0.47058823529411764,2.2666666666666666,0.9246610151387535,0.1120169231190703,17,0.4117647058823529,0.6470588235294118,0.055401,0.00037411526794742163,0.0060790273556231,False
Santorini/Mykonos/Greece,22,451000.0,1005416.6363636364,2350000.000000001,2.2679611650485434,22,0.45454545454545453,0.9615384615384616,0.9003155168381427,-0.08071547489044117,22,0.22727272727272727,0.3181818181818182,0.017864380472648527,0.00039791666666666664,0.023148148148148147,False
Ibiza/Spain,41,22100.0,389505.0243902439,920000.0,0.5217391304347826,41,0.07317073170731707,0.8191190253045924,0.849734903833853,-0.058469694381719305,41,0.34146341463414637,0.2926829268292683,0.03396590909090909,0.00041041162227602906,0.011139974023378959,False
Maldives,37,389000.0,4048756.756756757,7699999.999999999,1.4661791590493602,37,0.3783783783783784,1.1134020618556701,0.8061955977783775,0.04043626098171111,37,0.32432432432432434,0.32432432432432434,0.037326098655730236,0.0002697674418604651,0.010353466698239243,False
Monaco,10,1400000.0,2308300.0,5589999.999999999,8.581599411517445,10,0.8,0.6829268292682926,0.7972214200593462,-0.0762124394966384,10,0.4,0.3,0.016725205479452054,0.00012388565559739816,0.005842545500399311,True
Morocco,14,66450.0,744371.4285714285,2050000.0000000016,0.9482414404328762,14,0.14285714285714285,1.5907852363936528,0.6814675584704586,0.033821008948739455,14,0.2857142857142857,0.35714285714285715,0.03215437471369675,0.00047720318534379586,0.012898491423697242,True
London/UK,26,116600.0,528266.0384615385,936500.0,1.204863296272988,26,0.2692307692307692,0.5257739331026527,0.577345465984545,-0.14887264367012115,26,0.2692307692307692,0.2692307692307692,0.0236028880866426,0.00044094489092733004,0.01809927986194857,False
Nordics/Iceland/Faroe,23,197000.0,3353654.9565217393,3160000.000000001,0.739,23,0.30434782608695654,1.1517436380772856,0.5157432972672791,-0.0490394701357939,23,0.2608695652173913,0.34782608695652173,0.05812901796443162,0.000458,0.008090340349100032,False
