_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
rattan,132,218000.0,2110466.1893939395,2090000.0000000005,2.524822695035461,131,0.35877862595419846,1.0490500283278652,1.021415720344619,-0.027084549773008056,131,0.26717557251908397,0.32575757575757575,0.031167286518228532,0.0004518171567351895,0.009237668161434977,False
natural_stone,740,236000.0,1708577.3864864865,4100000.0,2.3357424523644363,738,0.3794037940379404,1.0096929965758434,1.0025187201997185,0.030058516074808944,738,0.36449864498644985,0.33918918918918917,0.03718637992831541,0.0003673469387755102,0.009151922116528564,False
marble,325,250000.0,1498354.646153846,2700000.0,2.25,325,0.36,0.8753799392097265,0.9835752405202511,-0.04051489302442622,325,0.3353846153846154,0.3046153846153846,0.025442898301193756,0.0002979555108428348,0.009804113685832044,False
metal,1252,264000.0,1601626.7388178913,3500000.0,2.4523809523809526,1247,0.38813151563753007,1.0,0.954146007810881,0.008114050269466716,1247,0.3656776263031275,0.33226837060702874,0.02813125,0.0003255813953488372,0.009975319496561793,False
wood,1438,220500.0,1976708.3178025035,3600000.0,2.4415584415584415,1431,0.3822501747030049,0.99859304732531,0.9322963647457642,0.008173095403600688,1431,0.3466107617051013,0.3247566063977747,0.028641274122113255,0.00033317540322580643,0.009544008483563097,False
concrete,389,224000.0,1403154.8277634962,2519999.999999999,1.8590604026845639,389,0.35218508997429304,0.9851851851851852,0.9305642650775052,-0.055368196389564465,389,0.31362467866323906,0.3264781491002571,0.031903990024937656,0.000333125,0.008549023253110775,False
fabric,1176,224500.0,2019496.6802721089,3300000.0,2.5220588235294117,1169,0.378956372968349,1.0168882025558408,0.9290520273849603,0.012203452661520592,1169,0.3413173652694611,0.3358843537414966,0.02914233803986711,0.0003207331509980814,0.00888666999500749,False
plants,1406,226500.0,1876429.0675675676,3700000.0,2.2361373006487906,1402,0.369472182596291,0.9568421458598481,0.9290333037866854,-0.01186904362688312,1402,0.33523537803138376,0.31650071123755336,0.0326814455230368,0.000357487922705314,0.009072017173563412,False
plaster,425,178000.0,1663467.1905882354,3560000.0000000023,2.3024390243902437,425,0.36705882352941177,0.9813542688910697,0.9144026396702492,0.01710756921418673,425,0.3623529411764706,0.3176470588235294,0.02720566037735849,0.00036608863198458574,0.010526315789473684,False
glass,1551,232000.0,2102693.8665377176,3500000.0,2.0259740259740258,1543,0.3545042125729099,0.9940119760479041,0.8745654678956669,-0.018785669385121828,1543,0.3408943616331821,0.32688588007736946,0.031935047361299054,0.0003584300993124522,0.009767331221958607,False
fire,171,301000.0,2653987.3099415204,5100000.0,2.0008585164835164,168,0.375,0.9985141158989599,0.8570722730385414,-0.009813408231470248,168,0.30952380952380953,0.34502923976608185,0.04400462962962963,0.0003530917793732955,0.008795117027923295,False
water,610,187500.0,1621591.626229508,3910000.0000000023,1.508116883116883,608,0.30756578947368424,0.9722871994801819,0.8567429868826186,-0.0218356936153802,608,0.3355263157894737,0.3180327868852459,0.0370826833073323,0.00040659164612790247,0.00982257965498189,False
leather,111,147000.0,2058154.1621621621,3700000.0,1.7893557794273596,110,0.33636363636363636,0.99867197875166,0.7338092473217319,-0.04992176060210801,110,0.3,0.26126126126126126,0.03174683441821302,0.00025264150943396225,0.0067566143444460075,False
