_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
23,63,320000.0,1416622.7142857143,3480000.000000003,4.754545454545455,57,0.47368421052631576,1.2236598890942698,1.3538451187564327,0.14106169240618624,57,0.42105263157894735,0.3968253968253968,0.035374318687430475,0.000331353919239905,0.011941488439807272,False
6,85,405000.0,2200994.8470588233,3980000.000000003,3.078403974538115,84,0.4642857142857143,1.0695187165775402,1.3453767192349027,0.10195974187532644,84,0.4523809523809524,0.4,0.028633834586466164,0.0002858462525920806,0.0076659983488618945,False
10,99,267000.0,5111373.111111111,4520000.000000002,3.352678571428571,96,0.4270833333333333,1.143236074270557,1.1079581979624566,0.06997201979768516,96,0.3333333333333333,0.32323232323232326,0.03785712221593571,0.000370668016194332,0.007498909224942246,False
18,141,338000.0,2443033.7517730496,5000000.0,3.6500000000000004,134,0.41044776119402987,0.9834791059280855,1.0953477785992043,0.0354807894097514,134,0.3656716417910448,0.3120567375886525,0.03658947466216216,0.00028645833333333333,0.00806184635441119,False
20,95,180000.0,2967268.1789473686,4060000.000000001,3.7777777777777777,89,0.47191011235955055,0.7654784240150094,1.054486934846559,-0.003929896714658948,89,0.39325842696629215,0.2736842105263158,0.032648809523809524,0.000388,0.008909554203332046,False
0,59,275000.0,2889259.254237288,4780000.000000001,2.481220657276995,54,0.35185185185185186,1.36,1.0539184309210246,-0.018777252913145116,54,0.35185185185185186,0.3559322033898305,0.03188464662875711,0.0002936178999921583,0.00856457690990065,False
14,185,318000.0,1894524.481081081,3939999.9999999977,2.487411347517731,180,0.40555555555555556,1.0565240359218173,1.0272859738681102,0.0764954469501849,180,0.36666666666666664,0.2918918918918919,0.02980794642857143,0.00039630390143737166,0.010468336801915282,False
5,34,316500.0,9115615.647058824,2879999.9999999995,4.185555424109784,34,0.4411764705882353,0.8807286163531872,0.992337045712862,0.10409117178584372,34,0.35294117647058826,0.3235294117647059,0.021153536585365854,0.0002899396378269618,0.012527786509789833,False
22,54,204000.0,3281332.907407407,3160000.000000005,2.6295873573309922,50,0.42,0.9207947862188601,0.9729626506541575,0.0684445778001444,50,0.34,0.2962962962962963,0.0333859649122807,0.0003197158081705151,0.01033070618849932,False
11,118,160000.0,1932126.6016949152,5259999.999999999,1.67,115,0.3652173913043478,1.1379241101310447,0.9625694478380016,-0.01163582153398353,115,0.34782608695652173,0.3728813559322034,0.02530940594059406,0.0003644859813084112,0.00895573619584042,False
21,74,217500.0,1568789.2432432433,3580000.000000001,1.7362826086956522,72,0.3055555555555556,1.0960687382297554,0.9501723116253311,-0.050928086169178356,72,0.3472222222222222,0.35135135135135137,0.03197377466251298,0.0003779385171790235,0.0085037552072579,False
8,80,216000.0,1499166.725,5420000.000000002,2.3870967741935485,77,0.36363636363636365,0.8323572447464007,0.9471350592846951,-0.007561710535923894,77,0.36363636363636365,0.35,0.023084908610250435,0.0003069337016574586,0.011014948859166011,False
16,205,293000.0,2679670.507317073,3899999.999999997,2.0629246064623032,196,0.3622448979591837,1.0198878123406425,0.9224699657777693,0.028573791443552887,196,0.3520408163265306,0.35121951219512193,0.03314962996814354,0.0003703695745595187,0.009150526155253927,False
3,41,216000.0,1518334.0,2500000.0,1.52,41,0.34146341463414637,0.7961630695443646,0.9180365525599158,-0.08152250950388812,41,0.24390243902439024,0.2926829268292683,0.019235876531143344,0.0002547945205479452,0.005916000450667126,False
15,186,309000.0,2488325.924731183,3900000.0,2.398257080610022,182,0.3956043956043956,1.1650587968663477,0.8754776050704964,0.025005539248815618,182,0.35714285714285715,0.3817204301075269,0.035467317839568385,0.000365643676691489,0.008966493629070316,False
17,170,204000.0,2254728.6,4419999.999999999,1.8333333333333333,161,0.35403726708074534,0.9577694235588972,0.8682840495695572,-0.02829186277042246,161,0.32298136645962733,0.3058823529411765,0.038649122807017544,0.00032085561497326203,0.008442310875682833,False
2,58,185500.0,2303822.5689655175,3840000.0000000033,2.5991785714285713,56,0.35714285714285715,0.973007373349407,0.8682286194848637,0.09074716306638012,56,0.3392857142857143,0.3103448275862069,0.030561832061068703,0.0003289855072463768,0.010945219593868516,False
13,178,220500.0,1377818.3033707866,3340000.0000000093,1.6848882352941177,172,0.37790697674418605,0.9934959349593495,0.86215018586476,-0.04981669746410198,172,0.3488372093023256,0.3258426966292135,0.029524916943521596,0.00034440005510400884,0.009953817872035153,False
12,167,179000.0,2025613.8083832336,4100000.0,2.12,161,0.3167701863354037,0.9009146341463414,0.8593393857969852,-0.08231245296917783,161,0.2795031055900621,0.32934131736526945,0.030341207349081366,0.0004807692307692308,0.011139506697218946,False
4,56,136000.0,3333501.4821428573,5700000.0,3.966666666666667,53,0.4339622641509434,0.8228756855125865,0.8302953690477191,0.017741161965362923,53,0.41509433962264153,0.30357142857142855,0.02639713628738019,0.00020097770467836256,0.006769020314720133,False
19,114,214500.0,857093.7807017544,1970000.0000000002,2.0591261633919338,106,0.33962264150943394,0.8009805378101322,0.7981303997650194,-0.08437282573046147,106,0.27358490566037735,0.30701754385964913,0.03727102803738318,0.00037349397590361445,0.009284892020076436,False
7,83,111000.0,1037197.7951807228,2200000.0,2.7,81,0.35802469135802467,0.7029972752043597,0.7784997596227156,-0.09861389468934022,81,0.3333333333333333,0.3253012048192771,0.026484692248026645,0.00032407407407407406,0.010964912280701754,False
9,80,59600.0,763940.0125,2200000.0000000084,1.580139909366888,78,0.34615384615384615,0.8270155338440992,0.775764783734404,-0.09667550305488028,78,0.32051282051282054,0.3375,0.02356853885135135,0.0003383458646616541,0.011185131320713408,False
1,54,127000.0,1089563.0740740742,2450000.0000000014,2.1307692307692307,49,0.3673469387755102,1.0818181818181818,0.7432226777694724,-0.07836587449284992,49,0.2857142857142857,0.3148148148148148,0.027478914081145583,0.0003284457478005865,0.0074958031206165485,False
