_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
fantasy_dream,79,74800.0,4631776.696202531,4800000.000000002,0.9785714285714286,74,0.32432432432432434,1.0076138485849735,1.3029332098411048,6.00120553851436e-17,74,0.3783783783783784,0.31645569620253167,0.04845412844036697,0.00031476695097785816,0.00939013179330167,False
interior_generic,75,370000.0,931220.44,2060000.000000001,3.4769607843137256,72,0.4166666666666667,0.9660474055092889,1.2378464544306442,0.009017583334619364,72,0.3611111111111111,0.3333333333333333,0.01900473502094336,0.000367003367003367,0.010446404483295544,False
pool,67,187000.0,1211696.1940298507,3240000.0,1.3536748927038627,66,0.2727272727272727,1.1111111111111112,1.1132174750352153,-5.719330732917473e-17,66,0.4393939393939394,0.3582089552238806,0.024303150138696255,0.0002620779220779221,0.00860096488680104,False
room_generic,161,365000.0,2724846.3416149067,2200000.0,3.375,155,0.4645161290322581,0.9919261822376009,1.0579477476143369,0.019227202410794536,155,0.3225806451612903,0.3105590062111801,0.01768025078369906,0.00017026378896882493,0.008045637484769042,False
architecture,56,661500.0,5551013.875,19650000.0,21.745682451253483,52,0.6730769230769231,1.0,1.0353257816612726,-4.697097411875662e-17,52,0.34615384615384615,0.35714285714285715,0.03661771561771562,0.00018346917450365725,0.00565736113430273,False
luxury_room,215,320000.0,1647803.781395349,3659999.9999999995,2.8101320321469574,208,0.375,0.9481865284974094,0.9607458131592139,-0.020991330197244067,208,0.3557692307692308,0.33488372093023255,0.02524646615183128,0.00021483253588516746,0.0081393993550643,False
luxury_home,217,290000.0,2026211.4239631337,4340000.000000004,2.6326179554390565,210,0.35714285714285715,1.0345911949685536,0.9607164460574273,-0.002312032989027678,210,0.36666666666666664,0.33640552995391704,0.042185792349726775,0.0003243243243243243,0.006681653553141002,False
future_arch,86,85600.0,697944.6046511628,1750000.0,1.7047619047619047,85,0.36470588235294116,0.7883783049084613,0.937002762209607,-1.6196194712178753e-16,85,0.43529411764705883,0.313953488372093,0.04573913043478261,0.0005079183871751275,0.010075136612021859,False
cozy_ambience,94,596500.0,5985913.106382979,12800000.000000004,7.001863354037267,84,0.5833333333333334,0.8965025537320785,0.9344749622790516,0.012944267649815192,84,0.35714285714285715,0.32978723404255317,0.06807183441558441,0.0002542087542087542,0.003546652579160319,False
style,304,105500.0,574283.4144736842,1400000.0,2.1736526946107784,277,0.35379061371841153,1.0005509357299038,0.9322963647457642,-1.603210143863042e-18,277,0.3249097472924188,0.33881578947368424,0.029654494382022473,0.00037747370801764107,0.009544008483563097,False
ai,165,211000.0,3820239.696969697,5400000.0,2.6,164,0.39634146341463417,0.9985141158989599,0.9271829885202277,-0.007989045047447083,164,0.35365853658536583,0.3515151515151515,0.026648250460405157,0.0005660377358490566,0.014068416242329285,False
garden_outdoor,53,535000.0,5374732.339622642,11200000.000000011,4.854368932038835,53,0.49056603773584906,0.9576119402985075,0.9156774652973746,0.02726653094629577,53,0.22641509433962265,0.33962264150943394,0.01958659895662951,0.00015135135135135134,0.007134090986137747,False
location,356,262500.0,2180359.952247191,4450000.0,1.9,348,0.3563218390804598,1.0,0.8655624264626388,2.0417894705750005e-17,348,0.33620689655172414,0.32303370786516855,0.03895498197257934,0.0004568481012658228,0.011947671024982488,False
unusual_home,260,183500.0,1447018.9692307692,3149999.999999997,1.6365853658536584,255,0.3137254901960784,1.00066401062417,0.8532331826694245,2.0898315757650005e-16,255,0.3137254901960784,0.3346153846153846,0.029652409779493478,0.00035212406015037594,0.0096014424793738,False
hotel_resort,233,142000.0,1037416.7854077254,2380000.000000001,1.379398148148148,220,0.3181818181818182,1.0,0.836836218983731,8.881784197001253e-17,220,0.35909090909090907,0.31759656652360513,0.025802,0.0003708609271523179,0.015425888665325285,False
decor_commerce,46,871000.0,6512847.130434782,17500000.0,12.481481481481481,43,0.6511627906976745,1.0973715651135008,0.8352852725154996,2.581914010756178e-17,43,0.27906976744186046,0.34782608695652173,0.02911607142857143,0.0007488888888888889,0.027195027195027196,False
real_estate,12,110800.0,6618014.5,10060000.0,0.65725,12,0.3333333333333333,1.0,0.29580624091656577,-2.0354088784794536e-16,12,0.4166666666666667,0.3333333333333333,0.02466931216931217,0.001219997985495568,0.07492583257121188,True
