_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
bathroom,60,554000.0,2812027.15,2320000.0000000005,3.2906443914081147,60,0.4166666666666667,1.197524052065648,1.427096776542807,0.09077040502286865,60,0.38333333333333336,0.36666666666666664,0.014333570610687022,0.00014022517911975435,0.006583889526364517,False
office,25,147000.0,1231416.88,1240000.0000000005,3.2205882352941178,25,0.44,0.9130434782608695,1.216791253474568,0.0568406043756125,25,0.4,0.32,0.0218,0.0003815096822711036,0.01886043310637492,False
other,204,321500.0,2172184.9607843137,4770000.000000002,5.154929577464789,201,0.5124378109452736,0.9369786237503214,1.209217903803065,0.03182025378791443,201,0.39303482587064675,0.28921568627450983,0.036634625,0.00038475157525049065,0.00907551615974032,False
stairs_hall,75,221000.0,1406467.0,3360000.000000001,3.147887323943662,75,0.38666666666666666,1.1666666666666667,1.171945199387401,0.008430698973090104,75,0.37333333333333335,0.3466666666666667,0.030744285714285714,0.0003587868902497186,0.009903502353494706,False
pool,189,217000.0,1439819.1534391535,3900000.0,1.6333333333333333,189,0.30158730158730157,1.054054054054054,0.9712912911985824,0.001718955257361235,189,0.36507936507936506,0.36507936507936506,0.030903323262839878,0.0003755445320172236,0.010985407443843253,False
kitchen,112,453000.0,2181228.25,3490000.0000000005,3.888451086956522,112,0.4375,0.9031018166949004,0.9591730443859469,0.0006059234456688295,112,0.3482142857142857,0.24107142857142858,0.021716253721552205,0.00028571428571428574,0.013169204269796803,False
garden_landscape,104,429500.0,3106347.798076923,7850000.000000009,4.5181818181818185,104,0.46153846153846156,1.00066401062417,0.9308483419739881,0.024848976279651682,104,0.3269230769230769,0.3173076923076923,0.030231292517006802,0.000225,0.0056106276264671195,False
exterior_facade,640,196500.0,1928069.228125,3830000.000000007,1.7306666666666666,638,0.3448275862068966,0.9882162249777129,0.9303918366041901,-0.0010012318650434975,638,0.35893416927899685,0.334375,0.03777403035413154,0.0004225721784776903,0.010894495412844037,False
terrace_outdoor,129,311000.0,1928310.6821705427,3620000.0000000005,1.5185185185185186,129,0.37209302325581395,1.0,0.9290520273849603,-0.02169827456401353,129,0.26356589147286824,0.31007751937984496,0.0337384,0.0003927690378476972,0.008665803837713128,False
bedroom,276,260000.0,3554786.492753623,4550000.0,2.956989247311828,271,0.41697416974169743,1.150770604463744,0.8957559960560618,0.029187138276287036,271,0.35424354243542433,0.36594202898550726,0.031054417045604826,0.00022694642857142857,0.006277352401919084,False
hotel_room,40,34200.0,379237.6,785400.0000000012,1.7112500000000002,40,0.325,0.43112320687451167,0.8317581865913468,0.02301719839883439,40,0.325,0.25,0.01261583743745552,0.000364652870493992,0.01859558789093896,False
living_room,355,218000.0,1952568.3633802817,2300000.0,2.5220588235294117,355,0.36056338028169016,1.0,0.8023826470316875,-0.029548435153508242,355,0.3126760563380282,0.3295774647887324,0.029203478260869564,0.0003298033126293996,0.008489125193286495,False
closet,41,234000.0,1482136.0,3700000.0,2.9,41,0.4146341463414634,0.9096209912536443,0.773417458417406,0.0018373104984048213,41,0.3902439024390244,0.2682926829268293,0.024946039091486787,0.0002391304347826087,0.0081393993550643,False
lobby_common,15,75200.0,548196.4,1060000.0,2.573170731707317,15,0.4,0.9164265129682997,0.7321848110207142,-0.1046932377466569,15,0.4,0.3333333333333333,0.05873966353008269,0.0005153020066552385,0.012522112448901258,False
dining,45,183000.0,517057.97777777776,1460000.0000000002,1.2551724137931035,45,0.24444444444444444,0.7671232876712328,0.6916435387944666,-0.07926019154277089,45,0.3111111111111111,0.28888888888888886,0.022815533980582524,0.0004196078431372549,0.019670631290027447,False
none_person_only,40,208000.0,4424977.75,2120000.0000000005,1.8078877005347593,40,0.325,0.7477786885245902,0.5255750941994164,-0.19589628231160752,40,0.2,0.35,0.03090082644628099,0.0004967602591792657,0.01587342587150787,False
home_theater,23,86000.0,988239.1304347826,4440000.000000002,2.111764705882353,23,0.391304347826087,0.9919261822376009,0.4935867822529018,-0.015445250012612178,23,0.30434782608695654,0.30434782608695654,0.023941153846153848,0.00032636363636363635,0.012161056473308124,False
spa,1,8094.0,8094.0,8094.0,0.33725,1,0.0,0.04803560830860534,0.07727028561971457,-1.1119874824380733,1,0.0,0.0,0.045095132196688904,,,True
