_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
none_person_only,3,323000.0,474836.6666666667,944600.0,4.681159420289855,3,0.3333333333333333,1.1940850277264325,1.3824053165915569,-0.4536830817458188,3,0.0,0.3333333333333333,0.05040557275541796,0.00048363636363636366,0.007542675664946407,True
bathroom,87,313000.0,2174647.2183908047,2620000.000000002,2.331002331002331,87,0.3793103448275862,0.9548022598870056,1.2269581353384962,0.023110335810911334,87,0.367816091954023,0.3448275862068966,0.015961254612546126,0.00016454545454545454,0.007333267267862452,False
other,160,342500.0,2443474.925,5249999.999999997,4.962907488986785,158,0.5,0.9559966757276175,1.1479055380778829,0.02230801799414127,158,0.3987341772151899,0.28125,0.035458333333333335,0.0003340832395950506,0.00858771815445865,False
office,53,147000.0,2089374.5849056605,3540000.0000000075,1.7047619047619047,53,0.37735849056603776,1.0129870129870129,0.9322963647457642,-0.03293585841160043,53,0.37735849056603776,0.33962264150943394,0.0269625520110957,0.00021495327102803737,0.006985936207372001,False
exterior_facade,818,216000.0,1931751.47799511,4300000.0,1.7813262924683537,816,0.35294117647058826,0.9992570579494799,0.9292591285639007,-0.0060637394884763005,816,0.3492647058823529,0.33618581907090467,0.03684210526315789,0.00040939597315436244,0.01085454904282613,False
stairs_hall,185,221000.0,2159362.3405405404,3400000.0,2.5220588235294117,185,0.31891891891891894,1.100832562442183,0.9290145801884105,0.0008404057789918532,185,0.34594594594594597,0.35135135135135137,0.029524916943521596,0.0003206766175355499,0.007933881922461979,False
garden_landscape,470,267000.0,2442017.276595745,4620000.000000005,2.1307692307692307,469,0.3603411513859275,0.983662733174063,0.9203559862978173,-0.00432866726345116,469,0.3347547974413646,0.3148936170212766,0.035678288065152594,0.0003320891757865937,0.008147578785549578,False
terrace_outdoor,561,216000.0,1722311.1622103387,3800000.0,1.5555555555555556,559,0.33094812164579607,1.0198878123406425,0.9050957568926591,0.003183629417906949,559,0.3363148479427549,0.33689839572192515,0.035271198830409356,0.00036533333333333334,0.00980239800126714,False
bedroom,355,187000.0,2925556.842253521,4160000.0000000023,2.30675,350,0.39714285714285713,1.0500844119302195,0.8773748241009913,0.019290593466463887,350,0.3514285714285714,0.3408450704225352,0.028375381973381825,0.00024409899931250478,0.006990969997087096,False
pool,357,167000.0,1287341.62464986,2940000.0000000033,1.25,357,0.25770308123249297,0.9691358024691358,0.8272137770909082,-0.0488286829156079,357,0.3165266106442577,0.3277310924369748,0.03377943076923077,0.0003875968992248062,0.010773927096426647,False
living_room,522,197500.0,1567844.7279693487,2290000.0000000033,2.160942546735832,522,0.3333333333333333,0.99933598937583,0.7853051277401568,-0.044239843364977424,522,0.31226053639846746,0.30842911877394635,0.030465337061567788,0.00034569490586932445,0.009240420481519159,False
hotel_room,44,37850.0,408780.38636363635,1261800.0000000023,1.7112500000000002,44,0.3181818181818182,0.4912213763431943,0.7634624753301569,0.016966732646790245,44,0.3181818181818182,0.25,0.013532138829720586,0.0003928571428571429,0.01859558789093896,False
kitchen,196,246500.0,2226945.826530612,3550000.0,3.1047120418848166,196,0.4030612244897959,0.9052678126999929,0.7555446819347706,-0.03812602415689845,196,0.3622448979591837,0.24489795918367346,0.023229365535748517,0.00028571428571428574,0.010735017943093141,False
closet,52,189500.0,1281686.5576923077,3629999.999999999,2.238175723862502,52,0.40384615384615385,0.8385394176793535,0.7477941944595801,-0.05330041295818512,52,0.36538461538461536,0.25,0.022347826086956523,0.0002391304347826087,0.0081393993550643,False
lobby_common,31,71100.0,824469.6451612903,2000000.0,2.1945945945945944,31,0.3225806451612903,0.9164265129682997,0.7321848110207142,-0.023304544907217818,31,0.3870967741935484,0.3225806451612903,0.04913385826771653,0.0006355140186915888,0.01643464810518175,False
dining,190,162500.0,670056.8526315789,2000000.0,1.8950874995651115,190,0.2736842105263158,0.9228123877379955,0.7175416467393114,-0.09031873768127473,190,0.33157894736842103,0.2789473684210526,0.027252339992600814,0.0003794388919240287,0.01354360057759473,False
home_theater,24,78350.0,947163.125,4159999.999999998,2.0808823529411766,24,0.375,0.8850660080147827,0.48914342763844043,-0.06996423926685152,24,0.2916666666666667,0.2916666666666667,0.023941153846153848,0.00032636363636363635,0.012161056473308124,False
spa,6,26150.0,503649.0,1475500.0,1.0526679841897233,6,0.0,0.06728661707063435,0.25717357763427495,-0.4794787494096886,6,0.0,0.16666666666666666,0.03597661266153736,0.0015,0.07289688764137703,True
