_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
cyberpunk,15,802000.0,2176922.0,4559999.999999999,9.090909090909092,15,0.6666666666666666,1.322970639032815,3.0414595905623907,0.2315575702190537,15,0.6666666666666666,0.4,0.08370842036553525,0.00043766544117647063,0.00658513640639699,False
warm_luxury,34,360000.0,9072888.235294119,2440000.0,9.307993730407524,34,0.6176470588235294,1.1749893084450704,1.8300996607749787,0.28708292993704915,34,0.4411764705882353,0.4411764705882353,0.022124749373433582,0.000331353919239905,0.010161956176563989,False
neoclassical,29,150000.0,1171582.1379310344,2860000.0,3.7071428571428573,29,0.4827586206896552,0.9813542688910697,1.6283667783528906,0.07455016573120757,29,0.4482758620689655,0.3448275862068966,0.02061211742660837,0.0002770454545454545,0.009946125155408206,False
mid_century,29,318000.0,602618.9655172414,1095999.9999999995,8.44186046511628,29,0.6206896551724138,0.9284436493738819,1.5019884637126313,0.08376417741367922,29,0.2413793103448276,0.3103448275862069,0.04397074190177638,0.00026869806094182824,0.005361588051318057,False
traditional_regional,111,216000.0,3275576.891891892,4500000.0,2.905263157894737,111,0.45045045045045046,0.9925373134328358,1.3314037623719406,0.1599377974705163,111,0.40540540540540543,0.35135135135135137,0.03805672268907563,0.00040892193308550185,0.009902875642734716,False
minimalist,167,281000.0,2587458.0538922157,5120000.000000002,4.4,167,0.48502994011976047,1.155367231638418,1.2230860790045779,0.13095158586563985,167,0.4251497005988024,0.38323353293413176,0.02301411689497717,0.00022933333333333334,0.00769505108030899,False
rustic_cozy,195,358000.0,1991964.8,5100000.0,4.303533475026567,192,0.453125,0.984869325997249,1.0637923395369997,0.019725771073489818,192,0.34375,0.3230769230769231,0.0537697280278671,0.0003913630229419703,0.007389372681372972,False
futuristic,91,185000.0,1692832.2417582418,4400000.0,2.00531914893617,91,0.3956043956043956,1.0148148148148148,1.0410504297780465,0.035334198205626895,91,0.38461538461538464,0.3626373626373626,0.03720222999255733,0.0005774278215223097,0.012299915754001686,False
biophilic,30,139000.0,2996863.3333333335,6430000.000000005,2.080168776371308,30,0.3,1.0238095238095237,1.0398068313078657,0.03859515469807771,30,0.3333333333333333,0.3,0.03712521276595745,0.00034622184389732845,0.006600145515019229,False
tropical,135,180000.0,1802596.6444444444,2760000.000000001,1.8103448275862069,135,0.3333333333333333,1.0468468468468468,1.0024984410298197,0.008466762276338951,135,0.34814814814814815,0.34814814814814815,0.029025270758122744,0.000358974358974359,0.012332358776478387,False
