_v,n,median_views,mean_views,p90_views,median_vpf,n_vpf,share_viral_5x,median_topic_index,median_adj_factor,mean_adj_log10,n_adj,share_beats_expectation_2x,share_top_quartile_on_topic_page,median_likes_per_view,median_comments_per_view,median_comments_per_like,low_confidence
fantasy_dream,83,116000.0,4539816.373493976,5099999.999999998,1.4172687609075043,78,0.3333333333333333,1.0076138485849735,1.3029332098411048,0.0016393665769822423,78,0.3717948717948718,0.3132530120481928,0.04849461535340626,0.0002999827044025157,0.009181969949916527,False
interior_generic,87,381000.0,1576990.0344827587,2180000.000000001,2.682926829268293,83,0.3855421686746988,1.0972222222222223,1.2487347735227923,0.02300656286023122,83,0.3493975903614458,0.3563218390804598,0.021273705970790376,0.0003230833333333333,0.010243185517714486,False
pool,69,206000.0,1193313.6956521738,3220000.0000000005,1.3536748927038627,68,0.27941176470588236,1.1237942122186495,1.1946949764177979,0.008476838726893183,68,0.4411764705882353,0.37681159420289856,0.025256785714285714,0.0002620779220779221,0.007616974972796518,False
architecture,59,543000.0,5282894.525423729,19440000.000000004,15.714285714285714,55,0.6363636363636364,1.0336134453781514,1.07061800888315,0.013322193059029614,55,0.34545454545454546,0.3898305084745763,0.03661771561771562,0.0002154696132596685,0.005776626462909398,False
room_generic,181,417000.0,2641160.5635359115,3000000.0,3.3108766233766236,174,0.45977011494252873,1.0,1.0274225707155953,0.016739277582157347,174,0.3275862068965517,0.3370165745856354,0.018240898215391543,0.00017026378896882493,0.0075475303334288715,False
luxury_home,238,319000.0,1995433.1218487395,4280000.0000000065,2.425,231,0.3593073593073593,1.0915071770334928,1.0061115571663624,0.01717901431183171,231,0.36796536796536794,0.3487394957983193,0.04239240112535844,0.00032037735849056606,0.006673863839942645,False
luxury_room,220,330000.0,1679508.240909091,3700000.0,2.9,213,0.38028169014084506,0.9844559585492227,0.9998233417935454,-0.011640364713687143,213,0.3568075117370892,0.3409090909090909,0.025210526315789475,0.00021291448516579407,0.007561325792830448,False
future_arch,99,138000.0,742220.5656565657,1840000.0000000005,1.9561250000000001,98,0.3469387755102041,1.0,0.9972320250265716,0.023860324828877726,98,0.41836734693877553,0.36363636363636365,0.047377326565143825,0.0005130434782608695,0.009990787898746207,False
style,310,107500.0,591824.3806451613,1400000.0,2.5220588235294117,283,0.3568904593639576,1.0327067669172931,0.9426936202728671,0.009411749014544809,283,0.33568904593639576,0.34516129032258064,0.02993081450976843,0.00036783368169602865,0.009567325879208449,False
cozy_ambience,97,594000.0,5811918.886597938,12500000.000000006,7.142857142857143,87,0.5862068965517241,0.8985507246376812,0.9387305164272284,0.006376269592527432,87,0.3563218390804598,0.32989690721649484,0.06946790697674418,0.0002628735005452563,0.003803511386026997,False
ai,166,213500.0,3799521.3855421687,5400000.0,2.7,165,0.3939393939393939,1.0070196150271054,0.9305642650775052,-0.005869566217182854,165,0.3575757575757576,0.35542168674698793,0.02666666666666667,0.0005565750989275679,0.013888888888888888,False
garden_outdoor,56,529500.0,5202721.678571428,10450000.0,5.048099498699155,56,0.5,0.9568421458598481,0.9118852777512751,0.0135218183212333,56,0.23214285714285715,0.3392857142857143,0.01927827806122449,0.0001547933227344992,0.007177717424598232,False
location,362,272000.0,2184478.2955801105,4490000.000000004,1.9514291854717385,354,0.3559322033898305,1.0,0.8883561051902671,0.0038583665515755984,354,0.3361581920903955,0.3287292817679558,0.03895498197257934,0.0004568481012658228,0.011947671024982488,False
unusual_home,264,192000.0,1455639.893939394,3450000.0000000084,1.675292682926829,258,0.313953488372093,1.0043953539077521,0.8517771300659946,0.0014303156884783242,258,0.313953488372093,0.3371212121212121,0.029825407288821923,0.0003513001563314226,0.009558690750299734,False
hotel_resort,235,143000.0,1052430.259574468,2519999.999999999,1.3858674463937621,222,0.3153153153153153,1.0,0.836836218983731,-0.0005016164573030608,222,0.36036036036036034,0.3191489361702128,0.025933333333333333,0.00036940298507462686,0.014227642276422764,False
decor_commerce,46,871000.0,6512847.130434782,17500000.0,12.481481481481481,43,0.6511627906976745,1.0973715651135008,0.8352852725154996,2.581914010756178e-17,43,0.27906976744186046,0.34782608695652173,0.02911607142857143,0.0007488888888888889,0.027195027195027196,False
real_estate,12,110800.0,6618014.5,10060000.0,0.65725,12,0.3333333333333333,1.0,0.29580624091656577,-2.0354088784794536e-16,12,0.4166666666666667,0.3333333333333333,0.02466931216931217,0.001219997985495568,0.07492583257121188,True
