theme,n,median_views,p90_views,median_vpf,share_viral_5x,median_topic_index,median_adj_factor,n_adj,median_comments_per_view,low_confidence
Bathroom,61,542000.0,2300000.0,3.24,0.4098360655737705,1.1885964912280702,1.4144819403430833,61,0.00014022517911975435,False
Jungle/Tropical,92,227000.0,3710000.000000005,3.169771133482026,0.391304347826087,1.0510971305815557,1.1439602898056296,92,0.0003374233128834356,False
Hotel/Resort,222,152000.0,3690000.0000000005,1.2489179683539862,0.30180180180180183,1.1058856179151633,1.0535473875796582,222,0.00036694448319151904,False
Mountain Home,174,274000.0,4400000.0,1.951953125,0.3620689655172414,0.9992570579494799,1.0339601659544009,174,0.0003693181818181818,False
Lake/River,60,179000.0,5400000.0,1.8115384615384615,0.3333333333333333,1.0590396451419366,1.0161614179364837,59,0.00047365798978702203,False
Mansion,127,269000.0,5200000.000000006,1.2,0.25984251968503935,1.0,0.9911158840089792,127,0.0004868421052631579,False
City Skyline,177,281000.0,5080000.000000001,2.7285443338074917,0.4011299435028249,1.1079136690647482,0.9788344061536316,176,0.0003842788380592063,False
Home Theater/Office/Library,48,109000.0,3040000.000000012,2.3754310344827587,0.4166666666666667,0.9524848302492352,0.9710946368885573,48,0.0003488372093023256,False
Kitchen,112,453000.0,3490000.0000000005,3.888451086956522,0.4375,0.9031018166949004,0.9591730443859469,112,0.00028571428571428574,False
Exterior/Facade,640,196500.0,3830000.000000007,1.7306666666666666,0.34375,0.9882162249777129,0.9303918366041901,638,0.0004225721784776903,False
Outdoor/Terrace/Garden,233,341000.0,4980000.000000001,2.571860816944024,0.41201716738197425,1.0,0.9290520273849603,233,0.00029805555555555553,False
Topic: AI pages,154,203500.0,5400000.0,2.7,0.38311688311688313,1.0070196150271054,0.9238017119629502,153,0.0006025252525252526,False
Treehouse,26,2000000.0,5900000.0,9.444444444444445,0.5769230769230769,1.2107432224060108,0.9080427457712243,26,0.0002548148148148148,False
Villa,241,152000.0,2700000.0,1.45,0.3029045643153527,1.0,0.9050957568926591,241,0.00039414414414414413,False
Bedroom,276,260000.0,4550000.0,2.956989247311828,0.40942028985507245,1.150770604463744,0.8957559960560618,271,0.00022694642857142857,False
Cliff,46,46950.0,3800000.0,1.3935714285714287,0.30434782608695654,1.1778960711643762,0.8942614898129067,46,0.0004977272727272727,False
Cabin/Chalet,140,268500.0,2560000.000000005,2.198003992015968,0.34285714285714286,0.9234538327526132,0.8706954838396663,138,0.0003913630229419703,False
Forest Home,172,300500.0,3080000.000000001,1.8251928288513655,0.29069767441860467,0.9823055906998919,0.840015136440786,170,0.00037037037037037035,False
Apartment,144,294000.0,4670000.000000019,2.86425902864259,0.4375,1.0508856682769725,0.8352852725154996,143,0.0002335806718732241,False
Pool,357,167000.0,2940000.0000000033,1.25,0.25770308123249297,0.9691358024691358,0.8272137770909082,357,0.0003875968992248062,False
Unusual Structure,193,167000.0,4580000.000000001,2.00531914893617,0.35233160621761656,0.9754385964912281,0.8091139221975077,193,0.0004384081618864227,False
Living Room,355,218000.0,2300000.0,2.5220588235294117,0.36056338028169016,1.0,0.8023826470316875,355,0.0003298033126293996,False
Ocean/Beach Home,165,153000.0,3119999.999999999,1.2037815126050422,0.30303030303030304,0.8485675306957708,0.7919828912945621,164,0.00044202898550724636,False
Closet,41,234000.0,3700000.0,2.9,0.4146341463414634,0.9096209912536443,0.773417458417406,41,0.0002391304347826087,False
Rain Window,85,403000.0,7020000.00000001,5.4066785863409095,0.49411764705882355,0.784452296819788,0.6995929695338478,82,0.00034215155975305615,False
Dining,45,183000.0,1460000.0000000002,1.2551724137931035,0.24444444444444444,0.7671232876712328,0.6916435387944666,45,0.0004196078431372549,False
Penthouse,39,266000.0,6360000.000000023,2.7027027027027026,0.41025641025641024,1.1770114942528735,0.5738890377114398,39,0.0004173111995890059,False
Desert Home,34,38150.0,925599.9999999998,0.5973255813953489,0.29411764705882354,0.7628719886632026,0.5145752840510519,34,0.0005042735042735043,False
Underwater,14,551000.0,2280000.0000000005,0.16101080556317665,0.07142857142857142,0.7645278771726782,0.38595490765685253,14,0.00042286901787430325,True
Castle/Palace,11,34300.0,216000.0,0.25157232704402516,0.18181818181818182,0.5254992098836374,0.24524747030645813,11,0.0006009389671361502,True
