topic,group,median_views,reels_on_topic,median_views_per_1k_reels,n_slots,fresh_share_180d,n_recent,recent_median_adj,median_adj_all_slots,slot_ai_share,slot_ai_creator_share,low_confidence
architecture,architecture,11750000.0,,,12,0.167,2,1.478,0.743,0.333,0.0,True
cozy-rain,cozy_ambience,3850000.0,23000.0,167391.30434782608,12,0.25,3,1.755,1.448,0.417,0.083,True
dubai-luxury,location,3700000.0,10000000.0,370.0,12,0.5,6,0.391,0.842,0.0,0.0,True
dream-room,fantasy_dream,3500000.0,1100000.0,3181.818181818182,12,0.0,0,,1.274,0.273,0.091,True
rainy-day,cozy_ambience,3450000.0,118000000.0,29.23728813559322,12,0.25,3,2.32,1.113,0.0,0.0,True
modern-architecture,architecture,2950000.0,24000000.0,122.91666666666669,12,0.75,9,3.303,1.781,0.833,0.417,True
ai-art,ai,2650000.0,114000000.0,23.24561403508772,12,0.917,11,0.831,0.831,1.0,1.0,True
treehouse,unusual_home,2650000.0,9800000.0,270.40816326530614,12,1.0,12,0.847,0.847,0.667,0.5,True
lake-como-villa,location,2418500.0,25000.0,96740.0,12,0.25,3,2.271,1.717,0.0,0.0,True
dream-home,luxury_home,2300000.0,151000000.0,15.2317880794702,12,0.25,3,14.164,0.85,0.667,0.167,True
monaco,location,2050000.0,44000000.0,46.59090909090909,12,1.0,12,1.188,1.188,0.0,0.0,True
infinity-pools,pool,1850000.0,319000.0,5799.373040752351,12,0.0,0,,2.503,0.25,0.167,True
luxury-house,luxury_home,1750000.0,10000000.0,175.0,12,0.25,3,1.065,3.137,0.091,0.0,True
ai-interior-design,ai,1719500.0,152000.0,11312.5,12,0.0,0,,11.586,0.583,0.5,True
amalfi-coast,location,1650000.0,21000000.0,78.57142857142857,12,0.25,3,1.076,1.341,0.0,0.0,True
treehouse-hotel,hotel_resort,1600000.0,,,12,0.167,2,0.133,5.768,0.111,0.0,True
luxury-penthouse,luxury_home,1500000.0,373000.0,4021.4477211796248,12,0.083,1,1.067,1.067,0.0,0.0,True
home-decor-ideas,decor_commerce,1400000.0,20000000.0,70.0,12,0.333,4,0.504,0.619,0.182,0.091,True
mykonos,location,1300000.0,29000000.0,44.82758620689656,12,1.0,12,1.17,1.17,0.083,0.0,True
bedroom-decor,room_generic,1250000.0,46000000.0,27.17391304347826,12,0.167,2,0.287,0.978,0.0,0.0,True
kitchen-design,room_generic,1250000.0,102000000.0,12.254901960784316,12,0.25,3,4.204,1.138,0.0,0.0,True
luxury-interior-design,interior_generic,1200000.0,4000000.0,300.0,12,0.5,6,2.449,1.526,0.455,0.0,True
luxury-mansion,luxury_home,1150000.0,,,12,0.25,3,0.392,1.293,0.167,0.083,True
luxury-bathroom-design,luxury_room,1134500.0,124000.0,9149.193548387097,12,0.167,2,2.235,1.237,0.364,0.0,True
dream-bedrooms,luxury_room,1121000.0,9500.0,118000.0,12,0.0,0,,1.326,0.917,0.417,True
luxury-real-estate,luxury_home,1119000.0,85000000.0,13.16470588235294,12,0.5,6,2.517,1.976,0.083,0.0,True
underground-house,unusual_home,1109500.0,687000.0,1614.9927219796216,12,0.333,4,4.249,0.952,0.583,0.417,True
luxury-garden,garden_outdoor,1087000.0,482000.0,2255.186721991701,12,0.75,9,0.841,1.093,0.25,0.167,True
luxury-resort,hotel_resort,1055000.0,7300000.0,144.5205479452055,12,0.5,6,1.641,1.383,0.091,0.083,True
chalet,location,1050000.0,9800000.0,107.14285714285714,12,1.0,12,0.86,0.86,0.0,0.0,True
tulum,location,1000000.0,47000000.0,21.27659574468085,12,1.0,12,1.257,1.257,0.0,0.0,True
ai-home-design,ai,985000.0,37000.0,26621.62162162162,12,0.167,2,0.453,0.71,0.667,0.417,True
dream-life,fantasy_dream,946500.0,13000000.0,72.8076923076923,12,0.167,2,0.011,1.578,0.0,0.0,True
bedroom-design,room_generic,937000.0,22000000.0,42.59090909090909,12,0.333,4,1.146,0.933,0.25,0.083,True
ai-interior-designer,ai,935000.0,700.0,1335714.285714286,12,0.25,3,0.096,5.062,0.5,0.417,True
living-room-design,room_generic,914500.0,19000000.0,48.13157894736842,12,0.167,2,1.451,1.365,0.333,0.083,True
overwater-villa,hotel_resort,888500.0,433000.0,2051.963048498845,12,0.0,0,,1.709,0.273,0.182,True
dream-house,luxury_home,862500.0,18000000.0,47.91666666666666,12,0.833,10,1.786,1.035,0.25,0.167,True
garden-design,garden_outdoor,837500.0,39000000.0,21.47435897435897,12,0.167,2,0.598,0.786,0.583,0.25,True
home-decor,decor_commerce,837000.0,901000000.0,0.9289678135405104,12,0.917,11,1.276,1.068,0.0,0.0,True
amazon-home-finds,decor_commerce,795000.0,1500000.0,530.0,12,0.167,2,1.125,0.77,0.0,0.0,True
dream-bedroom-decor-ideas,luxury_room,785000.0,,,12,0.333,4,0.784,0.784,0.167,0.0,True
outdoor-kitchen,room_generic,764000.0,4400000.0,173.63636363636363,12,0.0,0,,0.741,0.091,0.091,True
cabins,unusual_home,753000.0,2600000.0,289.61538461538464,12,1.0,12,0.923,0.923,0.167,0.0,True
swiss-chalet,location,733500.0,308000.0,2381.493506493506,12,0.083,1,0.016,1.737,0.0,0.0,True
furniture-design,interior_generic,727500.0,96000000.0,7.578125,12,0.833,10,1.365,1.139,0.182,0.0,True
luxury-kitchen,luxury_room,713000.0,4100000.0,173.90243902439025,12,0.417,5,2.19,1.345,0.273,0.0,True
dream-closet,luxury_room,708000.0,1000000.0,708.0,12,0.083,1,0.675,2.548,0.0,0.0,True
maldives-villa,location,695000.0,,,12,0.833,10,1.324,1.026,0.0,0.0,True
kitchen-inspiration,room_generic,681000.0,15000000.0,45.4,12,0.333,4,0.696,1.686,0.167,0.0,True
luxury-pool,pool,674000.0,1200000.0,561.6666666666666,12,0.167,2,1.566,1.017,0.333,0.25,True
house-in-the-forest,unusual_home,673000.0,70000.0,9614.285714285714,8,0.0,0,,0.418,0.625,0.0,True
dream-bedroom,luxury_room,659000.0,1300000.0,506.9230769230769,12,0.0,0,,1.054,0.667,0.417,True
cyberpunk-city,style,648500.0,916000.0,707.9694323144105,12,0.667,8,2.825,2.825,0.25,0.167,True
home-library,room_generic,636000.0,2500000.0,254.4,12,0.417,5,0.554,1.011,0.1,0.0,True
living-room-decor,room_generic,626000.0,44000000.0,14.227272727272728,12,0.667,8,1.076,1.092,0.333,0.0,True
luxury-kitchen-design,luxury_room,621500.0,655000.0,948.8549618320612,12,0.083,1,0.032,1.849,0.364,0.0,True
bathroom-design,room_generic,620000.0,45000000.0,13.77777777777778,12,0.75,9,1.685,1.459,0.636,0.0,True
unique-airbnb,hotel_resort,615000.0,172000.0,3575.5813953488373,12,0.167,2,0.118,1.492,0.0,0.0,True
backyard-design,garden_outdoor,606500.0,4500000.0,134.77777777777777,12,0.25,3,0.908,0.933,0.417,0.083,True
modern-kitchen,room_generic,598500.0,8200000.0,72.98780487804878,12,0.75,9,2.276,2.233,0.25,0.0,True
futuristic-houses,future_arch,575000.0,650.0,884615.3846153846,12,0.0,0,,3.108,0.75,0.583,True
quiet-luxury,luxury_room,564000.0,7000000.0,80.57142857142857,12,0.583,7,0.483,0.721,0.0,0.0,True
rain-cozy,cozy_ambience,561500.0,,,12,0.5,6,0.663,0.663,0.75,0.25,True
cozy-room,cozy_ambience,559000.0,2600000.0,215.0,12,0.667,8,1.047,2.012,0.2,0.0,True
ai-generated-house,ai,547500.0,,,12,0.167,2,1.088,1.088,1.0,0.333,True
faroe-islands-luxury-villas,location,535500.0,,,12,0.417,5,0.5,0.508,0.25,0.083,True
cabin,unusual_home,530500.0,23000000.0,23.065217391304348,12,0.667,8,1.166,1.165,0.091,0.0,True
luxury-interior,interior_generic,527000.0,,,12,0.083,1,1.399,1.357,0.167,0.0,True
modern-luxury-house-interiors,luxury_home,527000.0,,,12,0.0,0,,1.036,0.273,0.0,True
inside-underground-bunker-house,unusual_home,514500.0,,,12,0.583,7,2.067,1.249,0.333,0.333,True
landscape-design-ai,ai,509000.0,,,12,0.5,6,1.643,1.006,0.75,0.5,True
interior-design-ideas,interior_generic,504000.0,25000000.0,20.16,12,0.333,4,0.776,0.776,0.364,0.182,True
container-house,unusual_home,501000.0,2600000.0,192.69230769230768,12,0.083,1,0.188,0.802,0.083,0.0,True
luxury-bathroom,luxury_room,469500.0,4000000.0,117.375,12,0.083,1,0.464,1.403,0.364,0.083,True
luxury-lifestyle,interior_generic,465500.0,303000000.0,1.5363036303630364,12,0.167,2,1.433,1.858,0.0,0.0,True
luxury-cabin,unusual_home,463000.0,343000.0,1349.854227405248,12,0.0,0,,0.918,0.5,0.0,True
modern-villa,luxury_home,457000.0,1200000.0,380.8333333333333,12,0.0,0,,0.92,0.5,0.25,True
quiet-luxury-bathroom,luxury_room,456000.0,,,12,0.583,7,2.28,2.738,0.333,0.083,True
bali-luxury-villas-with-private-pools,location,452000.0,,,12,0.333,4,7.685,1.853,0.333,0.167,True
room-makeover,decor_commerce,447500.0,2800000.0,159.82142857142858,12,1.0,12,0.875,0.875,0.083,0.0,True
cozy-bedroom-ideas,cozy_ambience,429000.0,5600.0,76607.14285714286,12,0.5,6,0.882,1.352,0.167,0.083,True
