topic,n,median_views,max_views,p90_views,n_handles,total_reels_label,group,reels_on_topic,median_views_per_1k_reels,share_ai_generated,share_theme_pages,median_vpf
architecture,12,11750000.0,55200000.0,31950000.0,10,,architecture,,,0.3333333333333333,0.2222222222222222,134.0909090909091
cozy-rain,12,3850000.0,155000000.0,68000000.00000001,12,23K reels on Instagram,cozy_ambience,23000.0,167391.30434782608,0.4166666666666667,0.6666666666666666,27.666979362101316
dubai-luxury,12,3700000.0,7500000.0,5350000.0,11,10M reels on Instagram,location,10000000.0,370.0,0.0,0.45454545454545453,21.91780821917808
dream-room,12,3500000.0,282000000.0,10090000.0,12,1.1M reels on Instagram,fantasy_dream,1100000.0,3181.818181818182,0.2727272727272727,0.18181818181818182,3.6769129311766107
rainy-day,12,3450000.0,58500000.0,32340000.000000007,11,118M reels on Instagram,cozy_ambience,118000000.0,29.23728813559322,0.0,0.5833333333333334,36.38775510204081
modern-architecture,12,2950000.0,26800000.0,22280000.000000007,12,24M reels on Instagram,architecture,24000000.0,122.91666666666667,0.8333333333333334,0.16666666666666666,17.81818181818182
ai-art,12,2650000.0,147000000.0,89190000.00000003,10,114M reels on Instagram,ai,114000000.0,23.24561403508772,1.0,0.0,8.666666666666666
treehouse,12,2650000.0,85200000.0,7000000.0,12,9.8M reels on Instagram,unusual_home,9800000.0,270.40816326530614,0.6666666666666666,0.08333333333333333,22.084398976982097
lake-como-villa,12,2418500.0,18800000.0,12400000.0,11,25K reels on Instagram,location,25000.0,96740.0,0.0,0.16666666666666666,3.906368899917287
dream-home,12,2300000.0,13500000.0,4980000.0,12,151M reels on Instagram,luxury_home,151000000.0,15.2317880794702,0.6666666666666666,0.4166666666666667,3.996666666666667
monaco,12,2050000.0,7300000.0,5370000.0,12,44M reels on Instagram,location,44000000.0,46.59090909090909,0.0,0.16666666666666666,12.516025641025642
infinity-pools,12,1850000.0,7700000.0,6420000.0,12,319K reels,pool,319000.0,5799.373040752351,0.25,0.25,1.2630833333333333
luxury-house,12,1750000.0,4700000.0,3890000.0,11,10M reels on Instagram,luxury_home,10000000.0,175.0,0.09090909090909091,0.45454545454545453,6.115942028985507
ai-interior-design,12,1719500.0,28600000.0,20450000.000000004,12,152K reels on Instagram,ai,152000.0,11312.5,0.5833333333333334,0.08333333333333333,43.69503546099291
amalfi-coast,12,1650000.0,29000000.0,16990000.000000004,12,21M reels on Instagram,location,21000000.0,78.57142857142857,0.0,0.09090909090909091,4.739336492890995
treehouse-hotel,12,1600000.0,13800000.0,4990000.0,12,,hotel_resort,,,0.1111111111111111,0.1,3.0756718750000003
luxury-penthouse,12,1500000.0,72100000.0,18020000.000000004,10,373K reels on Instagram,luxury_home,373000.0,4021.4477211796248,0.0,0.18181818181818182,5.818181818181818
home-decor-ideas,12,1400000.0,77200000.0,69590000.00000001,12,20M reels on Instagram,decor_commerce,20000000.0,70.0,0.18181818181818182,0.0,9.56175298804781
mykonos,12,1300000.0,4800000.0,4470000.000000001,12,29M reels on Instagram,location,29000000.0,44.827586206896555,0.08333333333333333,0.0,21.310679611650485
bedroom-decor,12,1250000.0,13100000.0,3770000.0000000005,11,46M reels on Instagram,room_generic,46000000.0,27.17391304347826,0.0,0.09090909090909091,1.963350785340314
kitchen-design,12,1250000.0,6200000.0,4410000.0,12,102M reels on Instagram,room_generic,102000000.0,12.254901960784315,0.0,0.0,17.91044776119403
luxury-interior-design,12,1200000.0,55500000.0,2270000.0,10,4M reels on Instagram,interior_generic,4000000.0,300.0,0.45454545454545453,0.5454545454545454,5.141388174807198
luxury-mansion,12,1150000.0,34700000.0,3810000.0000000005,11,,luxury_home,,,0.16666666666666666,0.4166666666666667,1.0125947995666305
luxury-bathroom-design,12,1134500.0,6700000.0,5830000.000000001,11,124K reels on Instagram,luxury_room,124000.0,9149.193548387097,0.36363636363636365,0.18181818181818182,7.233009708737864
dream-bedrooms,12,1121000.0,45100000.0,6880000.000000001,8,9.5K reels on Instagram,luxury_room,9500.0,118000.0,0.9166666666666666,0.5,6.597658227848101
