channel,video_id,title,views,list,ch_index,hooks
Isla | Interior Designer,cFq4zgr5fQk,Used RenoMuse app and turned my room into Blanket Fort 😭,5500000,popular,14.705882352941176,['transformation']
Isla | Interior Designer,9KYhovFAwzs,my landlord said NO to changes... so I showed him AI 😈,2900000,popular,7.754010695187166,['fantasy_ai']
Isla | Interior Designer,EOS4L0nfIGA,RenoMuse app is insane... turned my room into a ball pit and hot tub 😂,2600000,popular,6.951871657754011,"['curiosity', 'transformation']"
Isla | Interior Designer,1qRFnQC3d1A,I used RenoMuse app and got 6 designs,2200000,popular,5.882352941176471,['descriptive']
Isla | Interior Designer,dB4n8No0KvI,I showed my bf what AI could do to our living room 😂,2000000,popular,5.347593582887701,['fantasy_ai']
Isla | Interior Designer,vpEnVCaMH-w,RenoMuse app made my boring room look like a luxury hotel,1700000,popular,4.545454545454546,['money_status']
Isla | Interior Designer,jEYQWhWT7s8,RenoMuse app turned my room into a Bowling Alley and Cats Lounge 😭,1700000,popular,4.545454545454546,['transformation']
Isla | Interior Designer,R7W6Y6yRi3g,RenoMuse app is insane for room design,1100000,popular,2.9411764705882355,['curiosity']
Isla | Interior Designer,GlV134_vI4I,I used RenoMuse app and showed my bf what AI could do 😂,1000000,popular,2.6737967914438503,['fantasy_ai']
Isla | Interior Designer,1choP6SAYUc,I used RenoMuse app and now my room has a pool AND a barn 😂,1000000,popular,2.6737967914438503,['descriptive']
Isla | Interior Designer,7jNHaFFEd5A,Weekend project: transform this boring corner using AI ✨ Which design should I pick? #diyhome #inter,987000,popular,2.6390374331550803,"['question', 'choice', 'transformation', 'fantasy_ai']"
Isla | Interior Designer,Jm8F9DsFrbE,I used RenoMuse app and got 7 completely different room designs,968000,popular,2.588235294117647,['descriptive']
Isla | Interior Designer,DU57iaZDNn0,RenoMuse app is crazy... my landlord said NO so I showed him AI 😈,935000,popular,2.5,"['curiosity', 'fantasy_ai']"
Isla | Interior Designer,XDM7mvt__dU,I can't believe this is the same space 😳 AI transformation,934000,popular,2.4973262032085564,"['transformation', 'fantasy_ai']"
Isla | Interior Designer,Fof9Y1WdE6M,"RenoMuse app built a Blanket Fort, Bowling alley and Zen room in seconds",919000,both,2.4572192513368982,['transformation']
Isla | Interior Designer,kZYHMXbwNsA,RenoMuse app is insane 😱 6 years of no then AI happened,802000,popular,2.144385026737968,"['curiosity', 'fantasy_ai']"
Isla | Interior Designer,Pf1oTNHWLec,I used RenoMuse app and my jaw dropped 😭,750000,popular,2.0053475935828877,['descriptive']
Isla | Interior Designer,WTAwYyQsC-o,RenoMuse app changed how I see my home 🏠,715000,popular,1.911764705882353,['descriptive']
Isla | Interior Designer,Rurcv4RsXZ4,RenoMuse: This AI app transformed my room 🤯,676000,popular,1.8074866310160427,"['curiosity', 'transformation', 'fantasy_ai']"
Isla | Interior Designer,z533G6Ih1Bo,RenoMuse app is crazy... look at these designs,645000,popular,1.7245989304812834,['curiosity']
Isla | Interior Designer,j-pRmquYfUU,RenoMuse app changed how I see my home,636000,popular,1.7005347593582887,['descriptive']
Isla | Interior Designer,DQAyNfCAHac,RenoMuse app created a stranger things lab and knitting studio... my bf was mind blown 💀,632000,popular,1.6898395721925135,['curiosity']
Isla | Interior Designer,IZXudU_WiHs,Which one’s the best??? 🤯,609000,popular,1.6283422459893049,"['question', 'choice', 'curiosity']"
Isla | Interior Designer,e4eW1-DQhPY,RenoMuse app is wild — uploaded my room and got a starbucks inside 😂,587000,popular,1.5695187165775402,['descriptive']
Isla | Interior Designer,gGWQoYD4cfw,"RenoMuse app generated McDonalds Ball Pit, Garden, AND Bicycles Storage 🚲",583000,popular,1.5588235294117647,['instructional']
Isla | Interior Designer,jcYk1fI8dNA,RenoMuse app gave my room a KFC theme and a Waterfall setup 💀,573000,popular,1.532085561497326,['descriptive']
Isla | Interior Designer,hcCiClvmYnI,RenoMuse app is insane... a casino room and coffee corner in my boring space 😈,572000,popular,1.5294117647058822,['curiosity']
Isla | Interior Designer,kkT0twrLV8A,RenoMuse app designed a Cats Paradise and an Indoor Pool,562000,both,1.5026737967914439,['descriptive']
Isla | Interior Designer,Wcg5TLQ1zBs,I used RenoMuse app and now I'm obsessed 😍,560000,popular,1.4973262032085561,['descriptive']
Isla | Interior Designer,rLwUGo4V5rs,"I used RenoMuse app and got Barbershop, Sun room, AND Chess ideas ♟️",540000,popular,1.4438502673796791,['instructional']
Isla | Interior Designer,LIMLuFJMSO4,"RenoMuse app suggested IKEA Store, Car Garage, AND Grandmas Urn ideas 🏠",533000,both,1.4251336898395721,['instructional']
Isla | Interior Designer,pqziHpyKGKo,RenoMuse app made a fireman pole room and cats house from one photo 🚒🐱,526000,popular,1.4064171122994653,['descriptive']
Isla | Interior Designer,nT6jsqP2ayM,I asked RenoMuse app to redesign my room and it gave me Aquarium,523000,popular,1.3983957219251337,['descriptive']
Isla | Interior Designer,fu10kaEsOWg,RenoMuse app turned one photo into a home office AND blanket fort 🛋️💼,452000,popular,1.2085561497326203,['transformation']
Isla | Interior Designer,E7KwByzL2mo,"RenoMuse app suggested Mona Lisa, Sarcophagus, AND Art installation ideas 🖼️",451000,popular,1.2058823529411764,['instructional']
Isla | Interior Designer,v9mu-YFm7pk,"RenoMuse app built a Boho Area, Hot tub and Zen Area",447000,both,1.195187165775401,['transformation']
Isla | Interior Designer,9nSLJqvE1Fw,RenoMuse app built a Mcdonalds Drive Thru and a Fish Pond,424000,both,1.1336898395721926,['transformation']
Isla | Interior Designer,wwBNDPsOWFs,"RenoMuse app designed a Cowbarn, Aquarium and Gym room instantly",422000,both,1.1283422459893049,['descriptive']
Isla | Interior Designer,S1mCKPjL-Bs,"RenoMuse app suggested Podcast Studio, Boba Tea Cafe, AND Barber's room 🎙️",410000,popular,1.0962566844919786,['descriptive']
Isla | Interior Designer,Y-lmbxl9yyI,RenoMuse app turned one photo into 8 completely different rooms,407000,popular,1.088235294117647,['transformation']
Isla | Interior Designer,bpwkJNf0UT0,I asked RenoMuse app to redesign my room and it gave me Burried Treasure,407000,popular,1.088235294117647,['descriptive']
Isla | Interior Designer,9DVlOaRFr04,RenoMuse app built a traitor's turret and kebab diner... I can't stop looking at it 💀,401000,popular,1.072192513368984,['transformation']
Isla | Interior Designer,RGoEdSlpQ-o,RenoMuse app redesigned my room as Bags Display and Candles 🏠,383000,popular,1.0240641711229947,['descriptive']
Isla | Interior Designer,p4omaLLokiE,RenoMuse app fixed a messy room into a Japanese Zen Area,382000,both,1.0213903743315509,['location']
Isla | Interior Designer,LExscw6hzgQ,RenoMuse app created a ball pit room AND cats place from one photo 🐱🎈,374000,popular,1.0,['descriptive']
Isla | Interior Designer,y775LsbIx0I,RenoMuse app created 10 different room designs in seconds,372000,popular,0.9946524064171123,['descriptive']
Isla | Interior Designer,Ff7TVHNRaTs,RenoMuse app gave my room a Wall climbing wall and Tea Party setup 🧗,371000,popular,0.9919786096256684,['descriptive']
Isla | Interior Designer,XJaSuwj9Jcw,RenoMuse app makes interior design so easy ✨,359000,popular,0.9598930481283422,['descriptive']
Isla | Interior Designer,ZCD8-7vycD8,My House Has an Escalator and a Cat Paradise,33000,newest,0.08823529411764706,['descriptive']
Isla | Interior Designer,zJO40lC10KQ,ATM Machine and a Homeschool Classroom,23000,newest,0.06149732620320856,['descriptive']
Isla | Interior Designer,joxZ70xWNkg,Fortune Teller Booth and a Pool — Same House,38000,newest,0.10160427807486631,['descriptive']
Isla | Interior Designer,8lvqVFT_l9k,There's an Elevator and an Indoor Beach in My House,142000,newest,0.37967914438502676,['descriptive']
Isla | Interior Designer,gahJzfe8Rx8,McDonald's Front Desk — In My House Now,39000,newest,0.10427807486631016,['descriptive']
Isla | Interior Designer,z54373sG9io,"The Pillar Collection: Brick, LED, and Wood",56000,newest,0.1497326203208556,['descriptive']
Isla | Interior Designer,34FeBt0L3n8,"Bowling Lane and Mini Golf, Inside My House",34000,newest,0.09090909090909091,['descriptive']
Isla | Interior Designer,54i_SsczV7Y,Aquarium Wall and Wine Storage — My House Tour,42000,newest,0.11229946524064172,['instructional']
Isla | Interior Designer,pcXlI6XwmJ0,My House Has a Dancing Pole and an Indoor Garden,17000,newest,0.045454545454545456,['descriptive']
Isla | Interior Designer,tzt-5s1oYrY,RenoMuse app designed a Shawarma Grill Machine and a Mini Golf,201000,newest,0.5374331550802139,['descriptive']
Isla | Interior Designer,EH65maJBqRQ,RenoMuse app built a Walmart and a Hamster Place out of nothing,1600,newest,0.0042780748663101605,['transformation']
Isla | Interior Designer,KonL5mzVcl0,RenoMuse app designed a Telephone booth and a Cats Tower,17000,newest,0.045454545454545456,['descriptive']
Isla | Interior Designer,iY_f2Aezwog,"RenoMuse app built a Witchcraft room, Party room and Home Library",61000,newest,0.16310160427807488,['transformation']
Isla | Interior Designer,W0_eKS_SBr8,RenoMuse app designed a Laundry room and a Wines Storage,51000,newest,0.13636363636363635,['instructional']
Isla | Interior Designer,hb31hIt4Lqg,RenoMuse app designed a Casino room and a Futuristic Wine Bar,83000,newest,0.22192513368983957,['descriptive']
Isla | Interior Designer,h8hdC18Fz6I,RenoMuse app built a Cinderella Dwarves House from scratch,56000,newest,0.1497326203208556,"['transformation', 'location']"
Isla | Interior Designer,3KVT2dyFTV8,"RenoMuse app designed a Karaoke Booth, Ball Pit and Sauna",125000,newest,0.3342245989304813,['descriptive']
Isla | Interior Designer,6sbWuQ5Ul5o,RenoMuse app built an Alien pod and a Boxing practice area,43000,newest,0.11497326203208556,['transformation']
Isla | Interior Designer,72gO4SME8IA,RenoMuse app designed a WIne Cellar and a Music room,76000,newest,0.20320855614973263,['descriptive']
Isla | Interior Designer,2l6DrFEoi-U,RenoMuse app built an ATM Machine and a Make-up Room,70000,newest,0.18716577540106952,['transformation']
Isla | Interior Designer,H-vQP74yR3M,RenoMuse app designed a Kids Play Area and a Coffee Bar,104000,newest,0.27807486631016043,['descriptive']
Isla | Interior Designer,jHMsU3_V0Pk,RenoMuse app built a Kebab Shop and a Prison out of nothing,89000,newest,0.23796791443850268,['transformation']
Isla | Interior Designer,nLYVMQW0vi0,RenoMuse app designed a Barbers Place and a Library,194000,newest,0.5187165775401069,['descriptive']
Isla | Interior Designer,pBmwjXuqxDs,"RenoMuse app designed a Dog room, Gaming Room and Music Room",73000,newest,0.19518716577540107,['descriptive']
Isla | Interior Designer,lwDx3YtUx_E,RenoMuse app built a DJ Booth and Bowling Alley instantly,133000,newest,0.35561497326203206,['transformation']
Isla | Interior Designer,BTj6HSVaogc,RenoMuse app designed a Fire Place and Wine Storage,125000,newest,0.3342245989304813,['instructional']
Isla | Interior Designer,vGInyaZ9lkc,RenoMuse app designed a Chicken Coop and a Coffee Bar Store,141000,newest,0.3770053475935829,['descriptive']
Isla | Interior Designer,plhsu-N8M5U,RenoMuse app designed a Waterfall and a Wine Bar in seconds,84000,newest,0.22459893048128343,['descriptive']
Isla | Interior Designer,2IGrPdfM9TI,RenoMuse app designed a LIDL Bread Shop and Horse Stable from scratch,120000,newest,0.32085561497326204,['descriptive']
Isla | Interior Designer,rczmD1Vq9Us,"RenoMuse app made a LIDL, Horse Stall and Reading Nook out of nothing",144000,newest,0.3850267379679144,['descriptive']
Isla | Interior Designer,EOAl3wDRSoI,RenoMuse app designed a Cats Resting Area and a Wall Climbing room,167000,newest,0.446524064171123,['descriptive']
Isla | Interior Designer,1i3ckLSAuWE,"I used RenoMuse app and got Starbucks, Grandfather clock, AND Pet Paradise ☕",163000,newest,0.4358288770053476,['descriptive']
Isla | Interior Designer,bW4uCjq1PqU,"RenoMuse app generated Gallery Paintings, Make-up room, AND Blanket Ford 🎨",231000,newest,0.6176470588235294,['descriptive']
Isla | Interior Designer,lm_sFGJ8bsc,"I used RenoMuse app and got Bookshelf with secret room, Pilates Studio, AND Wine Cellar 🍷",169000,newest,0.45187165775401067,['curiosity']
Isla | Interior Designer,xRumUnQoEfI,"RenoMuse app suggested CCTV watchroom, Popcorn Bar, AND Gymnasts Practice room 🤸",217000,newest,0.5802139037433155,['descriptive']
Isla | Interior Designer,FoZMZ9kg8UI,"I used RenoMuse app and got Ramen House, Toy Merch, AND Waiting Area 🍜",85000,newest,0.22727272727272727,['descriptive']
Isla | Interior Designer,vg3D-pVX5Y0,"RenoMuse app generated Shawarma Store, Bank Vault, AND Music Area 🥙",103000,newest,0.27540106951871657,['descriptive']
Isla | Interior Designer,kMdGb_ZWtqY,"I used RenoMuse app and got Portal, Basketball area, AND Mirror ideas 🏀",182000,newest,0.48663101604278075,['instructional']
Isla | Interior Designer,s0AM8gTnNAY,"I used RenoMuse app and got Rocket Ship, Gym area, AND Phone booth ideas 🚀",113000,newest,0.30213903743315507,['instructional']
Isla | Interior Designer,yunfnymiZXg,"RenoMuse app generated Tea Party, Garden with Fountain, AND LIDL ideas 🫖",73000,newest,0.19518716577540107,['instructional']
Isla | Interior Designer,0XdExNV27_Y,"I used RenoMuse app and got Bedroom, Greenhouse, AND Fire Place ideas 🌿",316000,newest,0.8449197860962567,['instructional']
Vinarch Group Official,gvibCosKCvc,How to make your home secure 🔥 #interiordesign #interior #furniture #foryou #fyp #shorts,76000000,both,36.19047619047619,"['question', 'instructional']"
Vinarch Group Official,KgO-ubTaqiU,#interiordesign #interior #furniture #furnituredesign #foryou #fyp #shorts,42000000,both,20.0,['descriptive']
Vinarch Group Official,fI4FrAtjYVc,Amazing concepts 🎥: @超人不会飞 #interiordesign #interior #furniture #furnituredesign #homedecor #shorts,36000000,both,17.142857142857142,['descriptive']
Vinarch Group Official,4UwFOEkcjn0,Amazing designs 💯 #furniture #furnituredesign #interiordesign #interior #foryou #fyp #shorts,29000000,both,13.80952380952381,['descriptive']
Vinarch Group Official,hQiCZeIAF5I,Space saving folding stair 🎥 江苏梯卫士阁楼梯工厂#interiordesign #interior #furniture #spacesaving #shorts,8700000,both,4.142857142857143,['descriptive']
Vinarch Group Official,6Xq4Jndj6uE,Sink designs 💯 #interiordesign #interior #furniture #furnituredesign #foryou #fyp #shorts,6100000,both,2.9047619047619047,['descriptive']
Vinarch Group Official,Vcra7Iiqc9c,Amazing designs💯 #interiordesign #interior #furniture #furnituredesign #creative #innovation #shorts,6100000,both,2.9047619047619047,['descriptive']
Vinarch Group Official,JrUg0Txm_l4,#interiordesign #interior #furniture #furnituredesign #architecture #foryou #fyp #shorts,4600000,both,2.1904761904761907,['descriptive']
Vinarch Group Official,ubwjzHrwGCE,#interiordesign #interior #kitchen #kitchengadgets #furniture #kitchenappliance #foryou #fyp #shorts,2100000,both,1.0,['descriptive']
Vinarch Group Official,lGDKOkpKBsE,These designs are completely secret 🤫 #interiordesign #interior #furniture #secrets #fyp #shorts,727000,both,0.3461904761904762,['curiosity']
Vinarch Group Official,MJUJ427XuME,Amazing designs 💯 #interiordesign #interior #furniture #furnituredesign #home #foryou #fyp #shorts,642000,both,0.3057142857142857,['descriptive']
Vinarch Group Official,EIXMUkHep5U,Amazing designs 💯💯💯 #interiordesign #interior #furniture #furnituredesign #foryou #fyp #shorts,474000,both,0.2257142857142857,['descriptive']
Vinarch Group Official,qrTlDNIUvHU,Incredibly creative furniture #interiordesign #interior #furniture #creative #foryou #fyp #shorts,409000,both,0.19476190476190477,['descriptive']
Vinarch Group Official,pADOW689giI,Amazing inventions 🎥: @sunroom_queen #architecture #interiordesign #furniture #construction #shorts,367000,both,0.17476190476190476,['descriptive']
Vinarch Group Official,H9F0BAzfJ-A,Amazing ideas 💯💯💯 (📽: 超人不会飞/Douyin) #interiordesign #interior #furniture #furnituredesign #shorts,136000,both,0.06476190476190476,['instructional']
Vinarch Group Official,nUgSQTVWcX8,Kitchen designs 💯 #interiordesign #interior #kitchen #kitchengadgets #furniture #foryou #fyp #shorts,136000,both,0.06476190476190476,['descriptive']
Vinarch Group Official,q_SR-u4h7_I,Stair designs 💯 #architecture #interiordesign #interior #furniture #creative #foryou #fyp #shorts,25000,both,0.011904761904761904,['descriptive']
UnrealLife,i5ot2RecvDw,Choose your dream bedroom 😴💤 #aesthetic #relatable #chill #vibes,22000000,popular,444.44444444444446,"['choice', 'fantasy_ai']"
UnrealLife,of5xFqBa1cY,Choose your dream bedroom🛏️😳 #vibes #chill #bedroom #aesthetic,1900000,popular,38.38383838383838,"['choice', 'fantasy_ai']"
UnrealLife,wRGN9nroHwo,Wich bedroom do you choose?💤😳 #vibes #chill #bedroom #aesthetic,1400000,popular,28.282828282828284,"['question', 'choice']"
UnrealLife,ZBJ19hYhutg,Choose your DREAM bedroom😴🛏️ #aesthetic #vibes #relatable #chill,689000,popular,13.919191919191919,"['choice', 'fantasy_ai']"
UnrealLife,sRITGiBWk9M,Choose your dream bedroom 🛏️💭 #vibes #bedroom #chill #aesthetic,428000,popular,8.646464646464647,"['choice', 'fantasy_ai']"
UnrealLife,JHkIBsXpPoU,Choose your dream bedroom 🛏️ #relatable #aesthetic #chill #vibes,319000,popular,6.444444444444445,"['choice', 'fantasy_ai']"
UnrealLife,nSbscUhsdoQ,Choose your dream bedroom 😴🛏️ #vibes #bedroom #aesthetic #chill,311000,popular,6.282828282828283,"['choice', 'fantasy_ai']"
UnrealLife,lypvRveNodg,Choose your dream bedroom😳💤 #vibes #chill #aesthetic #bedroom,236000,popular,4.767676767676767,"['choice', 'fantasy_ai']"
UnrealLife,0KXLG7CSFFw,Choose your dream bedroom🛏️💤 Pt.27 #vibes #chill #bedroom #aesthetic,219000,popular,4.424242424242424,"['choice', 'fantasy_ai']"
UnrealLife,IP6kf2iUWjY,Choose your dream bedroom💤 #aesthetic #vibes #chill,213000,popular,4.303030303030303,"['choice', 'fantasy_ai']"
UnrealLife,a88H0gHCeXw,Choose Your Dream Bedroom 😳💤 #vibes #chill #aesthetic #bedroom,192000,popular,3.878787878787879,"['choice', 'fantasy_ai']"
